source	query	status	mode	hit_count	top_titles	url
EuropePMC	"""SP140"" ""multiple sclerosis"""	200	cache	120	Rewiring interferon fate: a bidirectional strategy for immune homeostasis. || Clinical and mechanistic insights into the expression of SP100 family proteins in various cancers: a systematic review. || SP140-RESIST pathway regulates interferon mRNA stability and antiviral immunity.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+%22multiple+sclerosis%22&format=json&pageSize=5
EuropePMC	"""SP140"" ""Crohn"""	200	cache	22	Immune chromatin reader SP140 regulates microbiota and risk for inflammatory bowel disease. || Epigenetic reader SP140 loss of function drives Crohn's disease due to uncontrolled macrophage topoisomerases. || Modulation of macrophage inflammatory function through selective inhibition of the epigenetic reader protein SP140.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+%22Crohn%22&format=json&pageSize=5
EuropePMC	"""SP140"" ""ulcerative colitis"""	200	cache	59	Gastrointestinal traits, common inflammatory disorders, gallstones, and biliary tract cancer: A network Mendelian randomization study. || Shared and Unique Genetic Links between Neuroticism and Gastrointestinal Tract Diseases. || Immunoepigenetic Regulation of Inflammatory Bowel Disease: Current Insights into Novel Epigenetic Modulations of the Systemic Immune Response.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+%22ulcerative+colitis%22&format=json&pageSize=5
EuropePMC	"""SP140"" psoriasis"	200	cache	47	Modulation of macrophage inflammatory function through selective inhibition of the epigenetic reader protein SP140. || Evidence for the gut-skin axis: Common genetic structures in inflammatory bowel disease and psoriasis. || Selective Targeting of Epigenetic Readers and Histone Deacetylases in Autoimmune and Inflammatory Diseases: Recent Advances and Future Perspectives.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+psoriasis&format=json&pageSize=5
EuropePMC	"""SP140"" ""rheumatoid arthritis"""	200	cache	98	Comprehensive multi-omics analysis of histone acetylation modulators identifies ASH1L as a novel aggressive marker for osteosarcoma. || FcγRIIIA Genotype in Plasma Cell Dyscrasias Is Associated with Clinical Progression, Bone Disease Extension and Immune Dysfunction. || Modulation of macrophage inflammatory function through selective inhibition of the epigenetic reader protein SP140.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+%22rheumatoid+arthritis%22&format=json&pageSize=5
EuropePMC	"""SP140"" ""ankylosing spondylitis"""	200	cache	19	A disease-associated gene desert directs macrophage inflammation through ETS2. || Beyond restless sleep: A cross-sectional study of obstructive sleep apnea risk, aging biomarkers, and chronic low back pain. || Ankylosing spondylitis risk factors: a systematic literature review.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+%22ankylosing+spondylitis%22&format=json&pageSize=5
EuropePMC	"""SP140"" Sjogren"	200	cache	14	Update on the Aetiopathogenesis of Sjögren Disease: From Interferon Signaling to Epithelial Dysfunction. || Anti-Mi2 autoantibodies target PHD fingers of SP140L and TIF1γ, while anti-TIF1γ autoantibodies primarily bind TIF1γ outside the PHD region. || A Review on Biomarkers for the Evaluation of Autoimmune Cholestatic Liver Diseases and Their Overlap Syndromes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+Sjogren&format=json&pageSize=5
EuropePMC	"""SP140"" autoimmune therapeutic target"	200	cache	130	Rewiring interferon fate: a bidirectional strategy for immune homeostasis. || Anti-Mi2 autoantibodies target PHD fingers of SP140L and TIF1γ, while anti-TIF1γ autoantibodies primarily bind TIF1γ outside the PHD region. || Comprehensive multi-omics analysis of histone acetylation modulators identifies ASH1L as a novel aggressive marker for osteosarcoma.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+autoimmune+therapeutic+target&format=json&pageSize=5
EuropePMC	"""SP140"" inhibitor"	200	cache	388	Clinical and mechanistic insights into the expression of SP100 family proteins in various cancers: a systematic review. || <i>Mycobacterium tuberculosis, Mycobacterium kansasii</i>  and  <i>Rhodococcus equi</i>  induce macrophage necroptosis in the presence of a caspase inhibitor acting on a non-canoni || SP140-RESIST pathway regulates interferon mRNA stability and antiviral immunity.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+inhibitor&format=json&pageSize=5
EuropePMC	"""SP140"" bromodomain inhibitor"	200	cache	81	Clinical and mechanistic insights into the expression of SP100 family proteins in various cancers: a systematic review. || Bromodomain-Driven Regulation of Stem Cells: A Potential Target for Cancer Therapeutic Intervention. || SP140 represses specific loci by recruiting polycomb repressive complex 2 and NuRD complex.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SP140%22+bromodomain+inhibitor&format=json&pageSize=5
