gene	query_gene	approved_symbol	ensembl	disease	disease_id	max_score	evidence_count	pmids	note
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	MS	MONDO_0005301	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	RA	EFO_0000685	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	SLE	MONDO_0007915	0.8919162750244141	8	19838193;26502338;28714469;29967481;33272962;33536424;36750564	
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	Crohn	EFO_0000384	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	UC	EFO_0000729	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	Psoriasis	EFO_0000676	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	T1D	MONDO_0005147	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	Sjogren	EFO_0000699	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	AS	EFO_0003898	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	AITD	EFO_0006812	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	Celiac	EFO_0001060	0.0	0		
SLC15A4	SLC15A4	SLC15A4	ENSG00000139370	PBC	EFO_1001486	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	MS	MONDO_0005301	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	RA	EFO_0000685	0.8853315114974976	1	36653562	
TASL_CXorf21	TASL	TASL	ENSG00000120280	SLE	MONDO_0007915	0.8695341348648071	1	26502338	
TASL_CXorf21	TASL	TASL	ENSG00000120280	Crohn	EFO_0000384	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	UC	EFO_0000729	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	Psoriasis	EFO_0000676	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	T1D	MONDO_0005147	0.0	0		
TASL_CXorf21	TASL	TASL	ENSG00000120280	Sjogren	EFO_0000699	0.0	0		
