pathway	perturbation	module	n_cell_types	mean_module_log2fc_across_cell_types	median_module_log2fc_across_cell_types	cell_type_negative_fraction	total_sig_negative_gene_celltype	total_sig_positive_gene_celltype	mean_genes_present	cell_types
IFNG	IFNGR1	hla_ii_apc	4	-1.6048674956447038	-1.64100482396338	1.0	7	0	1.75	A549,BXPC3,HT29,MCF7
IFNG	IFNGR2	hla_ii_apc	4	-1.54640615835212	-1.6015179191015525	1.0	7	0	1.75	A549,BXPC3,HT29,MCF7
IFNG	IFNGR1	ifn_apc	6	-1.4917831002528577	-1.4765988718947058	1.0	56	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	IFNGR2	ifn_apc	6	-1.4506621607640675	-1.5313610559672537	1.0	56	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	STAT1	ifn_apc	6	-1.2526083903684944	-1.2995523532023818	1.0	56	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	JAK2	hla_ii_apc	4	-1.2506661986314591	-1.33340727051007	1.0	7	0	1.75	A549,BXPC3,HT29,MCF7
IFNG	JAK1	hla_ii_apc	4	-1.213636521992566	-1.2167643650123612	1.0	7	0	1.75	A549,BXPC3,HT29,MCF7
IFNG	JAK2	ifn_apc	6	-1.1486735888503004	-1.213101992428771	1.0	56	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	STAT1	hla_ii_apc	4	-1.10728318762707	-1.1637817930088843	1.0	7	0	1.75	A549,BXPC3,HT29,MCF7
IFNB	TYK2	ifn_apc	6	-0.968586576030536	-0.9341330748679202	1.0	38	0	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IFNAR1	ifn_apc	6	-0.9120257369244986	-0.798366178658418	1.0	38	0	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	JAK1	ifn_apc	6	-0.8774987577820106	-0.854699959944513	1.0	56	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
TNFA	TNFRSF1A	hla_ii_apc	2	-0.864973721811842	-0.864973721811842	1.0	1	0	1.0	A549,MCF7
IFNG	IFNGR1	mif_cd74_receptor_state	4	-0.5340726119642376	-0.6778964324546237	1.0	3	3	1.75	A549,BXPC3,HT29,MCF7
IFNG	JAK2	mif_cd74_receptor_state	4	-0.4486465428475825	-0.5312275508552853	1.0	3	2	1.75	A549,BXPC3,HT29,MCF7
TNFA	CHUK	hla_ii_apc	2	-0.3768472668195129	-0.3768472668195129	1.0	0	0	1.0	A549,MCF7
TNFA	CHUK	ifn_apc	6	-0.3383916231848449	-0.2732199462910278	1.0	13	0	5.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
TNFA	IRF1	ifn_apc	6	-0.2453110963450609	-0.1563540901868455	1.0	20	0	5.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	IFNGR2	gilt_lysosomal_apc	6	-0.2347488732497372	-0.1193734482118203	1.0	9	2	5.0	A549,BXPC3,HAP1,HT29,K562,MCF7
TNFA	IKBKB	hla_ii_apc	2	-0.2307128465350446	-0.2307128465350446	1.0	0	0	1.0	A549,MCF7
IFNG	IRF1	ifn_apc	6	-0.2018921523269299	-0.0862603447001016	1.0	33	0	9.333333333333334	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	JAK1	gilt_lysosomal_apc	6	-0.2008165677081681	-0.1737214226957327	1.0	9	1	5.0	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNG	STAT1	gilt_lysosomal_apc	6	-0.1806019229510205	-0.1734533800692485	1.0	6	2	5.0	A549,BXPC3,HAP1,HT29,K562,MCF7
TNFA	MAP3K7	ifn_apc	6	-0.1683841938962402	-0.1244336038516819	1.0	12	0	5.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
TNFA	MAP3K7	hla_ii_apc	2	-0.140940454423014	-0.140940454423014	1.0	0	0	1.0	A549,MCF7
IFNG	IRF1	hla_ii_apc	4	-0.1087304831660803	-0.0687431831660398	1.0	5	0	2.5	A549,BXPC3,HT29,MCF7
IFNG	IRF1	mif_cd74_receptor_state	4	-0.0612671193864635	-0.0566986051717993	1.0	3	0	1.75	A549,BXPC3,HT29,MCF7
IFNB	STAT1	ifn_apc	6	-0.5969227934940929	-0.5778150167997732	0.8333333333333334	25	4	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
