analysis	disease_name	compartment	role	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	endosomal_tlr_sensor_chaperone	mean_z_score	6	6	0.06254212824786796	0.005167984898316799	0.05737414334955117	1.5765008440393344	2.9581278567222915	0.014365177344985046	0.43368516217709224
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	endosomal_tlr_sensor_chaperone	high_fraction	6	6	0.08210533439880696	0.027621350103534646	0.05448398429527232	1.3157927845384183	2.4689382846408248	0.043320895960591306	0.43368516217709224
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	mean_z_score	6	6	0.05822964242477422	0.006226240478815189	0.05200340194595903	1.360591764273167	2.5529985694209776	0.031300704957333794	0.43368516217709224
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	high_fraction	6	6	0.10579486338020401	0.04325548648019593	0.06253937690000808	1.2584850396969016	2.3614066984303994	0.053556488099126706	0.43368516217709224
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	slc15a4_tasl_irf5_core	mean_z_score	6	6	0.05247966132731591	0.007637247919479726	0.04484241340783618	0.8624908754211986	1.6183678520685814	0.14947653136086575	0.5285107536613276
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	slc15a4_tasl_irf5_core	high_fraction	6	6	0.0325527450377626	0.017514191172535176	0.015038553865227424	0.8480346086700967	1.591242281192848	0.16447979005075064	0.5285107536613276
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	endosomal_tlr_sensor_chaperone	mean_z_score	6	6	0.04223510691778249	0.003318791764847645	0.038916315152934845	0.41574150649069896	0.7800925297285431	0.4534050160445386	0.6707909826412352
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	endosomal_tlr_sensor_chaperone	high_fraction	6	6	0.1814102297242749	0.17381438781014025	0.007595841914134649	0.11053138412031378	0.20739980422123652	0.8400705582499993	0.935336291659793
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	mean_z_score	6	6	0.08725805728093329	0.009146017989615401	0.0781120392913179	0.9992247392705917	1.8749336846461313	0.09288943371993187	0.49925631298028866
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	high_fraction	6	6	0.3171260726682267	0.25748510299481175	0.05964096967341492	0.5234849939747076	0.982261157111088	0.35078928073280524	0.6198163276333357
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	slc15a4_tasl_irf5_core	mean_z_score	6	6	0.14728865776513433	0.016915652955972357	0.13037300480916197	1.1287220912410927	2.117921010459547	0.06023405030237392	0.43368516217709224
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	slc15a4_tasl_irf5_core	high_fraction	6	6	0.22197174021383959	0.17758974054382634	0.044381999670013245	0.457460455272507	0.8583734802343695	0.41404080412918715	0.6298085471260875
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	endosomal_tlr_sensor_chaperone	mean_z_score	6	6	0.08637331141552802	0.020482194257116722	0.0658911171584113	0.943716617868064	1.7707788909357622	0.10901283345258331	0.525409812269525
