feature	n	n_relapse_free	n_relapsed	auc_high_score_relapse_free	permutation_p	hedges_g_relapsefree_minus_relapsed	welch_p
month1_delta_hla_ii	25	16	9	0.75	0.019519609607807843	1.0089237828082185	0.022387938191276928
month1_delta_cd74	25	16	9	0.7222222222222222	0.035939281214375715	0.9275925226189001	0.05009620583954894
month1_delta_ifn_apc	25	16	9	0.6319444444444444	0.1510369792604148	-0.022231400438502427	0.9503376128401613
month1_locked_style	25	16	9	0.5763888888888888	0.28023439531209376	0.39349122173894624	0.2676481575426014
baseline__hla_ii_without_cd74	25	16	9	0.3611111111111111	0.875422491550169	-0.40937655807200296	0.3026482329504243
baseline__ifn_apc	25	16	9	0.3402777777777778	0.9049019019619607	-0.17270432460044643	0.6303091498847068
baseline__cd74_alone	25	16	9	0.2916666666666667	0.9582808343833124	-0.7824946612985016	0.0783597257547491
baseline__receptor_only_cd74_cd44_cxcr4	25	16	9	0.25	0.9816403671926561	-0.7234423774846678	0.08038933917104121
