source_domain	check	status	detail
about.zenodo.org	domain_present_in_rollup	PASS	about.zenodo.org
about.zenodo.org	n_records_matches_expected	PASS	expected=1 actual=1
about.zenodo.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
about.zenodo.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
about.zenodo.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
about.zenodo.org	has_convergence_matches_expected	PASS	expected=no actual=no
about.zenodo.org	has_contradiction_matches_expected	PASS	expected=no actual=no
atlasofms.org	domain_present_in_rollup	PASS	atlasofms.org
atlasofms.org	n_records_matches_expected	PASS	expected=1 actual=1
atlasofms.org	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
atlasofms.org	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
atlasofms.org	matrix_relationship_counts_matches_expected	PASS	expected= actual=
atlasofms.org	has_convergence_matches_expected	PASS	expected=no actual=no
atlasofms.org	has_contradiction_matches_expected	PASS	expected=no actual=no
clinicaltrials.gov	domain_present_in_rollup	PASS	clinicaltrials.gov
clinicaltrials.gov	n_records_matches_expected	PASS	expected=1 actual=1
clinicaltrials.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
clinicaltrials.gov	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
clinicaltrials.gov	matrix_relationship_counts_matches_expected	PASS	expected= actual=
clinicaltrials.gov	has_convergence_matches_expected	PASS	expected=no actual=no
clinicaltrials.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
commondataelements.ninds.nih.gov	domain_present_in_rollup	PASS	commondataelements.ninds.nih.gov
commondataelements.ninds.nih.gov	n_records_matches_expected	PASS	expected=1 actual=1
commondataelements.ninds.nih.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
commondataelements.ninds.nih.gov	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
commondataelements.ninds.nih.gov	matrix_relationship_counts_matches_expected	PASS	expected= actual=
commondataelements.ninds.nih.gov	has_convergence_matches_expected	PASS	expected=no actual=no
commondataelements.ninds.nih.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
cos.io	domain_present_in_rollup	PASS	cos.io
cos.io	n_records_matches_expected	PASS	expected=1 actual=1
cos.io	record_relationship_counts_matches_expected	PASS	expected=orthogonal:1 actual=orthogonal:1
cos.io	n_matrix_rows_matches_expected	PASS	expected=0 actual=0
cos.io	matrix_relationship_counts_matches_expected	PASS	expected= actual=
cos.io	has_convergence_matches_expected	PASS	expected=no actual=no
cos.io	has_contradiction_matches_expected	PASS	expected=no actual=no
dailymed.nlm.nih.gov	domain_present_in_rollup	PASS	dailymed.nlm.nih.gov
dailymed.nlm.nih.gov	n_records_matches_expected	PASS	expected=4 actual=4
dailymed.nlm.nih.gov	record_relationship_counts_matches_expected	PASS	expected=orthogonal:4 actual=orthogonal:4
dailymed.nlm.nih.gov	n_matrix_rows_matches_expected	PASS	expected=4 actual=4
dailymed.nlm.nih.gov	matrix_relationship_counts_matches_expected	PASS	expected=insufficient-overlap:4 actual=insufficient-overlap:4
dailymed.nlm.nih.gov	has_convergence_matches_expected	PASS	expected=no actual=no
dailymed.nlm.nih.gov	has_contradiction_matches_expected	PASS	expected=no actual=no
datadryad.org	domain_present_in_rollup	PASS	datadryad.org
