dataset	module	n_present	n_requested	present_genes	missing_genes
GSE156234_Mertk_scRNA_pseudobulk	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE156234_Mertk_scRNA_pseudobulk	lipid_lysosomal_apc	21	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1
GSE156234_Mertk_scRNA_pseudobulk	generic_ifn	13	15	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1
GSE156234_Mertk_scRNA_pseudobulk	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE156234_Mertk_scRNA_pseudobulk	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
GSE169160_human_MF_efferocytosis	resolution_efferocytosis	28	28	ABCA1;ABCG1;ANXA1;APOE;AXL;C1QA;C1QB;C1QC;CD163;CD36;F13A1;FPR2;GAS6;IL10;LPL;LYVE1;MARCO;MERTK;MRC1;NR1H2;NR1H3;PPARD;PPARG;PROS1;TGFB1;TREM2;TYRO3;VSIG4	
GSE169160_human_MF_efferocytosis	lipid_lysosomal_apc	22	27	APOE;CD74;CIITA;CTSB;CTSD;CTSL;CTSS;GPNMB;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;LAMP1;LAMP2;LIPA;LPL;PLIN2;SPP1;TYROBP	H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1
GSE169160_human_MF_efferocytosis	generic_ifn	14	15	CXCL10;GBP1;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1;STAT1	OAS1A
GSE169160_human_MF_efferocytosis	stress_cytotoxicity	11	11	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1	
GSE169160_human_MF_efferocytosis	fibrosis_profibrotic	6	7	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF
