dataset	sample	module	score	group	genotype	treatment	n_cells	condition
GSE156234_Mertk_scRNA_pseudobulk	WT_Ctrl	resolution_efferocytosis	0.06535154212059911	WT_Ctrl	WT	control	1612.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC	resolution_efferocytosis	-0.7098094739230156	WT_2h_AC	WT	2h_AC	1288.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC	resolution_efferocytosis	-0.6351293882252275	WT_6h_AC	WT	6h_AC	1077.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_Ctrl	resolution_efferocytosis	0.6316313572162082	MertkKO_Ctrl	MertkKO	control	1431.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC	resolution_efferocytosis	-0.1669176097312504	MertkKO_2h_AC	MertkKO	2h_AC	1005.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC	resolution_efferocytosis	0.8148735725426857	MertkKO_6h_AC	MertkKO	6h_AC	1347.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_Ctrl	lipid_lysosomal_apc	-0.007448850398844427	WT_Ctrl	WT	control	1612.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC	lipid_lysosomal_apc	-0.33371783194070015	WT_2h_AC	WT	2h_AC	1288.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC	lipid_lysosomal_apc	-0.24376253581038307	WT_6h_AC	WT	6h_AC	1077.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_Ctrl	lipid_lysosomal_apc	0.0892010032320482	MertkKO_Ctrl	MertkKO	control	1431.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC	lipid_lysosomal_apc	-0.26697894399627786	MertkKO_2h_AC	MertkKO	2h_AC	1005.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC	lipid_lysosomal_apc	0.7627071589141613	MertkKO_6h_AC	MertkKO	6h_AC	1347.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_Ctrl	generic_ifn	0.21104147458443515	WT_Ctrl	WT	control	1612.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC	generic_ifn	0.7945241120380743	WT_2h_AC	WT	2h_AC	1288.0	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC	generic_ifn	-0.4706938919825652	WT_6h_AC	WT	6h_AC	1077.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_Ctrl	generic_ifn	0.27800854828558846	MertkKO_Ctrl	MertkKO	control	1431.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC	generic_ifn	-1.138525671782616	MertkKO_2h_AC	MertkKO	2h_AC	1005.0	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC	generic_ifn	0.325645428857084	MertkKO_6h_AC	MertkKO	6h_AC	1347.0	
