gene	query_term	status	target_count	top_targets	url
IL7R	CD127	200	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD127&limit=10
IL7R	interleukin-7 receptor	200	10	CHEMBL4804253: IL18 Receptor (Homo sapiens; PROTEIN COMPLEX) | CHEMBL1959: Interleukin-1 receptor type 1 (Homo sapiens; SINGLE PROTEIN) | CHEMBL2189148: Interleukin-1 receptor type 1 (Mus musculus; SINGLE PROTEIN) | CHEMBL4106128: IL15-IL15 receptor (Homo sapiens; PROTEIN-PROTEIN INTERACTION) | CHEMBL4296013: Interleukin-23 receptor (Homo sapiens; SINGLE PROTEIN) | CHEMBL4523394: Interleukin-23 receptor (Mus musculus; SINGLE PROTEIN) | CHEMBL4665591: IL36 receptor (Homo sapiens; PROTEIN COMPLEX) | CHEMBL4804256: IL-33 receptor (ST2) (Homo sapiens; PROTEIN COMPLEX) | CHEMBL5483004: IL17-RE-IL-17C (Homo sapiens; PROTEIN COMPLEX) | CHEMBL1851: Cytochrome P450 7A1 (Homo sapiens; SINGLE PROTEIN)	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=interleukin-7+receptor&limit=10
IL7R	IL-7 receptor alpha	200	10	CHEMBL4804253: IL18 Receptor (Homo sapiens; PROTEIN COMPLEX) | CHEMBL3580490: Interleukin-4 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN) | CHEMBL2050: Interleukin-11 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN) | CHEMBL4289: Interleukin-6 receptor subunit alpha (Rattus norvegicus; SINGLE PROTEIN) | CHEMBL2364155: Interleukin-6 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN) | CHEMBL3580483: Interleukin-5 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN) | CHEMBL3712987: Interleukin-3 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN) | CHEMBL3831285: Interleukin 13 receptor (Homo sapiens; PROTEIN COMPLEX) | CHEMBL4523198: Interleukin-5 receptor subunit alpha (Mus musculus; SINGLE PROTEIN) | CHEMBL1778: Interleukin-2 receptor subunit alpha (Homo sapiens; SINGLE PROTEIN)	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL-7+receptor+alpha&limit=10
CD58	LFA-3	200	10	CHEMBL3885600: Lymphocyte function-associated antigen 3/T-cell surface antigen CD2 (Homo sapiens; PROTEIN-PROTEIN INTERACTION) | CHEMBL2040: T-cell surface antigen CD2 (Homo sapiens; SINGLE PROTEIN) | CHEMBL3790: Lymphocyte function-associated antigen 3 (Homo sapiens; SINGLE PROTEIN) | CHEMBL1075188: Integrin alpha-L (Mus musculus; SINGLE PROTEIN) | CHEMBL1803: Integrin alpha-L (Homo sapiens; SINGLE PROTEIN) | CHEMBL2364172: Integrin alpha-L/beta-2 (LFA-1) (Homo sapiens; PROTEIN COMPLEX) | CHEMBL2096661: Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2 (Homo sapiens; PROTEIN COMPLEX) | CHEMBL3631: Integrin beta-2 (Homo sapiens; SINGLE PROTEIN) | CHEMBL249: Substance-P receptor (Homo sapiens; SINGLE PROTEIN) | CHEMBL2327: Substance-K receptor (Homo sapiens; SINGLE PROTEIN)	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LFA-3&limit=10
IFI30	gamma-interferon-inducible lysosomal thiol reductase	200	10	CHEMBL4295911: Interferon-inducible protein AIM2 (Mus musculus; SINGLE PROTEIN) | CHEMBL2364171: Interferon gamma receptor (Homo sapiens; PROTEIN COMPLEX) | CHEMBL3286073: Interferon gamma (Homo sapiens; SINGLE PROTEIN) | CHEMBL3712964: C-X-C motif chemokine 10 (Homo sapiens; SINGLE PROTEIN) | CHEMBL4630802: Interferon-inducible protein AIM2 (Homo sapiens; SINGLE PROTEIN) | CHEMBL5169158: Immunity-related GTPase family M protein 1 (Mus musculus; SINGLE PROTEIN) | CHEMBL1075186: CXC chemokine receptor 3 (Macaca mulatta; SINGLE PROTEIN) | CHEMBL1741305: Interleukin-18 (Homo sapiens; SINGLE PROTEIN) | CHEMBL2095215: Ribonucleoside-diphosphate reductase RR1 (Homo sapiens; PROTEIN COMPLEX GROUP) | CHEMBL3301398: Ribonucleotide reductase (Homo sapiens; PROTEIN COMPLEX)	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=gamma-interferon-inducible+lysosomal+thiol+reductase&limit=10
GALC	galactocerebrosidase	200	2	CHEMBL3713095: Galactocerebrosidase (Homo sapiens; SINGLE PROTEIN) | CHEMBL2218: Galactocerebrosidase (Mus musculus; SINGLE PROTEIN)	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=galactocerebrosidase&limit=10
