gene	target_chembl_id	activity_status	activity_count	activity_url
SP140	CHEMBL3108643	200	61	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3108643&limit=1
SP140	CHEMBL4105997	200	19	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4105997&limit=1
GALC	CHEMBL2218	200	11	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2218&limit=1
GALC	CHEMBL3713095	200	1988	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3713095&limit=1
CD58	CHEMBL3790	200	7	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3790&limit=1
CD58	CHEMBL3885600	200	9	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3885600&limit=1
