n_requested	latent_event_probability	allocation	score_site_structure	effect_pattern	n_simulated_cohorts	n_valid_fits	valid_fit_rate	pooled_significant_count	pooled_significant_probability	pooled_significant_ci_low	pooled_significant_ci_high	minimum_seed_pooled_significant_probability	stratified_significant_count	stratified_significant_probability	stratified_significant_ci_low	stratified_significant_ci_high	minimum_seed_stratified_significant_probability	pooled_positive_probability	minimum_seed_pooled_positive_probability	maximum_seed_pooled_positive_probability	pooled_negative_probability	minimum_seed_pooled_negative_probability	maximum_seed_pooled_negative_probability	stratified_positive_probability	minimum_seed_stratified_positive_probability	maximum_seed_stratified_positive_probability	stratified_negative_probability	minimum_seed_stratified_negative_probability	maximum_seed_stratified_negative_probability	transport_pass_probability	minimum_seed_transport_pass_probability	maximum_seed_transport_pass_probability	heterogeneity_detection_probability	minimum_seed_heterogeneity_detection_probability	maximum_seed_heterogeneity_detection_probability	median_pooled_z_across_seeds	median_stratified_z_across_seeds	median_heterogeneity_p_across_seeds	median_minimum_site_events_across_seeds	median_minimum_site_n_across_seeds
180	0.15	balanced	balanced_score	homogeneous	1200	1200	1.0	606	0.505	0.47674098159673206	0.5332271083972406	0.49	596	0.49666666666666665	0.46843345784185125	0.5249211488288335	0.475	0.505	0.49	0.52	0.0	0.0	0.0	0.49666666666666665	0.475	0.525	0.0	0.0	0.0	0.0008333333333333334	0.0	0.0025	0.06166666666666667	0.0575	0.065	1.9759203725697858	1.9430648008748268	0.49622787139893115	4.0	52.0
180	0.15	balanced	balanced_score	null	1200	1200	1.0	64	0.05333333333333334	0.04198595756592827	0.06753133630584826	0.0425	65	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.0375	0.023333333333333334	0.0175	0.03	0.03	0.0225	0.0425	0.02666666666666667	0.015	0.035	0.027499999999999997	0.0225	0.0375	0.0	0.0	0.0	0.059166666666666666	0.055	0.0625	-0.03395217922796477	-0.008897837023412358	0.4747844822873568	4.0	52.0
180	0.15	balanced	balanced_score	one_site_only	1200	1200	1.0	92	0.07666666666666666	0.06292738768669681	0.0931076594902854	0.0625	94	0.07833333333333334	0.0644410291037636	0.09491671473787618	0.0675	0.0725	0.06	0.09	0.004166666666666667	0.0025	0.005	0.06916666666666667	0.0575	0.075	0.009166666666666667	0.005	0.0125	0.0	0.0	0.0	0.1025	0.085	0.1175	0.4237531579824836	0.45297179861479475	0.355588128098006	4.0	52.0
180	0.15	balanced	balanced_score	one_site_reversed	1200	1199	0.9991666666666666	79	0.06583333333333333	0.053141695581076766	0.08129582327563135	0.06	83	0.06916666666666667	0.056142321206953394	0.08494059097906986	0.0625	0.04	0.0375	0.0425	0.025833333333333333	0.0225	0.03	0.03916666666666666	0.0375	0.04	0.03	0.0225	0.035	0.0	0.0	0.0	0.3658333333333334	0.33	0.3975	0.12383921661015655	0.06420628564312052	0.09524834639703365	4.0	52.0
180	0.15	balanced	hazard_aligned_score	homogeneous	1200	1200	1.0	942	0.785	0.7608658323419624	0.8073152973144788	0.78	621	0.5175	0.48921693613957196	0.5456713788393321	0.5125	0.785	0.78	0.7925	0.0	0.0	0.0	0.5175	0.5125	0.5225	0.0	0.0	0.0	0.0008333333333333334	0.0	0.0025	0.06333333333333334	0.045	0.075	2.747228062552114	2.001435483890125	0.4587748571022266	4.0	52.0
180	0.15	balanced	hazard_aligned_score	null	1200	1200	1.0	233	0.19416666666666665	0.17277663770000234	0.21750852433533713	0.185	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.045	0.19416666666666668	0.185	0.2	0.0	0.0	0.0	0.024166666666666666	0.02	0.03	0.02666666666666667	0.0225	0.0325	0.0	0.0	0.0	0.05499999999999999	0.045	0.065	1.1029778045717467	0.029324573934803626	0.51163814652322	4.0	52.0
180	0.15	balanced	hazard_aligned_score	one_site_only	1200	1199	0.9991666666666666	337	0.2808333333333333	0.25613657953975166	0.3069288090577804	0.2775	88	0.07333333333333333	0.059906321808916176	0.08948333203875095	0.06	0.2808333333333333	0.2775	0.2825	0.0	0.0	0.0	0.0675	0.0575	0.075	0.005833333333333334	0.0025	0.01	0.0	0.0	0.0	0.10166666666666667	0.085	0.1325	1.4210042336594944	0.4267786860561017	0.38758903293121627	4.0	52.0
180	0.15	balanced	hazard_aligned_score	one_site_reversed	1200	1200	1.0	232	0.19333333333333333	0.17198228800325574	0.216641525699755	0.1725	62	0.051666666666666666	0.04051171663917239	0.06568288056794659	0.0425	0.19333333333333336	0.1725	0.2175	0.0	0.0	0.0	0.0325	0.025	0.04	0.01916666666666667	0.015	0.025	0.0	0.0	0.0	0.39916666666666667	0.3775	0.43	1.2063239977245883	0.1442947392711944	0.08907632049112219	4.0	52.0
180	0.15	imbalanced_60_30_10	balanced_score	homogeneous	1200	1199	0.9991666666666666	604	0.5033333333333333	0.47507885117116644	0.5315665421581487	0.4775	612	0.51	0.4817292502714922	0.5382069297164532	0.4925	0.5033333333333333	0.4775	0.525	0.0	0.0	0.0	0.5099999999999999	0.4925	0.525	0.0	0.0	0.0	0.0	0.0	0.0	0.05833333333333333	0.055	0.0625	1.9757500758719537	1.996646783489291	0.5032229615420319	4.0	16.0
180	0.15	imbalanced_60_30_10	balanced_score	null	1200	1200	1.0	60	0.05	0.039041012521836546	0.06383088802062488	0.035	65	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.0375	0.03	0.02	0.04	0.02	0.015	0.0275	0.03333333333333333	0.025	0.04	0.020833333333333332	0.0125	0.0325	0.0	0.0	0.0	0.059166666666666666	0.055	0.0625	0.027683977753619665	0.07152393389237555	0.4669839167804661	4.0	16.0
