n_requested	latent_event_probability	allocation	score_site_structure	stratified_positive_probability	transport_pass_probability	minimum_seed_transport_pass_probability	median_minimum_site_events_across_seeds	heterogeneity_detection_probability	one_site_only	one_site_reversed	transport_ready
180	0.15	balanced	balanced_score	0.49666666666666665	0.0008333333333333334	0.0	4.0	0.06166666666666667	0.0	0.0	False
180	0.15	balanced	hazard_aligned_score	0.5175	0.0008333333333333334	0.0	4.0	0.06333333333333334	0.0	0.0	False
180	0.15	imbalanced_60_30_10	balanced_score	0.5099999999999999	0.0	0.0	4.0	0.05833333333333333	0.0	0.0	False
180	0.15	imbalanced_60_30_10	hazard_aligned_score	0.5099999999999999	0.0	0.0	4.0	0.051666666666666666	0.0	0.0	False
180	0.3	balanced	balanced_score	0.7841666666666667	0.1858333333333333	0.175	10.0	0.04833333333333333	0.005	0.0	False
180	0.3	balanced	hazard_aligned_score	0.7816666666666667	0.19583333333333333	0.165	10.0	0.050833333333333335	0.005	0.0	False
180	0.3	imbalanced_60_30_10	balanced_score	0.7741666666666666	0.09666666666666668	0.0925	8.0	0.05583333333333334	0.0033333333333333335	0.006666666666666667	False
180	0.3	imbalanced_60_30_10	hazard_aligned_score	0.7633333333333333	0.07500000000000001	0.07	8.0	0.047499999999999994	0.0033333333333333335	0.009166666666666667	False
300	0.15	balanced	balanced_score	0.7516666666666666	0.08083333333333333	0.0675	8.0	0.05833333333333333	0.0016666666666666668	0.0	False
300	0.15	balanced	hazard_aligned_score	0.7408333333333333	0.07583333333333334	0.0625	8.0	0.050833333333333335	0.0025	0.0	False
300	0.15	imbalanced_60_30_10	balanced_score	0.7525000000000001	0.05333333333333334	0.045	8.0	0.05333333333333334	0.0008333333333333334	0.0008333333333333334	False
300	0.15	imbalanced_60_30_10	hazard_aligned_score	0.7266666666666667	0.06583333333333334	0.05	7.0	0.055833333333333325	0.0016666666666666668	0.0025	False
300	0.3	balanced	balanced_score	0.9424999999999999	0.5916666666666667	0.58	17.0	0.050833333333333335	0.016666666666666666	0.0008333333333333334	False
300	0.3	balanced	hazard_aligned_score	0.9391666666666666	0.5966666666666667	0.585	17.0	0.0425	0.006666666666666667	0.0	False
300	0.3	imbalanced_60_30_10	balanced_score	0.945	0.5275	0.5125	14.0	0.06333333333333334	0.010833333333333334	0.02666666666666667	False
300	0.3	imbalanced_60_30_10	hazard_aligned_score	0.94	0.5016666666666666	0.4875	14.0	0.047499999999999994	0.018333333333333333	0.03333333333333333	False
450	0.15	balanced	balanced_score	0.9058333333333334	0.3633333333333333	0.3475	12.0	0.051666666666666666	0.005	0.0008333333333333334	False
450	0.15	balanced	hazard_aligned_score	0.8841666666666667	0.37666666666666665	0.355	12.0	0.043333333333333335	0.0075	0.0	False
450	0.15	imbalanced_60_30_10	balanced_score	0.8933333333333332	0.33916666666666667	0.3175	12.0	0.051666666666666666	0.015	0.020833333333333332	False
450	0.15	imbalanced_60_30_10	hazard_aligned_score	0.89	0.35333333333333333	0.3275	11.0	0.04666666666666667	0.012500000000000002	0.019166666666666665	False
450	0.3	balanced	balanced_score	0.9916666666666667	0.8008333333333333	0.7875	26.0	0.051666666666666666	0.014166666666666666	0.0	True
450	0.3	balanced	hazard_aligned_score	0.9941666666666666	0.8166666666666668	0.785	26.0	0.05333333333333334	0.013333333333333334	0.0	True
450	0.3	imbalanced_60_30_10	balanced_score	0.995	0.7583333333333333	0.7475	20.0	0.06416666666666666	0.0175	0.03	False
450	0.3	imbalanced_60_30_10	hazard_aligned_score	0.9908333333333333	0.7483333333333334	0.7325	20.0	0.06083333333333333	0.022500000000000003	0.03	False
