lesion_stratum	n_samples	n_donors	n_nonfoamy_donors	n_foamy_donors	full_rank_both_endpoints	max_design_condition	eligible	reason
2	15	13	7	7	True	6.597786724196922	True	passes frozen metadata/design gate
3	20	15	9	7	True	8.46581925396926	True	passes frozen metadata/design gate
NAWM	19	15	12	4	True	7.272823560644495	False	fails frozen donor/morphology/design gate
