seed	lesion_stratum	endpoint	n_replicates	donor_wild_p	max_family_p
54501	2	oxphos	100000	0.27717722822771773	0.8188418115818842
54501	2	lysosomal_unique	100000	0.942640573594264	0.999980000199998
54501	3	oxphos	100000	0.14889851101488985	0.16640833591664084
54501	3	lysosomal_unique	100000	0.2979870201297987	0.7397126028739712
54502	2	oxphos	100000	0.27781722182778174	0.8184018159818401
54502	2	lysosomal_unique	100000	0.9413405865941341	1.0
54502	3	oxphos	100000	0.14752852471475286	0.16517834821651783
54502	3	lysosomal_unique	100000	0.2989970100298997	0.7413125868741313
54503	2	oxphos	100000	0.2762672373276267	0.8133118668813312
54503	2	lysosomal_unique	100000	0.942130578694213	0.999990000099999
54503	3	oxphos	100000	0.14894851051489486	0.16580834191658084
54503	3	lysosomal_unique	100000	0.2942370576294237	0.7362926370736292
