analysis	disease_name	compartment	role	module	module_class	n_genes_present	genes_present
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	lgals3_core	target	1	LGALS3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	osmr_tissue_response	covariate	8	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,C3,SERPINE1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	c1q_phagocytic_myeloid	covariate	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	tissue_injury_remodeling	covariate	9	CHI3L1,TIMP1,MMP7,MMP9,SPP1,CD44,FN1,COL1A1,COL1A2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	lgals3_core	target	1	LGALS3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	osmr_tissue_response	covariate	8	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,C3,SERPINE1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	c1q_phagocytic_myeloid	covariate	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	tissue_injury_remodeling	covariate	9	CHI3L1,TIMP1,MMP7,MMP9,SPP1,CD44,FN1,COL1A1,COL1A2
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	lgals3_core	target	1	LGALS3
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	osmr_tissue_response	covariate	8	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,C3,SERPINE1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	c1q_phagocytic_myeloid	covariate	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	tissue_injury_remodeling	covariate	9	CHI3L1,TIMP1,MMP7,MMP9,SPP1,CD44,FN1,COL1A1,COL1A2
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	lgals3_core	target	1	LGALS3
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	osmr_tissue_response	covariate	8	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,C3,SERPINE1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	c1q_phagocytic_myeloid	covariate	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	tissue_injury_remodeling	covariate	9	CHI3L1,TIMP1,MMP7,MMP9,SPP1,CD44,FN1,COL1A1,COL1A2
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	lgals3_core	target	1	LGALS3
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	osmr_tissue_response	covariate	8	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,C3,SERPINE1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	c1q_phagocytic_myeloid	covariate	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	tissue_injury_remodeling	covariate	9	CHI3L1,TIMP1,MMP7,MMP9,SPP1,CD44,FN1,COL1A1,COL1A2
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	lgals3_core	target	1	LGALS3
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	galectin_checkpoint	target	4	LGALS3,LGALS1,LGALS9,LGALS3BP
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	foamy_phagolysosomal_checkpoint	target	12	LGALS3,GPNMB,APOE,CTSD,CTSL,CTSB,LAMP1,LAMP2,TREM2,TYROBP,MERTK,LRP1
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	repair_efferocytosis_control	target	7	GPNMB,TREM2,MERTK,LRP1,APOE,CTSD,CTSL
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
