analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ACSL1	mean_z_vs_controls	6	6	0.12345221852684307	-0.004842967197406807	0.1282951857242499	1.345462732291551	2.524610629687693	0.03235670406977895	0.3373946920096608
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ACSL1	detection_fraction	6	6	0.04038162309943594	0.020598571667960263	0.019783051431475674	0.9426423913855633	1.7687632248520242	0.11293017965105093	0.4978399347918933
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	APOE	mean_z_vs_controls	6	6	0.1110731218521868	0.06691843907050773	0.04415468278167907	0.22128337631057665	0.4152135548603273	0.6881022877169187	0.8592474831265515
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	APOE	detection_fraction	6	6	0.006000935913945393	0.0037386068235252534	0.0022623290904201397	0.32179856383853733	0.6038190842352971	0.5618074823075979	0.7939559165592336
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	mean_z_vs_controls	6	6	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	detection_fraction	6	6	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	mean_z_vs_controls	6	6	-0.010286051286094026	-0.013525290135603295	0.0032392388495092687	0.06267765750545565	0.11760762790708747	0.9087531854339463	0.9749966852288289
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	detection_fraction	6	6	0.005801793972177391	0.00487379302610597	0.0009280009460714209	0.17759029355453013	0.333228362314811	0.7464053359138422	0.8958332610082513
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	mean_z_vs_controls	6	6	0.03544320723718749	-0.010131043995326194	0.045574251232513685	0.70209111764145	1.3173956112392933	0.22884813976346147	0.6119286183397402
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	detection_fraction	6	6	0.0032380633936272044	0.0021807681212207505	0.001057295272406454	0.4576367191561559	0.8587042197365572	0.4124270578157885	0.705561600344308
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3	mean_z_vs_controls	6	6	0.03357427982720217	0.0029492620200851165	0.030625017807117058	0.8472739016182922	1.5898148993241628	0.16410231304084394	0.5639572448164214
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3	detection_fraction	6	6	0.002890262450718651	0.0022189118025651997	0.0006713506481534513	0.45130090496444386	0.846815771641916	0.41938546711310887	0.7116137272294754
