disease_name	n_positive_target_modules_nominal	positive_target_modules	n_negative_target_modules_nominal	negative_target_modules	n_positive_genes_nominal	positive_genes	n_negative_genes_nominal	negative_genes	n_residual_retained_nominal_tests	residual_retained_features
Crohn disease	0		5	ibd_crohn_myeloid:lgals3_core;ibd_crohn_myeloid:galectin_checkpoint;ibd_crohn_stromal:lgals3_core;ibd_crohn_stromal:galectin_checkpoint;ibd_crohn_stromal:foamy_phagolysosomal_checkpoint	2	ibd_crohn_epithelial:CD44;ibd_crohn_epithelial:CTSB	6	ibd_crohn_myeloid:LGALS3;ibd_crohn_stromal:LGALS3;ibd_crohn_myeloid:CTSD;ibd_crohn_stromal:LRP1;ibd_crohn_stromal:LGALS3BP;ibd_crohn_myeloid:LGALS1	2	ibd_crohn_epithelial:CD44|lysosomal_apc;ibd_crohn_epithelial:CTSB|lysosomal_apc
Sjogren syndrome	0		0		1	sjogren_gland_epithelial:TYROBP	2	sjogren_gland_apc:MERTK;sjogren_gland_apc:SPP1	7	sjogren_gland_epithelial:TYROBP|inflammatory_nfkb;sjogren_gland_epithelial:TYROBP|tissue_injury_remodeling;sjogren_gland_epithelial:TYROBP|lipid_loader_repair;sjogren_gland_epithelial:TYROBP|hif_nampt_metabolic;sjogren_gland_epithelial:TYROBP|osmr_tissue_response;sjogren_gland_epithelial:TYROBP|lysosomal_apc;sjogren_gland_epithelial:TYROBP|c1q_phagocytic_myeloid
psoriasis	0		1	psoriasis_keratinocyte:lgals3_core	4	psoriasis_keratinocyte:CTSL;psoriasis_keratinocyte:CTSB;psoriasis_skin_stromal:LGALS9;psoriasis_skin_stromal:CTSB	2	psoriasis_keratinocyte:LGALS3;psoriasis_skin_apc:MSR1	13	psoriasis_skin_stromal:CTSB|lipid_loader_repair;psoriasis_skin_stromal:CTSB|inflammatory_nfkb;psoriasis_keratinocyte:CTSB|inflammatory_nfkb;psoriasis_skin_stromal:LGALS9|hif_nampt_metabolic;psoriasis_keratinocyte:CTSL|inflammatory_nfkb;psoriasis_skin_stromal:LGALS9|inflammatory_nfkb;psoriasis_skin_stromal:LGALS9|c1q_phagocytic_myeloid;psoriasis_skin_stromal:LGALS9|lipid_loader_repair;psoriasis_keratinocyte:CTSL|osmr_tissue_response;psoriasis_skin_stromal:CTSB|c1q_phagocytic_myeloid;psoriasis_keratinocyte:CTSB|osmr_tissue_response;psoriasis_keratinocyte:CTSB|hif_nampt_metabolic;psoriasis_skin_stromal:CTSB|hif_nampt_metabolic
type 1 diabetes mellitus	3	t1d_acinar_cell:repair_efferocytosis_control;t1d_acinar_cell:foamy_phagolysosomal_checkpoint;t1d_ductal_cell:galectin_checkpoint	1	t1d_stellate_cell:lgals3_core	0		1	t1d_stellate_cell:LGALS3	3	t1d_acinar_cell:repair_efferocytosis_control|hla_ii_apc;t1d_acinar_cell:repair_efferocytosis_control|osmr_tissue_response;t1d_ductal_cell:galectin_checkpoint|c1q_phagocytic_myeloid
ulcerative colitis	0		4	ibd_uc_stromal:repair_efferocytosis_control;ibd_uc_myeloid:lgals3_core;ibd_uc_stromal:foamy_phagolysosomal_checkpoint;ibd_uc_myeloid:galectin_checkpoint	2	ibd_uc_myeloid:TYROBP;ibd_uc_epithelial:CD44	12	ibd_uc_stromal:LRP1;ibd_uc_stromal:LGALS3BP;ibd_uc_myeloid:LGALS3;ibd_uc_stromal:FABP5;ibd_uc_myeloid:CTSD;ibd_uc_myeloid:LGALS3BP;ibd_uc_epithelial:MERTK;ibd_uc_epithelial:CTSL;ibd_uc_stromal:CD44;ibd_uc_epithelial:FABP5;ibd_uc_stromal:CTSD;ibd_uc_myeloid:GPNMB	6	ibd_uc_myeloid:TYROBP|c1q_phagocytic_myeloid;ibd_uc_myeloid:TYROBP|osmr_tissue_response;ibd_uc_myeloid:TYROBP|hla_ii_apc;ibd_uc_myeloid:TYROBP|lipid_loader_repair;ibd_uc_epithelial:CD44|lipid_loader_repair;ibd_uc_epithelial:CD44|lysosomal_apc
