gene	direct_positive_disease_count	direct_positive_compartment_count	direct_positive_compartments	direct_negative_disease_count	direct_negative_compartment_count	direct_negative_compartments	residual_retained_positive_test_count	residual_retained_disease_count	broad_positive_disease_count	broad_negative_disease_count	broad_ms_wm_delta_log2	broad_ms_wm_p	existing_positive_disease_count	existing_negative_disease_count	geneformer_support_contexts	geneformer_mean_cosine_shift
LGALS3	0	0		4	5	ibd_crohn_myeloid:-0.752;ibd_crohn_stromal:-0.455;ibd_uc_myeloid:-0.515;psoriasis_keratinocyte:-0.903;t1d_stellate_cell:-0.451	0	0	0	2	0.77778251830029	0.0509037442942543	1	0		
LGALS1	0	0		1	1	ibd_crohn_myeloid:-0.279	0	0	0	0	1.013381224940634	0.0020231848864174	1	0		
LGALS9	1	1	psoriasis_skin_stromal:0.331	0	0		4	1	2	0	0.2021351296490117	0.5166688988096573	0	0		
LGALS3BP	0	0		2	3	ibd_crohn_stromal:-0.307;ibd_uc_myeloid:-0.209;ibd_uc_stromal:-0.577	0	0	0	1	-0.3189154111381445	0.4765991302929709	1	0		
FABP5	0	0		1	2	ibd_uc_stromal:-0.542;ibd_uc_epithelial:-0.209	0	0	2	1	1.2651351909882678	0.004142204528345	5	2		
MSR1	0	0		1	1	psoriasis_skin_apc:-0.334	0	0	0	0	0.5659305923555848	0.0313140694878595	5	0		
SCARB2	0	0		0	0		0	0	0	1	0.5255705587006485	0.0048410941426789	1	0		
GPNMB	0	0		1	1	ibd_uc_myeloid:-0.436	0	0	1	2	1.4339584334150557	0.0049097425501504	4	2		
CD44	2	2	ibd_crohn_epithelial:0.311;ibd_uc_epithelial:0.528	1	1	ibd_uc_stromal:-0.27	3	2	2	1	1.3446537852001974	0.0331669831445104	1	0		
SPP1	0	0		1	1	sjogren_gland_apc:-0.182	0	0	2	0	0.0019111874426158	0.994792495277153	4	0		
