omitted_patient	joint_adjusted_disease_beta
1	0.38786903930433136
2	0.1986813738214224
3	0.23672152135757865
4	0.3911931198698078
5	0.4323200264694201
6	0.37481188923922987
7	0.37335100652949604
8	0.37153900004347745
9	0.3406137253633661
10	0.4252889287856093
11	0.34119626867463826
12	0.3429242762807778
14	0.3491049507252101
15	0.3947787824520094
16	0.3542956599309337
17	0.3523439534464017
18	0.3499619233118759
19	0.35324491590802093
20	0.2523746419910625
21	0.3269693272253935
22	0.36201065497036894
