context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag	source	source_path	gene_canonical	candidate_strong_support_flag
IBD_epithelial	SEL1L3	ENSG00000091490	1920.0	30	30	2	0.0001386106014251	0.0044329706579446	0.2740392386913299	3.3262372016906736e-05	0.000420476322694	0.0191505964331251	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.2505449741693542	-0.0147176257751805	False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
IBD_stromal	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0001160343488057	0.0005381963510569	-0.0027426778251538	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
IBD_myeloid	SEL1L3	ENSG00000091490	1920.0	30	30	0				3.8236876328786214e-05	0.0006062375701614	0.01002573442917	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
psoriasis_keratinocyte	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0001394952336947	0.0007496518255989	0.00021543543747	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
psoriasis_macrophage	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0002051999171574	0.0007931550690155	0.0015801784737656	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
psoriasis_dendritic	SEL1L3	ENSG00000091490	1920.0	30	30	2	0.0002310574054718	-0.011237533763051	0.4533438682556152	2.798686424891154e-05	0.0005768823810909	0.0081759001904477	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.352013768974668	-0.0194134339534987	False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
sjogren_acinar	SEL1L3	ENSG00000091490	1920.0	30	30	2	0.0013221204280853	0.0750966221094131	0.4695021212100982	3.476242224375407e-05	0.0008905974268939	0.0028101857188933	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.4454993546651167	0.0722864363905198	False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
sjogren_duct	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0003366167346636	0.0006512644042422	-0.018529529243824	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
sjogren_APC	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0003519614537556	0.0009555606347079	-0.0347963768911237	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
t1d_acinar	SEL1L3	ENSG00000091490	1920.0	30	30	0				4.045218229293823e-05	0.0005052500018657	0.0045492238714359	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
t1d_ductal	SEL1L3	ENSG00000091490	1920.0	30	30	5	3.720521999639459e-05	0.0103666353970766	0.3528233170509338	0.0001291652520497	0.0006635048576484	0.0136916387573971	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.1385973757286887	-0.0033250033603205	False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
t1d_stellate	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0001132403810818	0.0006984609678555	-0.0076460063884345	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
t1d_endothelial	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0004437923431396	0.000838016573079	-0.0209745090551829	token_not_detected_in_selected_disease_cells			False	unrestricted_survivor_delete	results_v3/geneformer_unrestricted_survivor_delete/geneformer_unrestricted_survivor_delete_metrics.tsv	SEL1L3	False
IBD_epithelial	SEL1L3	ENSG00000091490	1920.0	30	30	3	0.0002885262074414	0.0254132729023695	0.3264990746974945	-5.124459664026896e-05	0.0005117733210534	0.0155121943661166	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.6639087855973177	0.0099010785362528	True	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	True
IBD_stromal	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0001074199875195	0.0006450485759158	-0.0020368815748952	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
IBD_myeloid	SEL1L3	ENSG00000091490	1920.0	30	30	0				1.783867677052816e-05	0.0008412958703254	0.004794660298891	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
psoriasis_keratinocyte	SEL1L3	ENSG00000091490	1920.0	30	30	0				-6.662756204605103e-05	0.0006952022839323	0.0055225943389814	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
psoriasis_macrophage	SEL1L3	ENSG00000091490	1920.0	30	30	0				-6.665239731470743e-05	0.0005145073064085	0.0020135511721794	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
psoriasis_dendritic	SEL1L3	ENSG00000091490	1920.0	30	30	0				2.90075937906901e-07	0.0004877885938144	0.000814327399712	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
sjogren_acinar	SEL1L3	ENSG00000091490	1920.0	30	30	0				-9.232560793558755e-05	0.0011990367216174	0.0003677896398585	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
sjogren_duct	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.0001781865954399	0.0006892292881287	-0.0067122023475045	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
sjogren_APC	SEL1L3	ENSG00000091490	1920.0	30	30	0				-0.000134523709615	0.0008610320518694	-0.0044761885267992	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
t1d_acinar	SEL1L3	ENSG00000091490	1920.0	30	30	0				8.162260055541993e-05	0.0006158845558434	-0.0116091135598253	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
t1d_ductal	SEL1L3	ENSG00000091490	1920.0	30	30	1	-6.67572021484375e-05	-0.0106063317507505	0.3484986126422882	-7.47576355934143e-05	0.0005466271581149	-0.0028951752348802	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.0146359969976009	-0.0077111565158703	False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
t1d_stellate	SEL1L3	ENSG00000091490	1920.0	30	30	0				-8.74742865562439e-05	0.0006692878292547	-0.0181002003063137	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
t1d_endothelial	SEL1L3	ENSG00000091490	1920.0	30	30	0				-8.282562096913655e-05	0.0007962819951889	0.0008340756544688	token_not_detected_in_selected_disease_cells			False	broad_residual_delete	results_v3/geneformer_broad_residual_delete/geneformer_broad_residual_delete_metrics.tsv	SEL1L3	False
IBD_myeloid	IFI30	ENSG00000216490	17791.0	24	24	3	0.0006078680162318	0.0586283095180988	0.4779392778873443	-6.666282812754314e-05	0.0007618724934793	0.0089591247928587	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8853592302288179	0.0496691847252401	True	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	True
IBD_epithelial	IFI30	ENSG00000216490	17791.0	24	24	0				-5.7492819097306994e-05	0.0006726226322263	0.0010491822969116	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
psoriasis_macrophage	IFI30	ENSG00000216490	17791.0	24	24	0				-0.0001816335651609	0.0006728109983834	-0.0139728338108398	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
psoriasis_dendritic	IFI30	ENSG00000216490	17791.0	24	24	0				-0.0002775034970707	0.000631009786783	0.0019775762387628	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
psoriasis_keratinocyte	IFI30	ENSG00000216490	17791.0	24	24	0				-7.025400797526042e-05	0.0006901111324928	-0.0017451725951913	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
sjogren_APC	IFI30	ENSG00000216490	17791.0	24	24	0				-0.0001502997345394	0.00080537875333	-0.0181583902481684	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
t1d_ductal	IFI30	ENSG00000216490	17791.0	24	24	0				0.0001941058370802	0.0009015516090617	0.0288386207200043	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
t1d_acinar	IFI30	ENSG00000216490	17791.0	24	24	0				-9.283754560682508e-05	0.0007259807975174	-0.0252133864301463	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
ra_classical_monocyte	IFI30	ENSG00000216490	17791.0	24	24	2	0.0005630254745483	-0.1586144268512725	0.9299647808074952	-0.0001866560843255	0.0008283954451622	0.0192262266678476	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.9049803004735404	-0.1778406535191201	False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
ra_nonclassical_monocyte	IFI30	ENSG00000216490	17791.0	24	24	4	-6.589293479919434e-05	0.063570849597454	0.6989096403121948	-8.328921265072293e-06	0.000690587811945	0.0079985689226305	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.0833550962505352	0.0555722806748235	False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
ra_myeloid_dendritic	IFI30	ENSG00000216490	17791.0	24	24	0				-0.0001616155107816	0.0010013846887068	0.0093299191276956	token_not_detected_in_selected_disease_cells			False	wave15_loader_dependency_delete	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_metrics.tsv	IFI30	False
