gene	geneformer_sources	geneformer_source_count	total_support_contexts	total_strong_support_contexts	max_support_contexts_in_source	max_strong_support_contexts_in_source	total_disease_cells_with_token	max_contexts_with_token_in_source	best_mean_projection_shift	best_mean_cosine_z_vs_random	best_context_cosine_z	best_context_projection_minus_random	best_geneformer_source	best_geneformer_context	best_context_cells_with_token	stronger_than_ctsh_geneformer	geneformer_rescue_rank	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_pathway	best_direct_rank	best_direct_target_module_effect	best_direct_generic_ifn_effect	best_direct_target_vs_ifn_margin	best_direct_selectivity_score	best_direct_evidence_call	best_direct_control_class	mixscale_transition_pathway	mixscale_transition_perturbation	mixscale_transition_rank	transition_suppression_score	n_modules_suppressed	hla_ii_apc_mean_log2fc	ifn_apc_mean_log2fc	mif_cd74_receptor_state_mean_log2fc	gilt_lysosomal_apc_mean_log2fc	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_rank_required_low_vs_high	MHCII_fdr	CD40_median_low_vs_high_log2	PDL1_median_low_vs_high_log2	gse162463_screen_stronger_than_ctsh	gse162463_mhcii_direction_call	readout_sources	readout_min_log2fc	readout_best_source	readout_best_condition	readout_negative_records	readout_total_records	real_perturbation_alignment_call	foundation_rescue_recommendation	alignment_priority	wave18_rank
IFI30	wave15_loader_dependency_delete	1	1	1	1	1	9	3	-0.0121384225785732	0.568994811483941	0.8853592302288179	0.0496691847252401	wave15_loader_dependency_delete	IBD_myeloid	3	True	39																					4.0	0.4599160523462348	0.1730973352889327	0.75	3889.0	0.9813802911036013	0.657438905556893	0.6767554971185336	False	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-1.34385893389944	Mixscale_GSE281048	IFNG:JAK2	14.0	18.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	9
SEL1L3	broad_residual_delete;unrestricted_survivor_delete	2	1	1	1	1	15	4	0.0196646736003458	0.4773651805201125	1.4454993546651167	0.0722864363905198	broad_residual_delete	IBD_epithelial	3	True	35																					4.0	0.5710540713369701	0.1851918488715364	0.75	3371.0	0.9757112213964096	-1.0301402557151298	0.6505831242278048	False	mhcii_low_enrichment_supportive							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	22
