level	path	source	reason
WARN	data/raw/.gitkeep	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v2/.gitkeep	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v3/.gitkeep	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSE162516_RAW.tar	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953581_LCLd0_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953582_LCLd3_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953583_LCLd7_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953584_LCLd14_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953585_LCLd21_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953586_LCL_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
WARN	data/raw_v35/ebv_gse162516/GSM4953587_AKATA_positive_analysed.txt.gz	tracked	historical/public raw-data path; do not add new restricted validation data here
