feature	n	responders	auc	exact_p
delta_ifn_apc_plasma_like	9	5	1.0	0.015873015873015872
treated_ifn_apc_b_like	9	5	1.0	0.015873015873015872
treated_ifn_apc_plasma_like	9	5	1.0	0.015873015873015872
delta_ifn_apc_b_like	9	5	0.95	0.031746031746031744
treated_ifn_apc_all_bplasma	9	5	0.95	0.031746031746031744
delta_frac_b_plasma	9	5	0.85	0.1111111111111111
delta_ifn_apc_all_bplasma	9	5	0.85	0.1111111111111111
delta_frac_b_like_within_bplasma	9	5	0.6	0.7301587301587301
delta_frac_plasma_like_within_bplasma	9	5	0.6	0.7301587301587301
