seed	donors	effect_scale	method	prob_any_broad_rescue	prob_any_false_promotion	broad_rescue_recall	selection_precision	mean_n_selected
57061	12	0.80	averaged_endpoint	1.000000	0.815500	0.999625	0.691662	5.781000
57061	12	0.80	replicated_broad_rescue	0.926500	0.000500	0.514125	0.999757	2.057000
57061	12	1.00	averaged_endpoint	1.000000	0.960000	0.999750	0.573580	6.972000
57061	12	1.00	replicated_broad_rescue	0.932500	0.000500	0.540625	0.999769	2.163000
57061	14	0.80	averaged_endpoint	1.000000	0.894000	0.999750	0.634309	6.304500
57061	14	0.80	replicated_broad_rescue	0.982500	0.000000	0.662250	1.000000	2.649000
57061	14	1.00	averaged_endpoint	1.000000	0.988000	0.999500	0.504066	7.931500
57061	14	1.00	replicated_broad_rescue	0.976000	0.000500	0.666750	0.999813	2.667500
57061	16	0.80	averaged_endpoint	1.000000	0.954000	0.999875	0.576879	6.933000
57061	16	0.80	replicated_broad_rescue	0.994000	0.001000	0.757500	0.999670	3.031000
57061	16	1.00	averaged_endpoint	1.000000	0.996000	0.999750	0.461139	8.672000
57061	16	1.00	replicated_broad_rescue	0.992500	0.000500	0.768000	0.999837	3.072500
57062	12	0.80	averaged_endpoint	1.000000	0.821500	0.999125	0.691915	5.776000
57062	12	0.80	replicated_broad_rescue	0.934500	0.000500	0.511750	0.999756	2.047500
57062	12	1.00	averaged_endpoint	1.000000	0.964000	0.999625	0.565719	7.068000
57062	12	1.00	replicated_broad_rescue	0.938000	0.000500	0.548625	0.999772	2.195000
57062	14	0.80	averaged_endpoint	1.000000	0.913000	1.000000	0.625978	6.390000
57062	14	0.80	replicated_broad_rescue	0.977500	0.000500	0.650625	0.999808	2.603000
57062	14	1.00	averaged_endpoint	1.000000	0.988000	0.999750	0.510728	7.830000
57062	14	1.00	replicated_broad_rescue	0.981500	0.000500	0.667250	0.999813	2.669500
57062	16	0.80	averaged_endpoint	1.000000	0.960000	0.999750	0.570430	7.010500
57062	16	0.80	replicated_broad_rescue	0.994000	0.001000	0.761625	0.999672	3.047500
57062	16	1.00	averaged_endpoint	1.000000	0.995000	1.000000	0.467126	8.563000
57062	16	1.00	replicated_broad_rescue	0.995000	0.000000	0.766000	1.000000	3.064000
57063	12	0.80	averaged_endpoint	1.000000	0.850000	0.999500	0.687060	5.819000
57063	12	0.80	replicated_broad_rescue	0.932000	0.000000	0.519750	1.000000	2.079000
57063	12	1.00	averaged_endpoint	1.000000	0.967500	0.999875	0.565500	7.072500
57063	12	1.00	replicated_broad_rescue	0.941000	0.000500	0.531500	0.999765	2.126500
57063	14	0.80	averaged_endpoint	1.000000	0.898000	0.999625	0.629041	6.356500
57063	14	0.80	replicated_broad_rescue	0.984000	0.001000	0.664250	0.999624	2.658000
57063	14	1.00	averaged_endpoint	1.000000	0.990500	0.999250	0.507652	7.873500
57063	14	1.00	replicated_broad_rescue	0.977500	0.000000	0.668625	1.000000	2.674500
57063	16	0.80	averaged_endpoint	1.000000	0.951500	1.000000	0.580299	6.893000
57063	16	0.80	replicated_broad_rescue	0.993000	0.001000	0.759625	0.999671	3.039500
57063	16	1.00	averaged_endpoint	1.000000	0.995000	1.000000	0.464253	8.616000
57063	16	1.00	replicated_broad_rescue	0.993500	0.000500	0.749875	0.999833	3.000000
