seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57062	14	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57062	14	0.80	replicated_broad_rescue	null	0.000000
57062	14	1.00	averaged_endpoint	broad_rescue	0.999750
57062	14	1.00	averaged_endpoint	narrow_one_endpoint	0.579000
57062	14	1.00	averaged_endpoint	tradeoff	0.371375
57062	14	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57062	14	1.00	averaged_endpoint	null	0.003687
57062	14	1.00	replicated_broad_rescue	broad_rescue	0.667250
57062	14	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57062	14	1.00	replicated_broad_rescue	tradeoff	0.000000
57062	14	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57062	14	1.00	replicated_broad_rescue	null	0.000000
57062	16	0.80	averaged_endpoint	broad_rescue	0.999750
57062	16	0.80	averaged_endpoint	narrow_one_endpoint	0.455500
57062	16	0.80	averaged_endpoint	tradeoff	0.288250
57062	16	0.80	averaged_endpoint	toxic_pseudorescue	0.000000
57062	16	0.80	averaged_endpoint	null	0.004562
57062	16	0.80	replicated_broad_rescue	broad_rescue	0.761625
57062	16	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000125
57062	16	0.80	replicated_broad_rescue	tradeoff	0.000000
57062	16	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57062	16	0.80	replicated_broad_rescue	null	0.000063
57062	16	1.00	averaged_endpoint	broad_rescue	1.000000
57062	16	1.00	averaged_endpoint	narrow_one_endpoint	0.674250
57062	16	1.00	averaged_endpoint	tradeoff	0.458875
57062	16	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57062	16	1.00	averaged_endpoint	null	0.003812
57062	16	1.00	replicated_broad_rescue	broad_rescue	0.766000
57062	16	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000000
57062	16	1.00	replicated_broad_rescue	tradeoff	0.000000
57062	16	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57062	16	1.00	replicated_broad_rescue	null	0.000000
57063	12	0.80	averaged_endpoint	broad_rescue	0.999500
57063	12	0.80	averaged_endpoint	narrow_one_endpoint	0.278625
57063	12	0.80	averaged_endpoint	tradeoff	0.167500
57063	12	0.80	averaged_endpoint	toxic_pseudorescue	0.000125
57063	12	0.80	averaged_endpoint	null	0.004500
57063	12	0.80	replicated_broad_rescue	broad_rescue	0.519750
