gene	geneformer_sources	geneformer_source_count	total_support_contexts	total_strong_support_contexts	max_support_contexts_in_source	max_strong_support_contexts_in_source	total_disease_cells_with_token	max_contexts_with_token_in_source	best_mean_projection_shift	best_mean_cosine_z_vs_random	best_context_cosine_z	best_context_projection_minus_random	best_geneformer_source	best_geneformer_context	best_context_cells_with_token	stronger_than_ctsh_geneformer	geneformer_rescue_rank	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_pathway	best_direct_rank	best_direct_target_module_effect	best_direct_generic_ifn_effect	best_direct_target_vs_ifn_margin	best_direct_selectivity_score	best_direct_evidence_call	best_direct_control_class	mixscale_transition_pathway	mixscale_transition_perturbation	mixscale_transition_rank	transition_suppression_score	n_modules_suppressed	hla_ii_apc_mean_log2fc	ifn_apc_mean_log2fc	mif_cd74_receptor_state_mean_log2fc	gilt_lysosomal_apc_mean_log2fc	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_rank_required_low_vs_high	MHCII_fdr	CD40_median_low_vs_high_log2	PDL1_median_low_vs_high_log2	gse162463_screen_stronger_than_ctsh	gse162463_mhcii_direction_call	readout_sources	readout_min_log2fc	readout_best_source	readout_best_condition	readout_negative_records	readout_total_records	real_perturbation_alignment_call	foundation_rescue_recommendation	alignment_priority	wave18_rank
STAT1	candidate_delete	1	2	1	2	1	19	4	-0.006771785556338726	-0.16488669814147958	0.7868861210548939	0.0569055793392989	candidate_delete	IBD_myeloid	4	True	31	Mixscale_CRISPRi	GSE281048_Zenodo14035992	STAT1	IFNG	176.0	-1.0117337805990914	-1.4081139020072244	-0.396380121408133	-0.4012258865119662	broad_ifn_jak_like_collapse	broad_IFN_JAK_positive_control	IFNG	STAT1	4.0	1.8999421413281312	4.0	-1.10728318762707	-1.2526083903684944	-0.2815758414691626	-0.1806019229510205	4.0	3.3365236819178272	3.175778799144253	1.0	44.0	0.9248624482023996	1.2586027292129869	7.035461487189096	True	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-3.352641139926016	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	22.0	33.0	model_and_broad_ifn_jak_real_align_not_selective	positive_control_not_candidate_promotion	2	1
TMSB10	broad_residual_delete	1	4	2	4	2	76	12	-0.029129597047964723	0.5735651911117147	1.0902452359573904	0.052645933756139	broad_residual_delete	IBD_stromal	9	True	8																					4.0	1.2339876863124286	1.725600399050678	1.0	1166.0	0.9248624482023996	-0.9145613074619215	1.40407452723148	True	mhcii_low_enrichment_supportive							model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	3	2
SEC61A1	broad_residual_delete	1	4	2	4	2	49	12	0.001331426591301959	-0.02682966487798502	0.5681001248654841	0.0332845077772314	broad_residual_delete	t1d_stellate	10	True	9																					4.0	2.9584577923183843	2.240003838706497	0.75	80.0	0.9248624482023996	0.3504848222600335	-0.1207326532716387	True	mhcii_low_enrichment_supportive							model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	3	3
CD74	broad_residual_delete;wave14_narrowed_delete;wave15_loader_dependency_delete	3	2	1	1	1	247	9	-0.02031414137621015	0.24260406169601573	2.184406319356157	0.1334118285468625	broad_residual_delete	IBD_epithelial	4	True	27																					4.0	1.563545242623822	1.6302982393546164	1.0	651.0	0.9248624482023996	-0.1141353791709362	-0.869469299809249	True	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-2.459210478390288	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	14.0	18.0	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	3	4
CD300E	pivot_panel_delete	1	1	1	1	1	12	2	0.05664420127868645	1.016998788862656	0.9451323905283155	0.0577663910400587	pivot_panel_delete	IBD_myeloid	11	True	38																					4.0	1.1880102856768335	1.1399307795452387	0.75	1262.0	0.9248624482023996	-0.2789484860647295	-0.428329372455437	True	mhcii_low_enrichment_supportive							model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	3	5
PTPN2	broad_residual_delete;wave14_narrowed_delete	2	5	1	3	1	48	9	0.016844040300283154	0.35930942984015807	0.8641911293336803	0.0404259498399268	wave14_narrowed_delete	ra_classical_monocyte	3	True	18																					4.0	1.445053942051179	0.9864335577080814	0.75	803.0	0.9291302535167016	-1.6331516561310506	-3.5256958908304865	True	mhcii_low_enrichment_supportive							model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	3	6
LAMP3	pivot_panel_delete;wave15_loader_dependency_delete	2	2	2	1	1	14	4	0.134614810347557	1.456825634832924	1.456825634832924	0.1266027453452504	wave15_loader_dependency_delete	psoriasis_dendritic	3	True	12																															Mixscale_GSE281048	-1.6461870073323888	Mixscale_GSE281048	IFNB:TYK2	5.0	7.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	7
CTSD	wave15_loader_dependency_delete	1	1	1	1	1	40	10	-0.0121691713808104	0.018184174286999782	1.093926048659726	0.0138300958173608	wave15_loader_dependency_delete	ra_classical_monocyte	4	True	37																					4.0	0.4133560444808046	0.6248603568757489	1.0	4138.0	0.9248624482023996	-0.1072088155080478	0.0035647433094598	False	mhcii_low_enrichment_supportive	Mixscale_GSE281048	-0.0768519318142154	Mixscale_GSE281048	IFNB:IFNAR1	6.0	24.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	8
IFI30	wave15_loader_dependency_delete	1	1	1	1	1	9	3	-0.012138422578573232	0.568994811483941	0.8853592302288179	0.0496691847252401	wave15_loader_dependency_delete	IBD_myeloid	3	True	39																					4.0	0.4599160523462348	0.1730973352889327	0.75	3889.0	0.9813802911036013	0.657438905556893	0.6767554971185336	False	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-1.34385893389944	Mixscale_GSE281048	IFNG:JAK2	14.0	18.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	9
CTSS	broad_residual_delete;wave14_narrowed_delete;wave15_loader_dependency_delete	3	3	1	1	1	207	8	0.0026028070798409706	-0.37998062392226295	0.586564766275806	0.0799428578983578	wave14_narrowed_delete	IBD_myeloid	16	True	24																					4.0	0.9772742396217962	1.0374036131205282	1.0	1803.0	0.9248624482023996	0.1671392954032711	0.2587496488570062	False	mhcii_low_enrichment_supportive	GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048	-1.47354277692381	Mixscale_GSE281048	IFNG:IFNGR2	25.0	33.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	10
HLA-DMB	wave15_loader_dependency_delete	1	1	1	1	1	11	3	0.020432969128402565	-0.08846240952582639	0.7554470884256149	0.0983530274275431	wave15_loader_dependency_delete	sjogren_APC	4	True	42																															GSE294918_human_ruxolitinib	-1.0553853955948025	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	4.0	4.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	11
HLA-DRB1	broad_residual_delete	1	1	1	1	1	21	5	0.0051210917532444	0.3859532805436581	0.7110711174518061	0.0588716908406544	broad_residual_delete	IBD_myeloid	13	True	43																															GSE294918_human_ruxolitinib	-0.940740337609693	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	4.0	4.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	5	12
SEC61B	broad_residual_delete	1	5	5	5	5	77	12	-0.003400613873964184	0.4989779545182109	1.9466551477889356	0.0752456766475612	broad_residual_delete	t1d_stellate	3	True	1																					4.0	0.3170554617960796	0.4552400445149812	0.5	4646.0	0.9423517594230226	0.3067114221120252	-1.314815949576614	False	mixed_or_weak							model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	6	13
