mechanism_level	n_items	n_direction_modality	fraction
genetics_coloc	3	2	0.6666666666666666
genetics_direction	2	2	1.0
genetics_to_target	2	2	1.0
exploratory_module	4	1	0.25
target_nomination	1	1	1.0
cross_axis_transfer	4	0	0.0
deep_structure	1	0	0.0
modeling	1	0	0.0
treatment_response	1	0	0.0
treatment_response_modeling	1	0	0.0
