required_target	check	status	detail
EXTERNAL_LAYER_READER_BRIEF_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/EXTERNAL_KNOWLEDGE_INDEX.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_DOMAIN_RELATIONSHIP_ROLLUP_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_URL_DUPLICATE_REVIEW_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/SOURCE_TERMS_REVIEW_QUEUE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/HIGH_PRIORITY_SOURCE_TERMS_PACKET_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_GOVERNANCE_NAVIGATION.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/GOVERNANCE_FAILURE_MODE_MATRIX_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_EXTERNAL_SYNTHESIS_DEPENDENCY_GRAPH.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_EVIDENCE_BOUNDARY_GLOSSARY.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_PREFLIGHT_SUMMARY_CARD.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_EXTERNAL_GOVERNANCE_HANDOFF.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONVERGENCE_CONTRADICTION_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONVERGENCE_DECISION_TABLE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/DECISION_RELEVANT_CONVERGENCES_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONTRADICTION_READINESS_PLAYBOOK_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
synthesis/V37_FINDING_EXTERNAL_COVERAGE_V48.md	linked_from_public_external_index	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/INDEX.md
