marker_compartment	class	n	n_responders	locked_auc	locked_exact_perm_p_auc_ge_observed	receptor_auc	mean_locked_responder	mean_locked_nonresponder
t_cell_like	T/B-like	9	5	1.0	0.007936507936507936	0.6	1.0371289900168859	-0.08957737341081674
b_plasma_like	T/B-like	9	5	0.95	0.015873015873015872	0.75	0.7851515838383147	-1.026484780826004
epithelial_like	non-T/B-like	9	5	0.9	0.031746031746031744	1.0	1.2173262998441343	-0.44606805996989773
myeloid_apc_like	non-T/B-like	9	5	0.8	0.09523809523809523	0.75	0.47455946254065945	-0.5242576576011563
stromal_endothelial_like	non-T/B-like	9	5	0.75	0.14285714285714285	0.95	1.0046471992238826	-0.17381369448567524
