dataset	analysis_type	compartment	module	metric	n	effect	p	fdr	note
GSE253006	baseline_response	stromal_endothelial_like	lipid_loader_repair	high_fraction	4R/6NR	-0.0780181783095606	0.0352947651771399	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	lipid_loader_repair	mean_score	4R/6NR	-0.0524691059536404	0.129100530480739	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	mixscale_validated_ifng_readout	high_fraction	5R/6NR	-0.074940576542497	0.149857742216826	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	mif_cd74_receptor_state	high_fraction	5R/6NR	-0.0798486977730811	0.2551931323844549	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	t_cell_like	complement_phagocytosis	high_fraction	5R/6NR	0.0238654122276984	0.2569420793280776	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	lysosomal_apc	mean_score	4R/6NR	0.0636187676710567	0.2674707135043463	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	ifn_apc	high_fraction	5R/6NR	-0.0703202180234635	0.2845861294412729	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	epithelial_like	lysosomal_apc	high_fraction	5R/6NR	0.0479680030292024	0.2853959051400995	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	mixscale_validated_ifng_readout	mean_score	5R/6NR	-0.0683040556875607	0.3050806089081047	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	t_cell_like	complement_phagocytosis	mean_score	5R/6NR	0.0369064136722891	0.3133888251596847	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	b_plasma_like	complement_phagocytosis	mean_score	5R/6NR	0.0357407992263381	0.3243734510835453	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	epithelial_like	lysosomal_apc	mean_score	5R/6NR	0.0549076459633446	0.3289045854960638	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	ifn_apc	high_fraction	4R/6NR	0.1195642194479776	0.3391165030314023	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	mixscale_validated_ifng_readout	mean_score	4R/6NR	0.081952315883112	0.3700020506148772	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	ifn_apc	mean_score	4R/6NR	0.1283329362401805	0.3898370440097175	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	stromal_endothelial_like	complement_phagocytosis	high_fraction	4R/6NR	0.0254035753517903	0.4049810774901126	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	lysosomal_apc	high_fraction	5R/6NR	-0.0368946393806675	0.4172092316067574	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	b_plasma_like	complement_phagocytosis	high_fraction	5R/6NR	0.0182013897008557	0.4192278194305534	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	myeloid_apc_like	ifn_apc	mean_score	5R/6NR	-0.0814465261284202	0.4254716370462448	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	baseline_response	t_cell_like	hif_nampt_metabolic	mean_score	5R/6NR	0.0359853796084119	0.4267458428758492	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	prepost_pharmacodynamic	t_cell_like	mixscale_validated_ifng_readout	high_fraction	5 pairs Responder	-0.1142147550499161	0.0003951890222558	0.0869415848962968	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	epithelial_like	complement_phagocytosis	mean_score	4 pairs No responder	0.0195791946286757	0.0127536497103508	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	stromal_endothelial_like	lysosomal_apc	high_fraction	4 pairs Responder	-0.1277337332070791	0.0128868441978544	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	hif_nampt_metabolic	mean_score	5 pairs Responder	-0.129734927371857	0.0208188053677014	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	mixscale_validated_ifng_readout	mean_score	5 pairs Responder	-0.090440758663435	0.0210062528513891	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	stromal_endothelial_like	lysosomal_apc	mean_score	4 pairs Responder	-0.2279891084242357	0.0284697845149345	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	lysosomal_apc	mean_score	5 pairs Responder	-0.0665424579735721	0.0299852107631626	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	epithelial_like	lipid_loader_repair	mean_score	4 pairs No responder	0.0614879377775026	0.0300504708571645	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	ifn_apc	mean_score	5 pairs Responder	-0.1436735084008903	0.0314716792849188	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	myeloid_apc_like	lysosomal_apc	mean_score	5 pairs Responder	-0.1099229216470996	0.0333451238723954	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	epithelial_like	inflammatory_nfkb	high_fraction	5 pairs Responder	-0.140364303130622	0.0351377077314801	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	hla_ii_apc	high_fraction	5 pairs Responder	-0.086371958847909	0.0436363236729745	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	hif_nampt_metabolic	high_fraction	5 pairs Responder	-0.088895236341267	0.0516644604365926	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	hla_ii_apc	mean_score	5 pairs Responder	-0.119738391498794	0.0561261974653942	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	lysosomal_apc	high_fraction	5 pairs Responder	-0.0521128296105114	0.0562291895740923	0.5024223317956373	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	epithelial_like	hif_nampt_metabolic	high_fraction	5 pairs Responder	-0.1819459514195562	0.0663345220582905	0.5178607107080375	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	ifn_apc	high_fraction	5 pairs Responder	-0.104980135087623	0.0793628416274553	0.5178607107080375	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	epithelial_like	ifn_apc	mean_score	5 pairs Responder	-0.263559496591737	0.0805047766694172	0.5178607107080375	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	t_cell_like	lipid_loader_repair	mean_score	5 pairs Responder	-0.0234920119643008	0.0824892171908138	0.5178607107080375	earliest post-tofacitinib minus baseline
GSE253006	prepost_pharmacodynamic	myeloid_apc_like	mixscale_validated_ifng_readout	mean_score	5 pairs Responder	-0.1083439475049493	0.0833592293925914	0.5178607107080375	earliest post-tofacitinib minus baseline
