subset	n_cohorts	n_subjects	raw_locked_auc	cohort_percentile_auc	is_selected_bounded_pair	pair_rank_raw_locked_auc	pair_rank_cohort_percentile_auc
GSE235357;GSE250453	2	20	0.62	0.66	False	4.0	4.0
GSE235357;GSE253006_TOF_exact	2	19	0.8111111111111111	0.8277777777777777	True	1.0	1.0
GSE235357;GSE85034_ADA	2	24	0.5142857142857142	0.6	False	6.0	5.0
GSE250453;GSE253006_TOF_exact	2	19	0.7888888888888889	0.7555555555555555	False	2.0	2.0
GSE250453;GSE85034_ADA	2	24	0.5571428571428572	0.5464285714285714	False	5.0	6.0
GSE253006_TOF_exact;GSE85034_ADA	2	23	0.7380952380952381	0.6944444444444444	False	3.0	3.0
GSE235357;GSE250453;GSE253006_TOF_exact	3	29	0.7333333333333333	0.7452380952380953	False		
GSE235357;GSE250453;GSE85034_ADA	3	34	0.5473684210526316	0.5982456140350877	False		
GSE235357;GSE253006_TOF_exact;GSE85034_ADA	3	33	0.6691729323308271	0.6992481203007519	False		
GSE250453;GSE253006_TOF_exact;GSE85034_ADA	3	33	0.6954887218045113	0.6578947368421053	False		
GSE235357;GSE250453;GSE253006_TOF_exact;GSE85034_ADA	4	43	0.6557017543859649	0.6721491228070176	False		
