cell_state	gene	n	remission_adjusted_delta	remission_adjusted_p	formula	remission_adjusted_fdr
DC	ABAT	29	-1.2258528521593555	0.0747604868338139	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0873257566853912
DC	ABCC4	29	2.1623883467545832	0.010201311700801559	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.027912195848027035
DC	ABHD17C	29	-0.5200343984132163	0.2935131906558313	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.2964346889038986
DC	AC004223.4	29	-0.44316316748763485	0.1474839588291192	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.155235536194965
DC	AC004803.1	29	0.9275664337885128	0.05577131146249724	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06974850948719868
DC	AC004837.2	29	-0.6515047011907471	0.04092047880094197	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.056516305567181194
DC	AC005162.3	29	-1.7524765113082694	0.017054880678693537	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.034749033993268494
DC	AC005261.3	29	-1.7228128276621104	0.01651456418132212	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03405725853876379
DC	AC005726.5	29	-0.5873471580835422	0.33387161574349	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.3365249001070144
DC	AC005944.1	29	-0.3494269643094985	0.11732010432455277	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.12736176803278837
DC	AC007326.4	29	-0.9074900048494521	0.014230937805652037	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03180805262468133
DC	AC007620.2	29	-1.049384278125232	0.04105163848754606	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.056594740740982884
DC	AC007786.1	29	0.41504712716595116	0.04962615822918651	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06477788406931549
DC	AC008771.1	29	-0.5020320497274147	0.17472660689738176	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.18078442943427261
DC	AC008966.1	29	-0.6212018867929598	0.0418680516586073	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.05730501315143912
DC	AC010519.1	29	-0.5153515829060598	0.020934069820802103	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03852678871494656
DC	AC010894.3	29	-0.611040053704831	0.06712940412861187	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.08015295328101239
DC	AC011195.2	29	-0.3420017622253093	0.11791181809003051	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.1276195498714341
DC	AC012213.2	29	-0.4310094355970265	0.06127194106330746	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.07442609281592494
DC	AC012645.3	29	-0.8202574691457613	0.06352225654992709	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0767308527531659
DC	AC015802.6	29	-1.4896302996225566	0.017085712786015218	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03476531398437856
DC	AC015922.3	29	-1.1333844362701104	0.01769154062918798	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.035336646768535575
DC	AC018362.2	29	-0.3700302839835724	0.05162316994493	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06619247233039886
DC	AC018638.7	29	-0.9406342221533012	0.012065529041959145	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.029553227477591176
DC	AC020661.1	29	-0.26466528657372673	0.23019946431834892	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.2337315441577899
DC	AC020915.3	29	-0.9501030961490085	0.06489568500083814	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.078080025748044
DC	AC022211.2	29	1.2376646611240834	0.017899544567548994	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0354338707823494
DC	AC026471.4	29	-0.7801993716830773	0.051601003800725	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.06619247233039886
DC	AC026691.1	29	-0.6830300895476165	0.122756432399734	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.1316668711151481
DC	AC027020.2	29	1.5748651385743622	0.004272613416247132	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.021160825744123955
DC	AC032044.1	29	-0.7127538067654734	0.07771733515158713	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09001962260328433
DC	AC061992.1	29	-0.5415630181717476	0.21797313813996708	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.2223559760382238
DC	AC073896.3	29	-1.2826147547719224	0.013274320020282313	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03122665750389958
DC	AC078962.3	29	-0.5962793513055092	0.034166223433247815	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.04994475736139627
DC	AC079807.1	29	-0.8761859527079695	0.08285731095963779	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.09453435328378465
DC	AC083880.1	29	-1.158572025667142	0.018148380250102455	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03559514786167002
DC	AC090739.1	29	1.4737578594607692	0.0031766702541270765	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.018453786743440496
DC	AC092683.1	29	-1.3940052274201649	0.018576257745847233	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.03612071732606656
DC	AC092687.3	29	-0.25698530709121814	0.18376277250822223	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.18897766199832042
DC	AC092723.5	29	-0.4688923400799462	0.02519229765339774	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.042697858606315545
