path	record_id	relationship_to_project_findings	check	status	detail
knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json	resource.fda.fdalabel_drug_labeling.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/figshare_repository.json	resource.figshare.repository.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/figshare_repository.json	resource.figshare.repository.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/figshare_repository.json	resource.figshare.repository.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/geo_functional_genomics.json	resource.geo.functional_genomics.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/geo_functional_genomics.json	resource.geo.functional_genomics.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/geo_functional_genomics.json	resource.geo.functional_genomics.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json	resource.gwas_catalog.ms.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json	resource.gwas_catalog.ms.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json	resource.gwas_catalog.ms.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/imsgc_publications.json	resource.imsgc.publications.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/imsgc_publications.json	resource.imsgc.publications.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/imsgc_publications.json	resource.imsgc.publications.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json	resource.ms_society_uk.types_of_ms.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json	resource.ms_society_uk.types_of_ms.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json	resource.ms_society_uk.types_of_ms.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/msbase_registry.json	resource.msbase.registry.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/catalogs/resources/msbase_registry.json	resource.msbase.registry.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/catalogs/resources/msbase_registry.json	resource.msbase.registry.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/catalogs/resources/msda_catalogue.json	resource.msda.catalogue.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
