cohort	status	action	tracker_cohort	triage_cohort	hard_failure	failure_reason
gafson_dmf_neda	draft	ignored	Gafson_2018_DMF_PBMC_PMID30283812	gafson_dmf_2018	no	not_sent_status
karolinska_dmf_ros	draft	ignored	Karolinska_DMF_ROS_GSE130478_GSE130491_GSE130494	karolinska_dmf_ros_2019	no	not_sent_status
gse228330_ocrelizumab	draft	ignored	GSE228330_ocrelizumab_PBMC	gse228330_ocrelizumab_pbmc	no	not_sent_status
author_run_fallback	draft	ignored	Any_author_run_fallback		no	not_sent_status
