pathway	perturbation	gene	n_cell_types	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr05	sig_positive_fdr05
IFNB	IFNAR1	B2M	6	-0.7418072424638601	-0.488360082974332	1.0	6	0
IFNB	IFNAR1	CD44	5	0.12900320936376022	0.154146863430056	0.4	1	2
IFNB	IFNAR1	CTSB	6	-0.013536751468253483	-0.01663420234101295	0.5	2	0
IFNB	IFNAR1	CTSD	4	-0.07685193181421546	-0.0735479464264519	0.75	1	0
IFNB	IFNAR1	CTSL	4	-0.31267250196540874	-0.3186533547731195	1.0	3	0
IFNB	IFNAR1	CTSS	3	-0.5654776330277079	-0.806030950769472	1.0	2	0
IFNB	IFNAR1	GBP1	4	-0.801052399402535	-0.6985002357166126	1.0	4	0
IFNB	IFNAR1	IRF1	5	-0.674100000862845	-0.746501818222235	1.0	5	0
IFNB	IFNAR1	LAMP1	6	0.06543364228739586	0.0346946701701396	0.5	0	0
IFNB	IFNAR1	LAMP2	6	0.06922162878789612	0.12737245318272206	0.3333333333333333	0	0
IFNB	IFNAR1	LAMP3	4	-0.9644769406630604	-0.8906893283070525	1.0	4	0
IFNB	IFNAR1	NLRC5	5	-1.0885523318470987	-0.803877736681408	1.0	5	0
IFNB	IFNAR1	RFX5	2	-0.0237317624330505	-0.0237317624330505	0.5	1	0
IFNB	IFNAR1	STAT1	6	-0.9846190341528711	-0.870597911184818	1.0	6	0
IFNB	IFNAR1	TAP1	6	-1.0786640630221942	-1.0395777213938948	1.0	6	0
IFNB	IFNAR1	TAP2	6	-0.7310014635212095	-0.8028971966599374	1.0	6	0
IFNB	IRF1	B2M	6	0.03934683249625993	0.0320937512869943	0.3333333333333333	2	1
IFNB	IRF1	CD44	5	0.1929769380220816	0.180575572592238	0.0	0	1
IFNB	IRF1	CTSB	6	0.004196128780952324	-0.060895933412588046	0.6666666666666666	0	0
IFNB	IRF1	CTSD	4	0.018527691859971246	-0.00546631481550551	0.5	0	0
IFNB	IRF1	CTSL	4	0.09498392454798793	0.01474229901404635	0.5	0	1
IFNB	IRF1	CTSS	3	-0.23812257592327182	-0.265233857525835	1.0	2	0
IFNB	IRF1	GBP1	4	-0.39391390686129624	-0.4114303908794135	1.0	4	0
IFNB	IRF1	IRF1	5	-0.5687997135428088	-0.426261648292472	1.0	4	0
IFNB	IRF1	LAMP1	6	0.05271179678688629	0.06681724017073305	0.3333333333333333	0	0
IFNB	IRF1	LAMP2	6	0.07422477660318885	0.06862520439935395	0.16666666666666666	0	0
IFNB	IRF1	LAMP3	4	0.10972969835306125	0.094217756627444	0.25	1	1
IFNB	IRF1	NLRC5	5	-0.06759105700910764	-0.128767100403435	0.8	3	0
