pathway	perturbation	cell_type	module	n_genes	genes_present	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr05	sig_positive_fdr05
IFNB	IFNAR1	A549	hla_ii_apc	1	RFX5	0.149695112425751	0.149695112425751	0.0	0	0
IFNB	IFNAR1	A549	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.3552667165499815	-0.118848638955706	1.0	4	0
IFNB	IFNAR1	A549	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.5063381551292334	-0.508237541986694	1.0	7	0
IFNB	IFNAR1	A549	mif_cd74_receptor_state	1	CD44	0.340824264230522	0.340824264230522	0.0	0	1
IFNB	IFNAR1	BXPC3	hla_ii_apc	0					0	0
IFNB	IFNAR1	BXPC3	gilt_lysosomal_apc	7	CTSB,CTSD,CTSL,CTSS,LAMP1,LAMP2,LAMP3	-0.30864229910183016	-0.220038866372024	0.8571428571428571	5	0
IFNB	IFNAR1	BXPC3	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-0.5186304462929551	-0.499385768713922	1.0	7	0
IFNB	IFNAR1	BXPC3	mif_cd74_receptor_state	1	CD44	0.382257055681535	0.382257055681535	0.0	0	1
IFNB	IFNAR1	HAP1	hla_ii_apc	0					0	0
IFNB	IFNAR1	HAP1	gilt_lysosomal_apc	3	CTSB,LAMP1,LAMP2	-0.142205717356595	-0.195120381374547	1.0	0	0
IFNB	IFNAR1	HAP1	ifn_apc	5	B2M,NLRC5,STAT1,TAP1,TAP2	-1.6257573370991387	-1.71814014237955	1.0	5	0
IFNB	IFNAR1	HAP1	mif_cd74_receptor_state	0					0	0
IFNB	IFNAR1	HT29	hla_ii_apc	0					0	0
IFNB	IFNAR1	HT29	gilt_lysosomal_apc	5	CTSB,CTSD,LAMP1,LAMP2,LAMP3	-0.2117697126185761	0.0753573670997982	0.4	1	0
IFNB	IFNAR1	HT29	ifn_apc	7	B2M,GBP1,IRF1,NLRC5,STAT1,TAP1,TAP2	-1.2246961257088294	-1.24149011389899	1.0	7	0
IFNB	IFNAR1	HT29	mif_cd74_receptor_state	1	CD44	0.154146863430056	0.154146863430056	0.0	0	0
IFNB	IFNAR1	K562	hla_ii_apc	0					0	0
IFNB	IFNAR1	K562	gilt_lysosomal_apc	5	CTSB,CTSL,CTSS,LAMP1,LAMP2	0.047784631048985664	0.125340776706085	0.4	0	0
IFNB	IFNAR1	K562	ifn_apc	5	B2M,IRF1,STAT1,TAP1,TAP2	-0.9097720982550014	-0.894172943623493	1.0	5	0
IFNB	IFNAR1	K562	mif_cd74_receptor_state	1	CD44	-0.0693606240408089	-0.0693606240408089	1.0	0	0
