target_analyzable_per_group	missing_or_dropout_fraction	enrollment_required_per_group	total_enrollment_required	interpretation
15	0.0	15	30	Enroll 15 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 0%.
15	0.1	17	34	Enroll 17 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 10%.
15	0.2	19	38	Enroll 19 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 20%.
15	0.3	22	44	Enroll 22 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 30%.
15	0.4	25	50	Enroll 25 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 40%.
15	0.5	30	60	Enroll 30 per response group to retain about 15 analyzable paired subjects/group if missing/dropout is 50%.
30	0.0	30	60	Enroll 30 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 0%.
30	0.1	34	68	Enroll 34 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 10%.
30	0.2	38	76	Enroll 38 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 20%.
30	0.3	43	86	Enroll 43 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 30%.
30	0.4	50	100	Enroll 50 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 40%.
30	0.5	60	120	Enroll 60 per response group to retain about 30 analyzable paired subjects/group if missing/dropout is 50%.
60	0.0	60	120	Enroll 60 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 0%.
60	0.1	67	134	Enroll 67 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 10%.
60	0.2	75	150	Enroll 75 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 20%.
60	0.3	86	172	Enroll 86 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 30%.
60	0.4	100	200	Enroll 100 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 40%.
60	0.5	120	240	Enroll 120 per response group to retain about 60 analyzable paired subjects/group if missing/dropout is 50%.
80	0.0	80	160	Enroll 80 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 0%.
80	0.1	89	178	Enroll 89 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 10%.
80	0.2	100	200	Enroll 100 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 20%.
80	0.3	115	230	Enroll 115 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 30%.
80	0.4	134	268	Enroll 134 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 40%.
80	0.5	160	320	Enroll 160 per response group to retain about 80 analyzable paired subjects/group if missing/dropout is 50%.
