nominal_enrolled_per_group	missing_or_dropout_fraction	expected_analyzable_per_group	scenario	description	mapped_grid_n_per_group	pass_rate	conclusive_rate	decision_band	planning_note
15	0.0	15	large_clean	large effect, clean labels, no confounder	15	0.5416666666666666	0.5416666666666666	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 15/group; using nearest lower simulated grid n=15.
15	0.0	15	large_noisy_immune	large effect, 10% label noise, immune-tone structure	15	0.3333333333333333	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 15/group; using nearest lower simulated grid n=15.
15	0.0	15	moderate_clean	moderate effect, clean labels, no confounder	15	0.2499999999999999	0.4583333333333333	mostly_inconclusive	Attrition maps nominal 15/group to about 15/group; using nearest lower simulated grid n=15.
15	0.0	15	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	15	0.1249999999999999	0.5	mostly_inconclusive	Attrition maps nominal 15/group to about 15/group; using nearest lower simulated grid n=15.
15	0.1	13	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 13/group; using nearest lower simulated grid n=10.
15	0.1	13	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 13/group; using nearest lower simulated grid n=10.
15	0.1	13	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 13/group; using nearest lower simulated grid n=10.
15	0.1	13	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 13/group; using nearest lower simulated grid n=10.
15	0.2	12	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 12/group; using nearest lower simulated grid n=10.
15	0.2	12	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 12/group; using nearest lower simulated grid n=10.
15	0.2	12	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 12/group; using nearest lower simulated grid n=10.
15	0.2	12	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 12/group; using nearest lower simulated grid n=10.
15	0.3	10	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 10/group; using nearest lower simulated grid n=10.
15	0.3	10	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 10/group; using nearest lower simulated grid n=10.
15	0.3	10	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 10/group; using nearest lower simulated grid n=10.
15	0.3	10	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 15/group to about 10/group; using nearest lower simulated grid n=10.
15	0.4	9	large_clean	large effect, clean labels, no confounder				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.4	9	large_noisy_immune	large effect, 10% label noise, immune-tone structure				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.4	9	moderate_clean	moderate effect, clean labels, no confounder				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.4	9	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.5	7	large_clean	large effect, clean labels, no confounder				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.5	7	large_noisy_immune	large effect, 10% label noise, immune-tone structure				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.5	7	moderate_clean	moderate effect, clean labels, no confounder				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
15	0.5	7	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure				below_simulated_grid	Expected analyzable n falls below the simulated planning grid.
20	0.0	20	large_clean	large effect, clean labels, no confounder	20	0.625	0.6666666666666666	promising_but_not_decision_grade	Attrition maps nominal 20/group to about 20/group; using nearest lower simulated grid n=20.
20	0.0	20	large_noisy_immune	large effect, 10% label noise, immune-tone structure	20	0.375	0.5833333333333333	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 20/group; using nearest lower simulated grid n=20.
20	0.0	20	moderate_clean	moderate effect, clean labels, no confounder	20	0.2916666666666666	0.5	mostly_inconclusive	Attrition maps nominal 20/group to about 20/group; using nearest lower simulated grid n=20.
20	0.0	20	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	20	0.3333333333333333	0.7916666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 20/group; using nearest lower simulated grid n=20.
20	0.1	18	large_clean	large effect, clean labels, no confounder	15	0.5416666666666666	0.5416666666666666	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 18/group; using nearest lower simulated grid n=15.
20	0.1	18	large_noisy_immune	large effect, 10% label noise, immune-tone structure	15	0.3333333333333333	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 18/group; using nearest lower simulated grid n=15.
20	0.1	18	moderate_clean	moderate effect, clean labels, no confounder	15	0.2499999999999999	0.4583333333333333	mostly_inconclusive	Attrition maps nominal 20/group to about 18/group; using nearest lower simulated grid n=15.
20	0.1	18	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	15	0.1249999999999999	0.5	mostly_inconclusive	Attrition maps nominal 20/group to about 18/group; using nearest lower simulated grid n=15.
20	0.2	16	large_clean	large effect, clean labels, no confounder	15	0.5416666666666666	0.5416666666666666	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 16/group; using nearest lower simulated grid n=15.
20	0.2	16	large_noisy_immune	large effect, 10% label noise, immune-tone structure	15	0.3333333333333333	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 16/group; using nearest lower simulated grid n=15.
20	0.2	16	moderate_clean	moderate effect, clean labels, no confounder	15	0.2499999999999999	0.4583333333333333	mostly_inconclusive	Attrition maps nominal 20/group to about 16/group; using nearest lower simulated grid n=15.
20	0.2	16	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	15	0.1249999999999999	0.5	mostly_inconclusive	Attrition maps nominal 20/group to about 16/group; using nearest lower simulated grid n=15.
20	0.3	14	large_clean	large effect, clean labels, no confounder	10	0.5416666666666667	0.5416666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 14/group; using nearest lower simulated grid n=10.
20	0.3	14	large_noisy_immune	large effect, 10% label noise, immune-tone structure	10	0.4166666666666667	0.4166666666666667	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 14/group; using nearest lower simulated grid n=10.
20	0.3	14	moderate_clean	moderate effect, clean labels, no confounder	10	0.5833333333333334	0.625	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 14/group; using nearest lower simulated grid n=10.
20	0.3	14	moderate_noisy_immune	moderate effect, 10% label noise, immune-tone structure	10	0.3333333333333333	0.3333333333333333	directional_or_often_inconclusive	Attrition maps nominal 20/group to about 14/group; using nearest lower simulated grid n=10.
