n_train	n_test	df_for_critical	critical_value	scenario	seed	n_screens	stop_probability
12	8	7	3.8552257560648977	clean	20260911	5000	0.0388
12	8	7	3.8552257560648977	clean	20260912	5000	0.0386
12	8	7	3.8552257560648977	clean	20260913	5000	0.0342
12	8	7	3.8552257560648977	common_hidden_drift	20260911	5000	0.9672
12	8	7	3.8552257560648977	common_hidden_drift	20260912	5000	0.9656
12	8	7	3.8552257560648977	common_hidden_drift	20260913	5000	0.9646
12	8	7	3.8552257560648977	control_specific_artifact	20260911	5000	0.9644
12	8	7	3.8552257560648977	control_specific_artifact	20260912	5000	0.9638
12	8	7	3.8552257560648977	control_specific_artifact	20260913	5000	0.961
16	12	11	3.370201394919319	clean	20260911	5000	0.0452
16	12	11	3.370201394919319	clean	20260912	5000	0.0394
16	12	11	3.370201394919319	clean	20260913	5000	0.0392
16	12	11	3.370201394919319	common_hidden_drift	20260911	5000	1.0
16	12	11	3.370201394919319	common_hidden_drift	20260912	5000	0.9998
16	12	11	3.370201394919319	common_hidden_drift	20260913	5000	0.9998
16	12	11	3.370201394919319	control_specific_artifact	20260911	5000	0.9996
16	12	11	3.370201394919319	control_specific_artifact	20260912	5000	0.9996
16	12	11	3.370201394919319	control_specific_artifact	20260913	5000	0.9996
20	16	15	3.1771042997286716	clean	20260911	5000	0.047
20	16	15	3.1771042997286716	clean	20260912	5000	0.0436
20	16	15	3.1771042997286716	clean	20260913	5000	0.04
20	16	15	3.1771042997286716	common_hidden_drift	20260911	5000	1.0
20	16	15	3.1771042997286716	common_hidden_drift	20260912	5000	1.0
20	16	15	3.1771042997286716	common_hidden_drift	20260913	5000	1.0
20	16	15	3.1771042997286716	control_specific_artifact	20260911	5000	1.0
20	16	15	3.1771042997286716	control_specific_artifact	20260912	5000	1.0
20	16	15	3.1771042997286716	control_specific_artifact	20260913	5000	1.0
24	20	19	3.0737520037832793	clean	20260911	5000	0.0468
24	20	19	3.0737520037832793	clean	20260912	5000	0.0456
24	20	19	3.0737520037832793	clean	20260913	5000	0.0438
24	20	19	3.0737520037832793	common_hidden_drift	20260911	5000	1.0
24	20	19	3.0737520037832793	common_hidden_drift	20260912	5000	1.0
24	20	19	3.0737520037832793	common_hidden_drift	20260913	5000	1.0
24	20	19	3.0737520037832793	control_specific_artifact	20260911	5000	1.0
24	20	19	3.0737520037832793	control_specific_artifact	20260912	5000	1.0
24	20	19	3.0737520037832793	control_specific_artifact	20260913	5000	1.0
32	24	23	3.0094539285355695	clean	20260911	5000	0.047
32	24	23	3.0094539285355695	clean	20260912	5000	0.0434
32	24	23	3.0094539285355695	clean	20260913	5000	0.0454
32	24	23	3.0094539285355695	common_hidden_drift	20260911	5000	1.0
32	24	23	3.0094539285355695	common_hidden_drift	20260912	5000	1.0
32	24	23	3.0094539285355695	common_hidden_drift	20260913	5000	1.0
32	24	23	3.0094539285355695	control_specific_artifact	20260911	5000	1.0
32	24	23	3.0094539285355695	control_specific_artifact	20260912	5000	1.0
32	24	23	3.0094539285355695	control_specific_artifact	20260913	5000	1.0
40	32	31	2.9338135658406794	clean	20260911	5000	0.0424
40	32	31	2.9338135658406794	clean	20260912	5000	0.0464
40	32	31	2.9338135658406794	clean	20260913	5000	0.0516
40	32	31	2.9338135658406794	common_hidden_drift	20260911	5000	1.0
40	32	31	2.9338135658406794	common_hidden_drift	20260912	5000	1.0
40	32	31	2.9338135658406794	common_hidden_drift	20260913	5000	1.0
40	32	31	2.9338135658406794	control_specific_artifact	20260911	5000	1.0
40	32	31	2.9338135658406794	control_specific_artifact	20260912	5000	1.0
40	32	31	2.9338135658406794	control_specific_artifact	20260913	5000	1.0
