gene	wave21_call	wave21_residual_modality_score	wave21_failures	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	retained_positive_disease_count	ms_wm_delta_log2_broad	ms_wm_p_broad	ot_n_diseases_score_ge_0_5	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_nM_activity_count	uniprot_location	wave21_modality_read	wave21_manual_class	wave21_direction	wave21_prior_flag	prior_exclusion_reason
C1QTNF1	DEMOTE_WAVE21	10.5	breadth_below_4_diseases	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	2	-0.2172605175146804	0.8642634636230562					0	Secreted	accessible_biologic_or_surface				
HIF1A	DEMOTE_WAVE21	10.5	breadth_below_4_diseases;weak_external_modality	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	2	-0.1231736174707265	0.7282461776522897		CHEMBL4296108	HIF1A/p300/CREB-binding protein	PROTEIN-PROTEIN INTERACTION	7	Cytoplasm;Nucleus;Nucleus speckle	none_detected				
PDLIM7	DEMOTE_WAVE21	6.5	breadth_below_4_diseases;weak_external_modality	1	ibd_crohn_stromal:Crohn disease	2	0.3031114239445287	0.4681143272853248					0	Cytoplasm;Cytoplasm, cytoskeleton	none_detected				
SEC61A1	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_crohn_stromal:Crohn disease	2	-0.0775050827248335	0.5742291621491669		CHEMBL5725113	Protein transport protein Sec61 subunit alpha isoform 1	SINGLE PROTEIN	3	Endoplasmic reticulum membrane	accessible_biologic_or_surface				
SEC61B	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	2	0.0379228326077143	0.8814268776848122		CHEMBL6067175	Protein transport protein Sec61 subunit beta	SINGLE PROTEIN	4	Endoplasmic reticulum membrane	accessible_biologic_or_surface				
ACSL1	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_crohn_stromal:Crohn disease	2	0.0335463402392637	0.9588038259244676		CHEMBL4295746	Long-chain-fatty-acid--CoA ligase 1	SINGLE PROTEIN	41	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	accessible_biologic_or_surface				
IL7R	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	2	-0.6536992297096775	0.5724603142052797					0	Secreted	accessible_biologic_or_surface				
PTPRE	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	2	-0.2158191727655953	0.5499680359747707		CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	SINGLE PROTEIN	61	Cytoplasm	chembl_single_target_activity				
PDPN	DEMOTE_WAVE21	6.5	breadth_below_4_diseases;weak_external_modality	1	ibd_uc_stromal:ulcerative colitis	2	0.1646831166015037	0.49717795424805					0	Cytoplasm, cytosol	none_detected				
ACSL3	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_crohn_stromal:Crohn disease	2	0.2210563122194138	0.2754311664874719		CHEMBL4680023	Fatty acid CoA ligase Acsl3	SINGLE PROTEIN	8	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	accessible_biologic_or_surface				
CXCL8	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	2	-0.0879956974423397	0.8090528791592078		CHEMBL2157	Interleukin-8	SINGLE PROTEIN	656	Secreted	accessible_biologic_or_surface				
MPHOSPH6	DEMOTE_WAVE21	6.5	breadth_below_4_diseases;weak_external_modality	1	ibd_uc_stromal:ulcerative colitis	2	-0.5952492354373149	0.1685973390358947		CHEMBL6066427	M-phase phosphoprotein 6	SINGLE PROTEIN	2	Nucleus, nucleolus;Cytoplasm	none_detected				
TGM2	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	2	-0.9454639666769412	0.3323926040170903		CHEMBL2730	Protein-glutamine gamma-glutamyltransferase	SINGLE PROTEIN	807	Cytoplasm, perinuclear region	chembl_single_target_activity				
REG1A	DEMOTE_WAVE21	6.5	breadth_below_4_diseases	1	t1d_ductal_cell:type 1 diabetes mellitus;t1d_endothelial_cell:type 1 diabetes mellitus	2							0	Secreted	accessible_biologic_or_surface				
PPIB	DEMOTE_WAVE21	5.25	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	1	-0.3697988200867144	0.0770967095708424		CHEMBL2075	Peptidyl-prolyl cis-trans isomerase B	SINGLE PROTEIN	156	Endoplasmic reticulum lumen;Melanosome	chembl_single_target_activity				
NME1	DEMOTE_WAVE21	5.25	breadth_below_4_diseases	1	ibd_uc_stromal:ulcerative colitis	1	-0.386249849366223	0.3480428652732463		CHEMBL2159	Nucleoside diphosphate kinase A	SINGLE PROTEIN	4	Cytoplasm;Nucleus;Cell membrane	accessible_biologic_or_surface				
TNFAIP8	DEMOTE_WAVE21	5.25	breadth_below_4_diseases;weak_external_modality	1	ibd_uc_stromal:ulcerative colitis	1	0.2353293345774378	0.5204890692348256					0	Cytoplasm	none_detected				
FKBP1A	DEMOTE_WAVE21	5.0	no_strict_core_residual_survival;breadth_below_4_diseases	0		4	-0.3348545094591504	0.2385454869670045		CHEMBL1902	Peptidyl-prolyl cis-trans isomerase FKBP1A	SINGLE PROTEIN	1023	Cytoplasm, cytosol;Sarcoplasmic reticulum membrane	accessible_biologic_or_surface				
HAPLN3	DEMOTE_WAVE21	5.0	no_strict_core_residual_survival;breadth_below_4_diseases	0		4	0.8526766392396308	0.3481001034968946					0	Secreted, extracellular space, extracellular matrix	accessible_biologic_or_surface				
CD74	DEMOTE_WAVE21	5.0	no_strict_core_residual_survival;breadth_below_4_diseases	0		4	0.2553907019006836	0.2187160729350419	0.0	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	25	Late endosome;Lysosome	chembl_single_target_activity				
MTHFD2	DEMOTE_WAVE21	5.0	no_strict_core_residual_survival;breadth_below_4_diseases	0		4	0.0461599204982174	0.8145219094018459		CHEMBL3621036	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	SINGLE PROTEIN	65	Mitochondrion	chembl_single_target_activity				
CASP4	DEMOTE_WAVE21	5.0	no_strict_core_residual_survival;breadth_below_4_diseases	0		4	0.2066862758954002	0.4927047679399916		CHEMBL2226	Caspase-4	SINGLE PROTEIN	61	Cytoplasm, cytosol;Endoplasmic reticulum membrane;Mitochondrion;Inflammasome;Secreted	accessible_biologic_or_surface				
ASL	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	-0.321226334266484	0.2727488139944647		CHEMBL6066328	Adenylosuccinate lyase	SINGLE PROTEIN	2		none_detected				
LCN2	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.5023389988968477	0.6231471760280782					0	Secreted;Cytoplasmic granule lumen;Cytoplasmic vesicle lumen	accessible_biologic_or_surface				
APOL1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.1201588560224085	0.5940095372095473		CHEMBL4680021	Apolipoprotein L1	SINGLE PROTEIN	593	Secreted	accessible_biologic_or_surface				
IDO1	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3				CHEMBL4685	Indoleamine 2,3-dioxygenase 1	SINGLE PROTEIN	7278	Cytoplasm, cytosol	chembl_single_target_activity				
PPIF	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	0.0794098483837952	0.7293829927625533		CHEMBL3325306	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	SINGLE PROTEIN	46	Mitochondrion matrix	chembl_single_target_activity				
PDIA4	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases;weak_external_modality	0		3	-0.6214340839245054	0.0407144742028937		CHEMBL4295717	Protein disulfide-isomerase A4	SINGLE PROTEIN	8	Endoplasmic reticulum lumen;Melanosome	none_detected				
CFP	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-2.298076006660539	0.0364971261630132					0	Secreted	accessible_biologic_or_surface				
SMCO4	DEMOTE_WAVE21	3.75	no_strict_core_residual_survival;breadth_below_4_diseases	0		3	-0.9152482067315876	0.3027646120706504					0	Membrane	accessible_biologic_or_surface				
