gene	n_tests	median_spearman_r	n_positive_r_gt_0_5	n_negative_r_lt_minus_0_5
CD74	192	0.8285714285714287	162	0
CIITA	192	0.5745465454670543	120	7
GSK3A	192	-0.021518625427107946	18	5
GSK3B	192	0.2620329670329671	35	1
MED16	160	0.257264474655779	19	6
RFX5	192	0.3916083916083916	59	4
