gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score	route	wave70_call	wave70_score	evidence_count	manual_blocker	gse282122_support	broad_support	ms_support	ra_support	ra_response_support	genetics_support	eff_support	model_support	real_pert_support	wave68_best_call	wave68_min_adjusted_fdr	wave68_min_raw_fdr	wave68_min_paired_fdr	direction_model_call	direction_model_call_priority	directional_interpretation
NCF1	6	5	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.002620289791899	0.015480957578660713	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.07299860760750916	0.005954261734667751	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only			17.25	NOX2 cytosolic subunit comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	3.4853377261873275	4.0	NADPH_oxidase_host_defense_CGD_directionality_risk	False	False	False	True	True	True	False	True	False	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.1621736418604976	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
FCGR2A	6	4	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.1593024364332198	0.04219295422339605	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	9	0.048516949854515254	-0.008916215345379896	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission			17.0	activating Fc-gamma receptor comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	3.6028233089082287	4.0	Fc_receptor_directionality_and_safety	False	False	False	True	True	True	False	True	False	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.5890098953605836	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
CYBB	6	2	2	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.9258530646550637	0.027101793583844687	GSE282122_Mono_macro_post_nonremission_to_remission	2	0.2272684928611305	0.03468650699295621	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_CD_only			9.5	NOX2 catalytic subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	0.5	3.0	NADPH_oxidase_host_defense_CGD_directionality_risk	True	False	False	True	True	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0258498370570587	0.614840458715091	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
NCF2	6	5	3	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.4974282908348678	0.01518393267178908	GSE282122_DC_post_nonremission_to_remission	5	-0.11695705830443973	0.018805939831589867	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only				7.25	NOX2 cytosolic subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	2.104203946873728	3.0	NADPH_oxidase_host_defense_CGD_directionality_risk	True	False	True	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0201208991508919	0.7107543455496845	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
LYN	6	6	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.8605005174901813	0.0270023738376848	GSE282122_Mono_macro_post_nonremission_to_remission	8	-0.051434238330807264	-0.008984489099303675	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission		14.0	SRC-family Fc receptor kinase comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	2.0	3.0	SRC_family_broad_selectivity_safety	True	True	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL	0.0078377860683372	0.735902312729011	1.0	MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR	2	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
CYBA	6	6	1	0	1	1	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	25	0.042696110138363365	0.1591827790834941	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	20	-0.6046278318241839	-0.014010984585103062	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	9.0	NOX2 p22phox subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	-0.5	1.0	NADPH_oxidase_host_defense_CGD_directionality_risk	False	False	False	True	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		0.8685110805180418	1.0	MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR	2	no_clear_directional_model_support
FCGR2B	6	4	0	0	2	0	GSE282122_DC_post_nonremission_to_remission	4	0.1768645917963976	-0.03451780030801375	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.3781688751586819	-0.015263871022681189			GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		4.0	inhibitory Fc-gamma receptor comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	-0.0410828597314312	2.0	Fc_receptor_directionality_and_safety	False	False	False	True	False	True	False	False	False	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.6910591719060241	MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR	2	token_deletion_moves_nonremission_cells_away_from_remission_centroid; restoration_or_agonism_direction
PTPN11	6	1	0	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	0.5682610300470993	-0.02682935140393157	GSE282122_DC_post_nonremission_to_remission	3	-0.13705444038343553	-0.0014977981226467008			GSE282122_DC_post_nonremission_to_remission		1.75	SHP2 checkpoint/inhibitory receptor phosphatase	NO_GO_BLOCKED_OR_BROAD_CLASS	0.0	1.0	SHP2_oncology_development_and_broad_signaling	False	True	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	MODEL_OPPOSING_BUT_BLOCKED_COMPARATOR	2	token_deletion_moves_nonremission_cells_away_from_remission_centroid; restoration_or_agonism_direction
IL7R	6	4	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	1.0477840374075034	0.11075691332743089	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	-0.2379929294042332	-0.012184921786603001	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		13.5															DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0255314273575321	1.0	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
SIGLEC10	6	2	2	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.658338315034107	0.04265084610023122	GSE282122_DC_post_nonremission_to_remission	1	-1.2025916061676836	0.03355937277600687	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission			9.5	sialic-acid inhibitory receptor	NO_GO_INSUFFICIENT_CONVERGENCE	0.0	0.0		False	False	False	False	False	False	False	False	False	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_DIRECTION_SCREEN	3	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction
