name	status	shared_snps_available	max_snps_attempt	ld_snps_returned	allele_aligned_snps	n1	n2	error
MS_Crohn_chr14_68710199_69753364	prepared	2205	500	483	483	115803	20883	
MS_UC_chr2_60689469_61742410	prepared	1528	500	499	499	115803	27432	
