gene	source_count	sources	best_source_rank
4732456N10RIK	1	wave37_efferocytosis_crispr	0.674675914375128
A4GNT	1	wave37_efferocytosis_crispr	0.7307118748476977
ABTB2	1	wave37_efferocytosis_crispr	0.8670671833295949
ADAR	1	wave15_direct_perturbation	6.0
AHCTF1	1	wave37_efferocytosis_crispr	0.768308361290408
AKT1	1	wave15_direct_perturbation	6.0
ANKUB1	1	wave37_efferocytosis_crispr	0.7092927600471219
ARID5B	1	wave15_direct_perturbation	6.0
ASAH1	1	wave57_geneformer	16.5
ATF3	1	wave15_direct_perturbation	6.0
ATF5	1	wave15_direct_perturbation	6.0
AXIN1	1	wave37_efferocytosis_crispr	0.9860183805212732
AXL	1	wave70c_geneformer	0.25
BATF	1	wave15_direct_perturbation	6.0
BATF2	1	wave15_direct_perturbation	6.0
BC048403	1	wave37_efferocytosis_crispr	0.7319362981813718
BEAN1	1	wave37_efferocytosis_crispr	0.9396905386087092
BIRC2	1	wave15_direct_perturbation	6.0
BIRC3	1	wave15_direct_perturbation	6.0
BLK	1	wave69d_geneformer	0.0
BPIFB2	1	wave37_efferocytosis_crispr	0.6841443263343
BRD9	1	wave15_direct_perturbation	6.0
BTK	1	wave70c_geneformer	0.5
CARMIL1	1	wave57_geneformer	0.0
CASP10	1	wave15_direct_perturbation	6.0
CASP3	1	wave15_direct_perturbation	6.0
CASP7	1	wave15_direct_perturbation	6.0
CASP8	1	wave15_direct_perturbation	6.0
CCDC121	1	wave37_efferocytosis_crispr	0.6827272084298491
CCDC88B	1	wave57_geneformer	0.0
CCL20	1	wave57_geneformer	0.0
CD274	2	wave69d_geneformer;wave70c_geneformer	4.5
CD300A	1	wave70c_geneformer	0.0
CD300LF	1	wave70c_geneformer	0.0
CD40	1	wave57_geneformer	2.5
CD80	2	wave69d_geneformer;wave70c_geneformer	7.5
CD9	1	wave37_efferocytosis_crispr	0.7466880318269618
CEBPB	1	wave15_direct_perturbation	6.0
CEBPE	1	wave15_direct_perturbation	6.0
CEBPG	1	wave15_direct_perturbation	6.0
CHST11	1	wave37_efferocytosis_crispr	0.8502554113258909
CHUK	1	wave15_direct_perturbation	4.0
CIITA	1	wave15_direct_perturbation	7.0
CLEC7A	1	wave37_efferocytosis_crispr	0.6670469582228472
CLK1	1	wave15_direct_perturbation	6.0
COQ4	1	wave37_efferocytosis_crispr	0.7390299162587112
CREB1	1	wave15_direct_perturbation	6.0
CRKL	1	wave15_direct_perturbation	6.0
CRTC2	1	wave37_efferocytosis_crispr	0.6561086787603776
CSF1	1	wave15_direct_perturbation	6.0
CSF2	1	wave15_direct_perturbation	6.0
CTSB	1	wave57_geneformer	17.75
CTSD	1	wave57_geneformer	5.5
CTSS	1	wave57_geneformer	5.75
CUL1	1	wave15_direct_perturbation	6.0
CXCR2	1	wave57_geneformer	7.25
CYBA	1	wave70c_geneformer	9.0
CYBB	1	wave70c_geneformer	9.5
DAB2	1	wave37_efferocytosis_crispr	0.6555390813258746
DAP	1	wave57_geneformer	0.75
DNAH9	1	wave37_efferocytosis_crispr	0.6986723504031553
DNM1L	1	wave15_direct_perturbation	6.0
DRAP1	1	wave15_direct_perturbation	6.0
DTX3L	1	wave15_direct_perturbation	6.0
EFR3A	1	wave37_efferocytosis_crispr	0.8947628318325367
EHF	1	wave15_direct_perturbation	6.0
ELK1	1	wave15_direct_perturbation	6.0
ETS1	1	wave15_direct_perturbation	6.0
ETS2	1	wave15_direct_perturbation	6.0
ETV7	1	wave15_direct_perturbation	6.0
FADD	1	wave15_direct_perturbation	6.0
FAM49B	1	wave37_efferocytosis_crispr	0.7903403938506244
FBXO16	1	wave37_efferocytosis_crispr	0.783729666809502
FBXO6	1	wave15_direct_perturbation	6.0
FCGR2A	2	wave69d_geneformer;wave70c_geneformer	17.0
FCGR2B	2	wave69d_geneformer;wave70c_geneformer	4.0
FCGRT	1	wave37_efferocytosis_crispr	1.0489029953992377
FMNL2	1	wave15_direct_perturbation	6.0
FOS	1	wave15_direct_perturbation	6.0
FOXN3	1	wave15_direct_perturbation	6.0
FYN	1	wave69d_geneformer	0.0
FZD4	1	wave37_efferocytosis_crispr	0.8948272603665511
GABPA	1	wave37_efferocytosis_crispr	0.7326181804475197
GALC	1	wave57_geneformer	0.25
GAS6	1	wave70c_geneformer	0.0
GBA1	1	wave57_geneformer	0.5
GLA	1	wave57_geneformer	0.25
GM20604	1	wave37_efferocytosis_crispr	0.7478157959370991
GM2825	1	wave37_efferocytosis_crispr	0.8898829750497745
GSK3B	2	wave15_direct_perturbation;wave69d_geneformer	7.0
GUK1	1	wave15_direct_perturbation	6.0
H1F0	1	wave15_direct_perturbation	6.0
HADHB	1	wave37_efferocytosis_crispr	0.6585797676778689
HDAC7	1	wave57_geneformer	0.0
HERC5	1	wave15_direct_perturbation	6.0
HERC6	1	wave15_direct_perturbation	6.0
HES4	1	wave15_direct_perturbation	6.0
HEXA	1	wave57_geneformer	7.75
HEXB	1	wave57_geneformer	8.0
HLX	1	wave15_direct_perturbation	6.0
ICAM2	1	wave37_efferocytosis_crispr	0.7149611729355311
ID1	1	wave15_direct_perturbation	6.0
ID2	1	wave15_direct_perturbation	6.0
ID3	1	wave15_direct_perturbation	6.0
IFI16	1	wave15_direct_perturbation	6.0
IFNAR1	1	wave15_direct_perturbation	5.0
IFNAR2	1	wave15_direct_perturbation	5.0
IFNGR1	1	wave15_direct_perturbation	7.0
IFNGR2	1	wave15_direct_perturbation	7.0
IFT52	1	wave37_efferocytosis_crispr	0.7389468573829583
IGLON5	1	wave37_efferocytosis_crispr	1.0204032580512368
IKBKB	1	wave15_direct_perturbation	6.0
IKBKE	1	wave15_direct_perturbation	6.0
IKBKG	1	wave15_direct_perturbation	6.0
IL12RB1	1	wave37_efferocytosis_crispr	0.7130900092706136
IL7R	3	wave57_geneformer;wave69d_geneformer;wave70c_geneformer	13.5
INPP5D	1	wave70c_geneformer	2.25
INTS7	1	wave37_efferocytosis_crispr	1.0702004249539363
IRF1	1	wave15_direct_perturbation	6.0
IRF2	1	wave15_direct_perturbation	6.0
IRF3	1	wave15_direct_perturbation	6.0
IRF5	1	wave15_direct_perturbation	6.0
IRF7	1	wave15_direct_perturbation	6.0
IRF9	1	wave15_direct_perturbation	6.0
ITCH	1	wave15_direct_perturbation	6.0
JAK1	2	wave15_direct_perturbation;wave69d_geneformer	7.75
JAK2	2	wave15_direct_perturbation;wave69d_geneformer	7.0
JUN	1	wave15_direct_perturbation	6.0
JUNB	1	wave15_direct_perturbation	6.0
KIF24	1	wave37_efferocytosis_crispr	0.7193984098130499
KIN	1	wave15_direct_perturbation	6.0
KLF4	1	wave15_direct_perturbation	6.0
KLF6	1	wave15_direct_perturbation	6.0
KLHL33	1	wave37_efferocytosis_crispr	0.6600517547213092
LAIR1	1	wave70c_geneformer	0.25
LARP4B	1	wave37_efferocytosis_crispr	0.669063985231688
LHX2	1	wave37_efferocytosis_crispr	0.9510873903574384
LILRB1	1	wave70c_geneformer	7.5
LILRB2	1	wave70c_geneformer	6.5
LILRB3	1	wave70c_geneformer	8.0
LILRB4	1	wave70c_geneformer	1.75
LIPA	1	wave57_geneformer	0.5
LRRC61	1	wave37_efferocytosis_crispr	0.6800237937757359
LRRC7	1	wave37_efferocytosis_crispr	0.7569214561782507
LYN	1	wave70c_geneformer	14.0
MAFB	1	wave15_direct_perturbation	6.0
MAFF	1	wave15_direct_perturbation	6.0
MAN1A2	1	wave37_efferocytosis_crispr	0.9058439561521868
MAP2K3	1	wave15_direct_perturbation	6.0
MAP3K14	1	wave15_direct_perturbation	6.0
MAP3K7	1	wave15_direct_perturbation	6.0
MAPK14	2	wave15_direct_perturbation;wave69d_geneformer	6.0
MAPK8	1	wave15_direct_perturbation	6.0
MAPK9	1	wave15_direct_perturbation	6.0
MCMBP	1	wave37_efferocytosis_crispr	1.043248837727032
MCRS1	1	wave15_direct_perturbation	6.0
MED16	1	wave15_direct_perturbation	7.0
MEF2A	1	wave15_direct_perturbation	6.0
MERTK	1	wave70c_geneformer	0.0
MGST2	1	wave37_efferocytosis_crispr	0.8277298867867664
MMP9	1	wave15_direct_perturbation	6.0
MMS22L	1	wave37_efferocytosis_crispr	1.041004774142687
MREG	1	wave37_efferocytosis_crispr	0.7381558563486115
MTF1	1	wave15_direct_perturbation	6.0
MTOR	1	wave15_direct_perturbation	6.0
MYC	1	wave15_direct_perturbation	6.0
NCF1	2	wave69d_geneformer;wave70c_geneformer	17.25
NCF2	1	wave70c_geneformer	7.25
NDST4	1	wave37_efferocytosis_crispr	0.678671127146643
NFAT5	1	wave15_direct_perturbation	6.0
NFE2L3	1	wave15_direct_perturbation	6.0
NFKB1	1	wave15_direct_perturbation	6.0
NFKBIA	1	wave15_direct_perturbation	6.0
NFKBIE	1	wave15_direct_perturbation	6.0
NKAIN2	1	wave37_efferocytosis_crispr	0.917538115831697
OBFC1	1	wave37_efferocytosis_crispr	0.6898050063597292
OLFR266	1	wave37_efferocytosis_crispr	1.3236991570332537
OLFR615	1	wave37_efferocytosis_crispr	0.917722558670084
PARK7	1	wave57_geneformer	4.75
PARP12	1	wave15_direct_perturbation	6.0
PCDHB12	1	wave37_efferocytosis_crispr	0.7421700762203622
PDCD5	1	wave15_direct_perturbation	6.0
PDCD6IP	1	wave37_efferocytosis_crispr	1.2170477653396643
PIK3CA	1	wave15_direct_perturbation	6.0
PLEK	1	wave15_direct_perturbation	6.0
PLIN4	1	wave37_efferocytosis_crispr	0.7387369483265096
PLLP	1	wave37_efferocytosis_crispr	0.8004670765727546
