gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score	gene_norm
NCF1	6	5	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.002620289791899	0.0154809575786607	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.0729986076075091	0.0059542617346677	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only			17.25	NCF1
FCGR2A	6	4	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.1593024364332198	0.042192954223396	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	9	0.0485169498545152	-0.0089162153453798	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission			17.0	FCGR2A
LYN	6	6	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.8605005174901813	0.0270023738376848	GSE282122_Mono_macro_post_nonremission_to_remission	8	-0.0514342383308072	-0.0089844890993036	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission		14.0	LYN
IL7R	6	4	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	1.0477840374075034	0.1107569133274308	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	-0.2379929294042332	-0.012184921786603	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		13.5	IL7R
CYBB	6	2	2	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.9258530646550636	0.0271017935838446	GSE282122_Mono_macro_post_nonremission_to_remission	2	0.2272684928611305	0.0346865069929562	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_CD_only			9.5	CYBB
SIGLEC10	6	2	2	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.658338315034107	0.0426508461002312	GSE282122_DC_post_nonremission_to_remission	1	-1.2025916061676836	0.0335593727760068	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission			9.5	SIGLEC10
CYBA	6	6	1	0	1	1	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	25	0.0426961101383633	0.1591827790834941	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	20	-0.6046278318241839	-0.014010984585103	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	9.0	CYBA
LILRB3	6	4	2	0	2	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	3	0.3852185140533372	0.0212574615725316	GSE282122_DC_post_nonremission_to_remission_UC_only	3	-0.2225653301864561	-0.0071453758256716	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only		8.0	LILRB3
LILRB1	6	2	1	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.6653870531582302	0.0249494496383704	GSE282122_Mono_macro_post_nonremission_to_remission	2	-0.5801941724415989	-0.0240432310040988	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only			7.5	LILRB1
NCF2	6	5	3	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.4974282908348678	0.015183932671789	GSE282122_DC_post_nonremission_to_remission	5	-0.1169570583044397	0.0188059398315898	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only				7.25	NCF2
LILRB2	6	4	2	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	4	0.3225362855265282	0.0498589534571187	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	-0.3260078175458227	-0.0320410636667576	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		6.5	LILRB2
CD80	6	3	2	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	0.3991072055596009	0.019273864902142	GSE282122_DC_post_nonremission_to_remission_UC_only	4	-0.3019175453050188	-0.0169885404149277	GSE282122_DC_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		GSE282122_DC_post_nonremission_to_remission_UC_only		6.25	CD80
CD274	6	4	1	0	1	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.3299174684308141	0.0032775367487273	GSE282122_DC_post_nonremission_to_remission	5	-0.0024277502540641	-0.0009712444042735	GSE282122_Mono_macro_post_nonremission_to_remission		GSE282122_DC_post_nonremission_to_remission		4.5	CD274
FCGR2B	6	4	0	0	2	0	GSE282122_DC_post_nonremission_to_remission	4	0.1768645917963976	-0.0345178003080137	GSE282122_Mono_macro_post_nonremission_to_remission	3	-0.3781688751586819	-0.0152638710226811			GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		4.0	FCGR2B
INPP5D	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.4420401749732091	0.0074797163497553	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.4420401749732091	0.0074797163497553	GSE282122_DC_post_nonremission_to_remission_CD_only				2.25	INPP5D
PTPN6	6	1	1	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	6	0.1117016957836408	0.0152649335821883	GSE282122_DC_post_nonremission_to_remission_CD_only	2	-0.5283216831403161	0.002848742787157	GSE282122_DC_post_nonremission_to_remission_UC_only				2.25	PTPN6
