gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	s1_median_efficient_lfc	s3_median_efficient_lfc	s1_median_noneater_lfc	s3_median_noneater_lfc	efficient_consistent_positive	noneater_consistent_positive	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	modules	tracked_candidate	efficient_fdr	noneater_fdr	contrast_fdr	screen_call	gene_norm
OLFR266	2	0.7158636913964896	-0.607835465636764	1.3236991570332537	0.8054679597023839	0.6262594230905953	0.2102344878738402	-1.4259054191473683	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	OLFR266
YWHAE	2	0.7320108557566672	-0.5359152127113543	1.2679260684680216	0.7630256309398402	0.7009960805734943	-0.5962418166926726	-0.475588608730036	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	YWHAE
PDCD6IP	4	0.7811730026257263	-0.6112887660133749	1.2170477653396643	1.055116305867783	0.4764859202536804	-0.5524099518658483	-0.673610986062668	True	False	0.125	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PDCD6IP
PYDC3	3	0.8783426072592877	-0.3024731867723478	1.192668828893351	0.8935379741078608	0.6533170180266272	0.3019866712632479	-0.3583407762551682	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	PYDC3
TSC1	3	0.7349695867960826	-0.4438780677652891	1.1788476545613715	0.5488814246445748	0.4523085903277488	0.0349731389694216	-0.9227292745	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TSC1
VMN2R87	3	0.526106672693762	-0.2856314861355571	1.0970815686567217	0.6637448552268062	0.7256923726354279	-0.3177821335506747	-0.2534808387204394	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	VMN2R87
INTS7	4	0.5281313564058407	-0.4853488077614932	1.0702004249539363	0.3267073868134118	0.6443793364736274	-0.3997672105821408	-0.2901157005354311	True	False	0.25	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	INTS7
RYK	3	0.762836266139729	-0.2748168083413718	1.059316314841792	0.829877222789035	0.5725298702145833	0.0906753446428689	-0.2941241887068861	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	RYK
FCGRT	4	0.5628776232500127	-0.0443871339649178	1.0489029953992377	0.6083018492649415	0.5174533972350839	0.3038632695774101	-0.4271477196725127	True	False	0.125	0.875	0.25		False	0.8221627590893646	1.0	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	FCGRT
MCMBP	4	0.7895848804258438	-0.0853932187534879	1.043248837727032	0.5819035116207789	0.6647393776762445	-0.0930680363031279	-0.2351382792697158	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MCMBP
MMS22L	4	0.5320855513060645	-0.6101226182530782	1.041004774142687	0.5783785890618602	0.6978143722401038	-0.3290424152706874	-0.997122410387694	True	False	0.125	0.125	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MMS22L
IGLON5	4	0.8324130167408421	-0.2779752670504838	1.0204032580512368	0.6197875236811801	0.9208807857009048	-0.4798452123823244	0.046935118136441	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	IGLON5
ZSWIM7	3	0.6105933574930458	-0.5668529378034908	0.994070445341208	0.5673488906193493	0.702520146914936	-0.1184252642592769	-1.0152806113477046	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ZSWIM7
AXIN1	3	0.720198230523192	-0.2658201499980812	0.9860183805212732	0.6381047531528004	0.4286210608832976	-0.3278640650278768	-0.4623274187315651	True	False	0.25	0.25	0.25		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	AXIN1
VMN1R142	1	1.281071754017375	0.3059513521413257	0.9751204018760492	1.1822590977307788	1.3798844103039714	0.8733318393312635	-0.261429135048612	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	VMN1R142
ZFP775	3	0.5913069162797546	-0.2435574348430935	0.9565179349957516	0.44260394232814	0.6216051290206344	-0.2376893883813866	-0.3031205624836892	True	False	0.25	0.5	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ZFP775
LHX2	4	0.5177630659045752	-0.1107239551241535	0.9510873903574384	0.9280522412858654	0.2622764552172278	0.1375816825947211	-0.5077924277382972	True	False	0.25	0.375	0.25		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	LHX2
BEAN1	3	0.8694554546577737	-0.0702350839509353	0.9396905386087092	0.9842669986224806	0.695343372340679	-0.0955208363654875	-0.347767845752573	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	BEAN1
OLFR615	3	0.5638572721382722	-0.3538652865318119	0.917722558670084	0.3643781872150984	0.763336357061446	0.3794180243346132	-1.087148597398237	True	False	0.5	0.75	0.5		False	0.9600924529799222	1.0	0.9971256078463696	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	OLFR615
NKAIN2	4	0.6169431101706212	-0.4850729978324448	0.917538115831697	0.3406151486696398	0.8253732838612087	-0.354402171539061	-0.4626375739575357	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	NKAIN2
MAN1A2	2	0.7373947258576615	-0.1684492302945254	0.9058439561521868	1.1130733023838844	0.3617161493314387	-0.1768440938124988	-0.1600543667765519	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MAN1A2
FZD4	4	0.5622176934333886	-0.3326095669331625	0.8948272603665511	0.6547029662175434	0.5713240295201014	-0.2413060610522734	-0.3826878460738572	True	False	0.125	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	FZD4
EFR3A	4	0.6844697530989772	-0.0758388820741726	0.8947628318325367	0.487777114277655	0.6958611679944962	0.0271960288050721	-0.0968066153267253	True	False	0.25	0.625	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	EFR3A
GM2825	1	0.6935626063990508	-0.1963203686507237	0.8898829750497745	0.4191631919126957	0.9679620208854058	-0.724092563609684	0.3314518263082364	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	GM2825
