gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	best_context	best_n_disease_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	best_mean_shift_to_control_cosine	best_random_mean_shift_to_control_cosine	supporting_contexts	strong_supporting_contexts	wave57_model_priority_score	gene_norm
CTSB	11	7	3	2	IBD_myeloid	5	0.6552505451187753	0.0415126765179189	0.0003075957356486	-0.0002126751674546	IBD_myeloid;psoriasis_dendritic;ra_nonclassical_monocyte	IBD_myeloid;psoriasis_dendritic	17.75	CTSB
ASAH1	11	6	5	1	psoriasis_dendritic	3	0.5750157346000694	0.0111613863555249	0.0002022385597229	-0.0002893540594312	IBD_myeloid;psoriasis_dendritic;ra_classical_monocyte;ra_nonclassical_monocyte;sjogren_APC	psoriasis_dendritic	16.5	ASAH1
HEXB	11	4	1	1	t1d_acinar	3	0.5882702689970096	0.0282737346682956	0.000362296908861	-3.4553309281667076e-05	t1d_acinar	t1d_acinar	8.0	HEXB
HEXA	11	3	1	1	psoriasis_macrophage	3	0.8895572828571129	0.0376647322943124	0.000547170639038	-2.253635062111749e-05	psoriasis_macrophage	psoriasis_macrophage	7.75	HEXA
CXCR2	11	1	1	1	IBD_myeloid	3	1.196925064184147	0.0288096619802269	0.0007376869325526	-0.0002126751674546	IBD_myeloid	IBD_myeloid	7.25	CXCR2
IL7R	11	1	1	1	ra_myeloid_dendritic	12	0.5289555289406979	0.0317525753667318	0.0002086361200781	-0.0001121775971518	ra_myeloid_dendritic	ra_myeloid_dendritic	7.25	IL7R
CTSS	11	7	2	0	IBD_epithelial	5	0.1621527569276867	0.0175914263106985	8.890628669178113e-05	-4.457102881537543e-06	IBD_epithelial;IBD_myeloid		5.75	CTSS
CTSD	11	6	2	0	IBD_epithelial	14	0.2322186178486432	0.0245587734259768	0.0001292484084842	-4.457102881537543e-06	IBD_epithelial;ra_classical_monocyte		5.5	CTSD
PARK7	11	3	2	0	IBD_myeloid	3	0.4312510315284708	0.0110094174775037	0.0001297394483117	-0.0002126751674546	IBD_myeloid;sjogren_APC		4.75	PARK7
PSAP	11	6	1	0	IBD_myeloid	11	0.0577827831532968	0.0206675017284902	-0.0001667954638833	-0.0002126751674546	IBD_myeloid		3.5	PSAP
CD40	11	2	1	0	t1d_ductal	3	0.1512106938712088	0.0176271493773026	7.015466690063477e-05	-3.406653801600138e-05	t1d_ductal		2.5	CD40
PTPN2	11	3	0	0	t1d_ductal	1	2.9829385647041784	0.0085931875154427	0.0020219087600708	-3.406653801600138e-05			0.75	PTPN2
DAP	11	3	0	0	IBD_epithelial	1	1.322352337167734	0.0147397333510323	0.0007569193840026	-4.457102881537543e-06			0.75	DAP
LIPA	11	2	0	0	IBD_myeloid	1	1.0424090148838072	0.0223478181319984	0.0006150007247924	-0.0002126751674546			0.5	LIPA
GBA1	11	2	0	0	ra_classical_monocyte	1	0.2515709046655379	-0.003880368122029	0.0002199411392211	-9.065038628048368e-05			0.5	GBA1
GALC	11	1	0	0	IBD_myeloid	3	1.2767979884541334	-0.0399240544033493	0.0008011062745936	-0.0002126751674546			0.25	GALC
GLA	11	1	0	0	sjogren_APC	2	0.5377779801304314	-0.061567731880738	0.0004179775714874	-0.0001764272650082			0.25	GLA
CCDC88B	11	0	0	0	t1d_acinar	1	1.7423318181211838	0.0161221385319044	0.0011408329010009	-3.4553309281667076e-05			0.0	CCDC88B
CCL20	11	0	0	0	psoriasis_dendritic	2	1.3396995896661483	0.0217924167809541	0.0008559823036193	-0.0002893540594312			0.0	CCL20
TRIB2	11	0	0	0	t1d_acinar	1	0.8030314367287192	0.0213305367473771	0.0005071759223937	-3.4553309281667076e-05			0.0	TRIB2
STAT4	11	0	0	0	ra_myeloid_dendritic	1	0.6356502351847887	0.0188322124918663	0.0002733469009399	-0.0001121775971518			0.0	STAT4
HDAC7	11	0	0	0	IBD_epithelial	1	0.5716191307529711	-0.0056713147334651	0.0003246665000915	-4.457102881537543e-06			0.0	HDAC7
SMPD1	11	0	0	0	sjogren_APC	1	0.5483745020273296	0.0318498008612854	0.0004296898841857	-0.0001764272650082			0.0	SMPD1
CARMIL1	11	0	0	0	ra_classical_monocyte	1	0.1977890091551095	-0.0483775013546821	0.0001535415649414	-9.065038628048368e-05			0.0	CARMIL1
PRKCB	11	0	0	0	ra_nonclassical_monocyte	2	0.1739910467319653	-0.0461350674660127	-9.59336757659912e-05	-0.0002157058980729			0.0	PRKCB
SP140	11	0	0	0	ra_nonclassical_monocyte	1	-0.4743264352507738	0.0185587196691711	-0.0005422234535217	-0.0002157058980729			0.0	SP140
