gene	ibd_best_raw_p	ibd_best_raw_fdr	ibd_best_paired_p	ibd_best_paired_fdr	ibd_response_nominal	ibd_response_fdr10
4732456N10RIK					0	0
A4GNT		1.0		1.0	0	0
ABTB2	0.3586521698464984	1.0	0.6299534353778199	1.0	0	0
ADAR	0.0264928646221468	0.8448951197927375	0.2522933798960231	1.0	1	0
AHCTF1	0.0924872348140355	1.0	0.6947057810430837	1.0	0	0
AKT1	0.2564959026051239	1.0	0.2933927653545981	1.0	0	0
ANKUB1	0.4226023609326882	1.0	0.2069568945782929	1.0	0	0
ARID5B	0.0180076130865261	0.7761417814158196	0.4079877546714097	1.0	1	0
ASAH1	0.0731797999554515	1.0	0.2713674029750838	1.0	0	0
ATF3	0.1536876884550381	1.0	0.0164308708778975	0.9385255584246988	1	0
ATF5	0.2152573930855462	1.0	0.3254037312323007	1.0	0	0
AXIN1	0.0236582753768785	1.0	0.0694958440176762	1.0	1	0
AXL	0.0095792798404273	0.7178207758121948	0.0114161205714306	0.7275675419493579	1	0
BATF	0.1678921745341126	1.0	0.0853746921890105	1.0	0	0
BATF2	0.053823401185299	0.9405839299838088	0.6666797218883324	1.0	0	0
BC048403					0	0
BEAN1	0.0307311920304092	0.868100821606974	0.1618094095183212	1.0	1	0
BIRC2	0.4826104806789599	1.0	0.0273529740085323	0.8672948129206294	1	0
BIRC3	0.0330601047813148	1.0	0.0250732875563429	1.0	1	0
BLK	0.2592759816912352	1.0	0.7804495867607237	1.0	0	0
BPIFB2		1.0		1.0	0	0
BRD9	0.0312092298691477	0.868100821606974	0.05033758294392	1.0	1	0
BTK	0.7222123107758526	1.0	0.6818913743935275	1.0	0	0
CARMIL1	0.0640500656032426	0.9655243186355792	0.4883702242399206	1.0	0	0
CASP10	0.0220710028129214	0.8237121645158672	0.3292852302682895	1.0	1	0
CASP3	0.1280939583769761	1.0	0.1432870035827585	1.0	0	0
CASP7	0.0281850376099584	0.8536132484907633	0.0404133892695047	1.0	1	0
CASP8	0.1473339842220007	1.0	0.0352668854855138	1.0	1	0
CCDC121	0.4779766626494838	1.0	0.0169316519870611	0.7741885867689382	1	0
CCDC88B	0.7219166822906102	1.0	0.4507109093065652	1.0	0	0
CCL20	0.3582887194574827	1.0	0.1300779115190442	1.0	0	0
CD274	0.0014030303404273	0.9393807787077808	0.0712909566698671	1.0	1	0
CD300A	0.4178630057424659	1.0	0.0630257123070687	1.0	0	0
CD300LF	0.8028714969576001	1.0	0.5471186160694956	1.0	0	0
CD40	0.3202608024270105	1.0	0.4771452549948246	1.0	0	0
CD80	0.0025906273714744	1.0	0.1107524606213607	1.0	1	0
CD9	0.1780830366271985	1.0	0.1854140139866797	1.0	0	0
CEBPB	0.0587362467459429	0.9509061973186792	0.1160907283286829	1.0	0	0
