gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity	gene_norm
IL7R	interleukin 7 receptor	6.446508829028122	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	prior_art_CD127_autoimmune_axis		0.9528712630271912	PBC	4	Crohn;MS;PBC;T1D	4	Crohn;MS;PBC;T1D	0.9447864890098572	da961026624084f1518c046f355ad310	4	Crohn;MS;PBC;T1D	4	Crohn;MS;PBC;T1D	4	0.9936375660009308	0.9844688660839735	0.9844688660839735	CD14-positive, CD16-negative classical monocyte;CD4-positive, alpha-beta T cell;blood;fibroblast;macrophage	Crohn:CD14-positive, CD16-negative classical monocyte:-0.00196;Crohn:CD14-positive, CD16-negative classical monocyte:0.00196;Crohn:CD4-positive, alpha-beta T cell:-0.00196;Crohn:blood:-0.00196;Crohn:fibroblast:-0.00196;Crohn:fibroblast:0.00196;Crohn:macrophage:-0.00196;Crohn:macrophage:0.00196;MS:CD14-positive, CD16-negative classical monocyte:-0;MS:CD14-positive, CD16-negative classical monocyte:0.111;MS:CD4-positive, alpha-beta T cell:-0.111;MS:blood:-0.111;MS:fibroblast:-0;MS:macrophage:-0;MS:macrophage:-0.111;MS:macrophage:0.111;PBC:CD14-positive, CD16-negative classical monocyte:-0.0621;PBC:CD14-positive, CD16-negative classical monocyte:-0.248;PBC:CD14-positive, CD16-negative classical monocyte:-0.264;PBC:CD14-positive, CD16-negative classical monocyte:0.0621;PBC:CD4-positive, alpha-beta T cell:-0;PBC:CD4-positive, alpha-beta T cell:-0.0621;PBC:blood plasma:-0;PBC:blood:0.0621;PBC:blood:0.264;PBC:fibroblast:-0;PBC:fibroblast:0.0621;PBC:macrophage:-0;PBC:macrophage:-0.0621;PBC:mac	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.6536992297096775	0.5724603142052797	0.9431647247323408	False	2.0	1.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13.0		0.0				26.0	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D			0.0	0.0	IL7R
SP140	SP140 nuclear body protein	6.36468645455028	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.8754889965057373	MS	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	0.8754889965057373	d500cf1bf626a4da032d49faaba8ea22	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	3	0.9891974580445424	0.9868116204727	0.9868116204727	CD14-positive, CD16-negative classical monocyte;T cell;blood;lymphoblastoid cell line;naive regulatory T cell;transverse colon	Crohn:B cell:0.0361;Crohn:CD14-positive, CD16-negative classical monocyte:-0.0361;Crohn:CD14-positive, CD16-negative classical monocyte:0.0361;Crohn:T cell:0.0361;Crohn:blood:-0.0361;Crohn:blood:0.0361;Crohn:lymphoblastoid cell line:-0.0361;Crohn:lymphoblastoid cell line:0.0361;Crohn:neutrophil:-0.0361;Crohn:spleen:0.0361;MS:CD14-positive, CD16-negative classical monocyte:-0.154;MS:CD14-positive, CD16-negative classical monocyte:0.154;MS:T cell:-0.154;MS:blood:0;MS:blood:0.154;MS:lymphoblastoid cell line:-0.154;MS:lymphoblastoid cell line:0;MS:lymphoblastoid cell line:0.154;MS:naive regulatory T cell:-0.154;MS:naive regulatory T cell:0.154;MS:transverse colon:-0.154;Psoriasis:CD14-positive, CD16-negative classical monocyte:0;Psoriasis:CD4-positive, alpha-beta T cell:0;Psoriasis:T cell:0;Psoriasis:blood:0;Psoriasis:lymphoblastoid cell line:0;Psoriasis:macrophage:0.0725;Psoriasis:microglial cell:0;Psoriasis:naive regulatory T cell:0;Psoriasis:spleen:0;Psoriasis:spleen:0.0725;Psoriasis:tr	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.0867628128456026	0.7262224269643743	0.9677805697088556	False	1.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	8.0	CHEMBL3108643	0.0				26.0	AS;Crohn;MS;Psoriasis;RA;UC			0.0	0.0	SP140
GALC	galactosylceramidase	6.189795435748273	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW			0.7024610638618469	MS	2	Crohn;MS	3	AS;Crohn;MS	0.7024610638618469	5a6af436f7838697327eeeeb801fc248;877cf385878d6d4b6c01cb3acd784536	3	AS;Crohn;MS	1	MS	1	0.9873343718864264	0.9873343718864264	0.9873343718864264	CD14-positive, CD16-negative classical monocyte;fibroblast;neutrophil;thyroid gland	MS:CD14-positive, CD16-negative classical monocyte:0.271;MS:fibroblast:-0;MS:neutrophil:0.233;MS:thyroid gland:0.233	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1897668310526405	0.4547265367950667	0.9234563450681982	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	7.0		0.0				21.0	AS;Crohn;MS;SLE;UC			0.0	0.0	GALC
STAT4	signal transducer and activator of transcription 4	4.377520842140743	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	STAT4_TF_not_selectively_druggable	prior_branch_blocker_or_directionality_unresolved	0.8833943605422974	RA	8	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	8	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	0.845672070980072	0f1f8ab0ab136934feb8e1412e26fe3b	7	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	7	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	2	0.9941264815984456	0.955404271318453	0.955404271318453	CD14-positive, CD16-negative classical monocyte;CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;T-helper 17 cell;blood;fibroblast;macrophage;naive regulatory T cell;right lobe of liver;transverse colon	Celiac:CD4-positive, alpha-beta T cell:0.237;Crohn:T-helper 17 cell:0.00709;MS:CD14-positive, CD16-negative classical monocyte:0;MS:CD4-positive, alpha-beta T cell:0;MS:CD8-positive, alpha-beta T cell:0;MS:T-helper 17 cell:0.103;MS:blood:0.103;MS:fibroblast:0.103;MS:macrophage:0;MS:macrophage:0.103;MS:naive regulatory T cell:0;MS:right lobe of liver:0.103;MS:transverse colon:0.103;PBC:T-helper 17 cell:-0.0629;RA:CD14-positive, CD16-negative classical monocyte:0;RA:T-helper 17 cell:-0.131;RA:T-helper 17 cell:-0.147;RA:T-helper 17 cell:0.0122;RA:T-helper 17 cell:0.0128;SLE:CD4-positive, alpha-beta T cell:0.358;SLE:T-helper 17 cell:-0.278;SLE:T-helper 17 cell:-0.466;SLE:T-helper 17 cell:0.13;Sjogren:T-helper 17 cell:-0.0211;Sjogren:T-helper 17 cell:-0.29	2.0	0.0	Crohn disease;ulcerative colitis	0.8684079555977076	0.4607005214454064	0.9239963547089984	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	31.0	CHEMBL4523296	0.0	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	reduce STAT4-driven Th1/Th17 polarization	Genetics may be broad, but current modality is absent or wrong-direction restoration.	24.0	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0502650068931169	STAT4
RGS14	regulator of G protein signaling 14	5.299052728193885	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			0.8030093312263489	MS	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	0.8030093312263489	6616937be4e6b32e0a1a1f6202a32e21	3	Crohn;MS;Psoriasis	3	Crohn;MS;Psoriasis	1	0.9960433969675369	0.9952074420704352	0.9952074420704352	T cell;dorsolateral prefrontal cortex;right lobe of liver;skin of body;spleen;suprapubic skin;transverse colon	Crohn:CD4-positive, alpha-beta T cell:-0.00703;Crohn:blood:-0.00703;Crohn:body of pancreas:-0.00703;Crohn:dorsolateral prefrontal cortex:-0.00703;Crohn:fibroblast:-0.00703;Crohn:frontal cortex:-0.00703;Crohn:thyroid gland:-0.00703;Crohn:transverse colon:-0.00703;MS:T cell:-0.123;MS:dorsolateral prefrontal cortex:-0.123;MS:dorsolateral prefrontal cortex:0;MS:right lobe of liver:-0.123;MS:skin of body:0;MS:skin of body:0.123;MS:spleen:-0.123;MS:suprapubic skin:0;MS:transverse colon:0;Psoriasis:blood:0.0177;Psoriasis:dorsolateral prefrontal cortex:0.0177;Psoriasis:fibroblast:-0.0177;Psoriasis:frontal cortex:-0.0177;Psoriasis:macrophage:-0.0177;Psoriasis:right lobe of liver:-0.0177;Psoriasis:sigmoid colon:-0.0177;Psoriasis:skin of body:-0.0177	1.0	0.0	Crohn disease	-0.5035394425450566	0.0463387063426136	0.8744776374054363	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				15.0	Crohn;MS;Psoriasis;UC			0.0	0.0	RGS14
TNFRSF1A	TNF receptor superfamily member 1A	3.953750382123653	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	TNF_axis_prior_art_and_MS_paradox_risk		0.9539542198181152	MS	3	AS;MS;PBC	3	AS;MS;PBC	0.9539542198181152	0bbdc338097e3290fa586375ed761c26;6d0058dcf9181fd956ca161269aaae7d;a92821b684fbf303bc9b24fa57dbac86	4	AS;Crohn;MS;PBC	4	AS;Crohn;MS;PBC	3	0.999796162305538	0.999796162305538	0.999796162305538	CD14-low, CD16-positive monocyte;CD14-positive, CD16-negative classical monocyte;anterior cingulate cortex;blood;dorsolateral prefrontal cortex;fibroblast;macrophage;neutrophil;right lobe of liver;sigmoid colon;skin of body;spleen;suprapubic skin;thyroid gland;transverse colon	AS:CD14-positive, CD16-negative classical monocyte:-0;AS:blood:-0;AS:dorsolateral prefrontal cortex:-0;AS:frontal cortex:-0;AS:lymphoblastoid cell line:0.0275;AS:macrophage:-0;AS:skin of body:-0;Crohn:blood plasma:-0.033;MS:CD14-low, CD16-positive monocyte:0.135;MS:CD14-positive, CD16-negative classical monocyte:0.0462;MS:CD14-positive, CD16-negative classical monocyte:0.111;MS:CD14-positive, CD16-negative classical monocyte:0.135;MS:anterior cingulate cortex:0.135;MS:blood:0.0462;MS:blood:0.111;MS:blood:0.135;MS:dorsolateral prefrontal cortex:0.0462;MS:dorsolateral prefrontal cortex:0.135;MS:fibroblast:0.111;MS:fibroblast:0.135;MS:macrophage:0;MS:macrophage:0.111;MS:macrophage:0.135;MS:neutrophil:0.0462;MS:right lobe of liver:0.135;MS:sigmoid colon:0.135;MS:skin of body:0.0462;MS:skin of body:0.111;MS:skin of body:0.135;MS:spleen:0.0462;MS:spleen:0.111;MS:suprapubic skin:0.135;MS:thyroid gland:0.0462;MS:thyroid gland:0.111;MS:transverse colon:0.0462;MS:transverse colon:0.111;PBC:CD14-	0.0	0.0		-0.1651855861386195	0.3190864538699107	0.9120391943246274	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				18.0	AS;Crohn;MS;PBC;Psoriasis;RA;UC	NO_GO_WAVE61_GUARDRAIL	MS_directionally_unsafe_TNF_axis	0.9683862679530189	0.6211601610564657	TNFRSF1A
ETS1	ETS proto-oncogene 1, transcription factor	3.8270368999129536	NO_GO_WAVE62_TARGET_RESOLUTION			0.8309189677238464	SLE	4	Celiac;Psoriasis;RA;SLE	4	Celiac;Psoriasis;RA;SLE	0.0		2	Celiac;Psoriasis	2	Celiac;Psoriasis	0	0.996117932189107	0.0	0.0		Celiac:CD4-positive, alpha-beta T cell:0;Celiac:CD4-positive, alpha-beta T cell:0.0877;Celiac:CD4-positive, alpha-beta T cell:0.161;Celiac:CD4-positive, alpha-beta T cell:0.218;Celiac:central memory CD4-positive, alpha-beta T cell:0.0877;Celiac:central memory CD4-positive, alpha-beta T cell:0.161;Celiac:central memory CD4-positive, alpha-beta T cell:0.218;Psoriasis:CD4-positive, alpha-beta T cell:0.0133;Psoriasis:CD4-positive, alpha-beta T cell:0.102;Psoriasis:central memory CD4-positive, alpha-beta T cell:0.0133;Psoriasis:central memory CD4-positive, alpha-beta T cell:0.102	2.0	1.0	Crohn disease;ulcerative colitis	0.0153749961763871	0.9662802005584104	0.9967096674502096	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	CHEMBL2169736	0.0				20.0	Celiac;PBC;Psoriasis;RA;SLE	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0322420704707813	ETS1
ETV7	ETS variant transcription factor 7	3.3741060056339256	NO_GO_WAVE62_TARGET_RESOLUTION			0.8808161616325378	RA	1	RA	1	RA	0.0737953037023544		1	RA	1	RA	1	0.993289844001388	0.0	0.0		RA:lymphoblastoid cell line:0.14;RA:lymphoblastoid cell line:0.143;RA:macrophage:0;RA:macrophage:0.14;RA:macrophage:0.143;RA:skin of body:-0.14;RA:skin of body:-0.143	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	1.2818765454897223	0.1865737416259766	0.8993702893651148	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0		0.0				11.0	RA;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0071109583131254	ETV7
CCL20	C-C motif chemokine ligand 20	3.370962635930428	NO_GO_WAVE62_TARGET_RESOLUTION			0.871002733707428	UC	1	UC	1	UC	0.0		1	UC	1	UC	1	0.999959902223	0.0	0.0		UC:CD14-positive, CD16-negative classical monocyte:-0.0259;UC:CD4-positive, alpha-beta T cell:-0.0259;UC:T cell:-0.0259;UC:T-helper 17 cell:-0.0259;UC:blood:-0.0259;UC:fibroblast:-0.0259;UC:lymphoblastoid cell line:-0.0259;UC:naive regulatory T cell:-0.0259;UC:thyroid gland:-0.0259	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	0.8989378106274888	False	3.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				22.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0	CCL20
CTSB	cathepsin B	3.2902897584664066	NO_GO_WAVE62_TARGET_RESOLUTION			0.7930129766464233	T1D	1	T1D	1	T1D	0.0		1	SLE	1	SLE	0	0.997276781819983	0.0	0.0		SLE:frontal cortex:-0.0742	2.0	0.0	psoriasis;ulcerative colitis	-0.0599954640789519	0.8140537383462653	0.9761732664217524	True	1.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				4.0	T1D	NO_GO_L1000_MECHANISM_ONLY	NO_GO_PRIOR	0.0	2.0	CTSB
