samplegroup	outcome	module	n	spearman_rho	spearman_p
SPRA	das28	hla_ii_only	90	-0.035428878722402954	0.7402565047880216
SPRA	das28	monocyte_cd64	90	0.05007879481858645	0.6392537485026998
SPRA	das28	decoupling_hla_minus_cd64	90	-0.08485988813537584	0.42647734387093855
SPRA	das28	lysosomal_apc	90	0.07861457242997336	0.46141484614991496
SPRA	das28	regulatory_pregnancy	90	-0.06325043139939543	0.5536818264410002
SNRA	das28	hla_ii_only	48	0.13086770488857283	0.3752944298964121
SNRA	das28	monocyte_cd64	48	0.2553315948578805	0.07985624356910206
SNRA	das28	decoupling_hla_minus_cd64	48	-0.10891958708835632	0.4611696652104473
SNRA	das28	lysosomal_apc	48	0.1035009744643627	0.4838914087049016
SNRA	das28	regulatory_pregnancy	48	0.3144437325741744	0.02950687828379952
SLE	lai_p	hla_ii_only	97	0.07469412612509597	0.46714526122495703
SLE	lai_p	monocyte_cd64	97	0.09718306589961466	0.34364993907621155
SLE	lai_p	decoupling_hla_minus_cd64	97	0.036154467771475025	0.7251539474209717
SLE	lai_p	lysosomal_apc	97	0.11891878759556095	0.24598646394331442
SLE	lai_p	regulatory_pregnancy	97	0.11326068512438021	0.26933889639505726
