module	n_requested	n_present	present_symbols	missing_symbols
hla_ii_only	7	7	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1	
monocyte_cd64	7	7	FCGR1A;JAK2;STAT1;CXCL8;CXCL2;CD38;PTX3	
lysosomal_apc	8	8	CTSS;CTSB;LAMP1;LAMP2;IFI30;TYROBP;TREM2;APOE	
regulatory_pregnancy	6	6	FOXP3;IL10;TGFB1;IL2RA;CTLA4;IKZF2	
