accessibility	axis_mentioned_disease_count	axis_mentioned_diseases	axis_mentions	best_expression_details	best_negative_p	best_positive_fdr	best_positive_p	blocked_status_note	broad_discovery_priority_score	broad_existing_priority_score	broad_ms_positive_nominal	broad_ms_wm_delta_log2	broad_ms_wm_p	broad_negative_disease_count	broad_negative_diseases	broad_opentargets_disease_count	broad_opentargets_max_genetic_association	broad_positive_disease_count	broad_positive_diseases	broad_rank	candidate_class	chembl_activity_records	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_url	class	clinical_trials_hit_count	clinical_trials_returned_count	clinical_trials_url	cross_negative_trend_diseases	cross_supporting_diseases	cross_trend_or_better_diseases	delta_log2	direct_negative_compartment_count	direct_negative_disease_count	direct_negative_diseases	direct_positive_compartment_count	direct_positive_disease_count	direct_positive_diseases	direct_top_negative_compartments	direct_top_positive_compartments	direction	direction_penalty	discovery_priority_score	druggability_access_score	europepmc_hit_count	europepmc_url	existing_ms_anchor_score	existing_negative_disease_count	existing_negative_diseases	existing_negative_rows	existing_positive_disease_count	existing_positive_diseases	existing_positive_rows	existing_prior_flag	existing_priority_score	existing_weighted_evidence_score	expression_supporting_diseases	fdr	gene	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	geneformer_sources	geneformer_support_contexts	genetic_or_target_db_breadth	google_patents_url	hedges_g	in_lipid_lysosomal_myeloid_neighborhood	local_evidence_score	local_opentargets_disease_rows	local_opentargets_diseases	local_opentargets_max_genetic_association	local_opentargets_max_overall	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_disease_count_union	local_state_coupled_disease_union	manual_intervention_reason	manual_intervention_status	max_positive_delta_log2_cpm	mean_case	mean_control	median_positive_hedges_g	median_raw_spearman_r	median_resid_spearman_r	min_negative_delta_log2_cpm	modality	ms_positive_nominal	ms_positive_trend	ms_wm_delta_log2	ms_wm_fdr	ms_wm_hedges_g	ms_wm_p	n_expr_fdr10_positive_diseases	n_expr_negative_trend_diseases	n_expr_trend_or_better_diseases	n_expression_diseases_tested	n_raw_state_support_diseases	n_resid_state_support_diseases	negative_compartment_count	negative_disease_count	negative_diseases	negative_fdr10_compartment_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	opentargets_channels_present	opentargets_disease_count	opentargets_diseases	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_max_overall	opentargets_url	orchestrator_class	orchestrator_expr_negative_diseases	orchestrator_expr_trend_diseases	orchestrator_expression_supporting_diseases	orchestrator_priority_score	orchestrator_raw_state_diseases	orchestrator_resid_state_diseases	orchestrator_resid_supporting_diseases	p	positive_compartment_count	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	prior_art_saturation_penalty	priority_score	raw_negative_analysis_count	raw_positive_analyses	raw_positive_analysis_count	raw_positive_disease_count	raw_state_supporting_diseases	resid_state_supporting_diseases	residual_gate_priority_score	retained_positive_analysis_count	retained_positive_disease_count	routing_decision	routing_rationale	selection_reasons	source_table	strict_core_covariate_surviving_analyses	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	surface_confounder_dominant_diseases	surface_delta_fdr10_diseases	surface_delta_supporting_diseases	surface_delta_trend_diseases	surface_local_call	surface_negative_delta_diseases	surface_rank_score	surface_raw_state_diseases	surface_reason	surface_resid_state_diseases	surface_resid_supporting_diseases	tested_compartment_count	top_positive_compartments	top_retained_tests	triage_score	wave18_call	wave18_call_reason	wave18_rescue_score	welch_t
					0.022569122633914997	0.13516909584655123	0.002233869664399369																																						4.0																VSIR							0.0			False												1.7558249009216222			1.4644816509227152			-0.7732917813277638		False	False											1	1	Crohn disease	0																			2	2	Sjogren syndrome;type 1 diabetes mellitus	0															broad_h5ad_gene_rank															17	t1d_beta_cell:1.76,p=0.0022;sjogren_gland_epithelial:0.497,p=0.04						
						0.4707506789833656	0.045997200787384715																																						4.0																LILRB4							0.0			False												0.3284962767241583			1.3559926936248559					False	False	-0.0567093265778488	0.9842134382901514	-0.0627677211582155	0.8864378306397437							0	0		0																			1	1	type 1 diabetes mellitus	0															broad_h5ad_gene_rank															10	t1d_ductal_cell:0.328,p=0.046						
																																		-0.056709326577848884																										0.9842134382901514	LILRB4									-0.06276772115821558														11.777225885312328	11.833935211890177																																							0.8864378306397437																			gse111972_ms_white_matter_signature																						-0.1455391856238336
					0.004651494699337784	0.3573145867906226	0.025562902704632625																																						-3.0																LAIR1							0.0			False												1.8258811014653928			1.8667753174716046			-0.8834440086786666		False	False	-0.2811215724373159	0.8989378106274888	-0.715166644642748	0.1069140784882185							2	2	Crohn disease;ulcerative colitis	0																			2	1	type 1 diabetes mellitus	0															broad_h5ad_gene_rank															14	t1d_ductal_cell:1.13,p=0.026;t1d_endothelial_cell:1.83,p=0.026						
																																		-0.28112157243731595																										0.8989378106274888	LAIR1									-0.715166644642748														11.942495733995411	12.223617306432727																																							0.10691407848821853																			gse111972_ms_white_matter_signature																						-1.6959270172434548
					0.005349843498700748																																								-12.0																CD200R1							0.0			False																		-2.3297754099145096		False	False	0.8754679036799504	0.9239963547089984	0.3156445688581094	0.4636324457626696							3	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0																			0	0		0															broad_h5ad_gene_rank															12							
											False			3.0				0.0																											-12.0																CD200R1										False																						0.8754679036799504			0.4636324457626696											0	0																							0		0	0			0	0	0			mechanistic_scout	broad_residual_gate_summary		0	0																			
																																		0.8754679036799504																										0.9239963547089983	CD200R1									0.3156445688581094														2.651818442744758	1.7763505390648078																																							0.4636324457626696																			gse111972_ms_white_matter_signature																						0.7486133881788868
					0.007000783528122394																																								-4.0																SIGLEC10							0.0			False																		-0.25802928102381617		False	False	-0.6228823890231006	0.8989378106274888	-0.7889879995997997	0.0790960238639784							1	1	type 1 diabetes mellitus	0																			0	0		0															broad_h5ad_gene_rank															12							
											False			1.0				0.0																											-4.0																SIGLEC10										False																						-0.6228823890231006			0.0790960238639784											0	0																							0		0	0			0	0	0			mechanistic_scout	broad_residual_gate_summary		0	0																			
