gene	status	error	target_chembl_id	pref_name	target_type	organism	gene_symbols	nM_activity_count	activity_error	target_search_url	activity_url	n_search_hits	search_hits
VSIR	ok		CHEMBL4523457	V-type immunoglobulin domain-containing suppressor of T-cell activation	SINGLE PROTEIN	Homo sapiens	VSIR	159		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=VSIR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4523457	2	"[{""accessions"": ""Q9H7M9"", ""gene_symbols"": ""VSIR"", ""organism"": ""Homo sapiens"", ""pref_name"": ""V-type immunoglobulin domain-containing suppressor of T-cell activation"", ""target_chembl_id"": ""CHEMBL4523457"", ""target_type"": ""SINGLE PROTEIN""}, {""accessions"": ""Q9D659"", ""gene_symbols"": ""Vsir"", ""organism"": ""Mus musculus"", ""pref_name"": ""V-type immunoglobulin domain-containing suppressor of T-cell activation"", ""target_chembl_id"": ""CHEMBL5465355"", ""target_type"": ""SINGLE PROTEIN""}]"
LILRB4	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB4		0	[]
LAIR1	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LAIR1		0	[]
CD200R1	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD200R1		0	[]
SIGLEC10	ok		CHEMBL4303061	Sialic acid-binding Ig-like lectin 10	SINGLE PROTEIN	Homo sapiens	SIGLEC10	0		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIGLEC10	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4303061	1	"[{""accessions"": ""Q96LC7"", ""gene_symbols"": ""SIGLEC10"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Sialic acid-binding Ig-like lectin 10"", ""target_chembl_id"": ""CHEMBL4303061"", ""target_type"": ""SINGLE PROTEIN""}]"
LILRB3	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB3		0	[]
LILRB5	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB5		0	[]
HAVCR2	ok		CHEMBL4630879	Hepatitis A virus cellular receptor 2	SINGLE PROTEIN	Homo sapiens	HAVCR2	81		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HAVCR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4630879	1	"[{""accessions"": ""Q8TDQ0"", ""gene_symbols"": ""HAVCR2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Hepatitis A virus cellular receptor 2"", ""target_chembl_id"": ""CHEMBL4630879"", ""target_type"": ""SINGLE PROTEIN""}]"
TIGIT	ok		CHEMBL4630878	T-cell immunoreceptor with Ig and ITIM domains	SINGLE PROTEIN	Homo sapiens	TIGIT	0		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TIGIT	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4630878	1	"[{""accessions"": ""Q495A1"", ""gene_symbols"": ""TIGIT"", ""organism"": ""Homo sapiens"", ""pref_name"": ""T-cell immunoreceptor with Ig and ITIM domains"", ""target_chembl_id"": ""CHEMBL4630878"", ""target_type"": ""SINGLE PROTEIN""}]"
BTLA	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BTLA		0	[]
CD300A	ok									https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD300A		0	[]
