mu_sd	tau_scale	loo_log_score_gain	worst_cohort_log_score_gain	posterior_mu_mean	posterior_probability_mu_positive	posterior_tau_median
0.5	0.25	-0.059801212499068335	-0.0492420320206417	0.34318073625853085	0.8869520843359349	0.1605
0.5	0.5	-0.20639118486839347	-0.13056233484471758	0.3316033780606512	0.8656309069528433	0.2805
0.5	1.0	-0.4695954194929648	-0.2486548156375985	0.3113320238177638	0.8359086292410789	0.41400000000000003
0.5	2.0	-0.7162887425707405	-0.34727263473263026	0.29424420201758544	0.8135965810317418	0.5085000000000001
1.0	0.25	-0.052818693831999664	-0.050288468971322664	0.45291967498299596	0.9175838727269067	0.162
1.0	0.5	-0.19219243146395515	-0.13552828734496847	0.4563678874933934	0.9014325058011545	0.28800000000000003
1.0	1.0	-0.4525378452645126	-0.26238626631756856	0.4509594158356014	0.8764715117826899	0.4305
1.0	2.0	-0.7039038859909552	-0.3677263847194764	0.4405904599628251	0.8557710028593517	0.5325
2.0	0.25	-0.056677808965638565	-0.05416459558584985	0.49277077195834357	0.9261690105010594	0.1635
2.0	0.5	-0.20711873879345744	-0.14558496914326402	0.5067588798302799	0.9120941301987872	0.294
2.0	1.0	-0.49320453811273834	-0.28673166918039894	0.5173182555158117	0.8895548305788074	0.4455
2.0	2.0	-0.7751263815924792	-0.40669133743827435	0.5195316578043496	0.8699888530103915	0.5595
