gene	source	query	hit_count	top_title	top_year	top_url	api_url	status
SNX10	EuropePMC	SNX10 macrophage colitis	29	Sorting nexin 10 knockdown: new strategies for alleviating sepsis-associated acute lung injury.	2026	https://pubmed.ncbi.nlm.nih.gov/41711764/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SNX10+macrophage+colitis&resultType=lite&pageSize=3&format=json	ok
SNX10	EuropePMC	SNX10 autoimmune	95	Unveiling potential diagnostic biomarkers for rheumatoid arthritis through integrated gene expression analysis.	2026	https://pubmed.ncbi.nlm.nih.gov/41816328/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SNX10+autoimmune&resultType=lite&pageSize=3&format=json	ok
SNX10	EuropePMC	SNX10 phagosome macrophage infection	9	SNX10 functions as a modulator of piecemeal mitophagy and mitochondrial bioenergetics.	2025	https://pubmed.ncbi.nlm.nih.gov/40052924/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SNX10+phagosome+macrophage+infection&resultType=lite&pageSize=3&format=json	ok
C15ORF48	EuropePMC	C15ORF48 MOCCI inflammation macrophage	5	Unveiling the impact of C15orf48 on non-small cell lung cancer through NF-kappa B signaling.	2025	https://pubmed.ncbi.nlm.nih.gov/39576886/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=C15ORF48+MOCCI+inflammation+macrophage&resultType=lite&pageSize=3&format=json	ok
C15ORF48	EuropePMC	C15ORF48 autoimmune	86	Bioinformatics analysis to investigate the potential relationship between mitochondrial structure and function-related genes and the immune microenvironment in atherosclerosis.	2025	https://pubmed.ncbi.nlm.nih.gov/40433124/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=C15ORF48+autoimmune&resultType=lite&pageSize=3&format=json	ok
C15ORF48	EuropePMC	MOCCI host inflammation immunity	36	Noncanonical microprotein regulation of immunity.	2024	https://pubmed.ncbi.nlm.nih.gov/38734902/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=MOCCI+host+inflammation+immunity&resultType=lite&pageSize=3&format=json	ok
DAP	EuropePMC	DAP1 interferon gamma cell death	33	DAP1 regulates osteoblast autophagy via the ATG16L1-LC3 axis in Graves' disease-induced osteoporosis.	2023	https://pubmed.ncbi.nlm.nih.gov/37735431/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DAP1+interferon+gamma+cell+death&resultType=lite&pageSize=3&format=json	ok
DAP	EuropePMC	DAP1 autophagy apoptosis	121	Exosomal miRNA let-7i-5p alleviates asthma triggered by RSV-induced exosomes by regulating dendritic cell autophagy via the MITF/DAP1/P70S6K pathway.	2026	https://pubmed.ncbi.nlm.nih.gov/41839285/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DAP1+autophagy+apoptosis&resultType=lite&pageSize=3&format=json	ok
DAP	EuropePMC	DAP1 autoimmune	42	Deep Profiling of Plasma Proteoforms with Engineered Nanoparticles for Top-Down Proteomics.	2024	https://pubmed.ncbi.nlm.nih.gov/39312774/	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DAP1+autoimmune&resultType=lite&pageSize=3&format=json	ok
FMNL2	EuropePMC	FMNL2 Crohn disease L136P	0				https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FMNL2+Crohn+disease+L136P&resultType=lite&pageSize=3&format=json	ok
