gene	source	query	api_url	status	target_count	chosen_target_chembl_id	chosen_pref_name	chosen_target_type	chosen_organism	activity_count_for_chosen_target	chembl_target_url	chembl_activity_api_url
CHI3L1	ChEMBL target search	CHI3L1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CHI3L1	ok;activity_ok	2	CHEMBL5724768	Chitinase-3-like protein 1	SINGLE PROTEIN	Homo sapiens	48	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL5724768/	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL5724768&limit=1
LTA4H	ChEMBL target search	LTA4H	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LTA4H	ok;activity_ok	4	CHEMBL4618	Leukotriene A-4 hydrolase	SINGLE PROTEIN	Homo sapiens	2863	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4618/	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4618&limit=1
APOC1	ChEMBL target search	APOC1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=APOC1	ok	0							
CBX3	ChEMBL target search	CBX3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CBX3	ok;activity_ok	1	CHEMBL3826866	Chromobox protein homolog 3	SINGLE PROTEIN	Homo sapiens	10	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL3826866/	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3826866&limit=1
C15ORF48	ChEMBL target search	C15ORF48	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=C15ORF48	ok	0							
CXCL9	ChEMBL target search	CXCL9	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL9	ok	0							
PPP3CA	ChEMBL target search	PPP3CA	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPP3CA	ok;activity_ok	1	CHEMBL4445	Protein phosphatase 3 catalytic subunit alpha	SINGLE PROTEIN	Homo sapiens	1832	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4445/	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4445&limit=1
SNX10	ChEMBL target search	SNX10	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SNX10	ok	0							
DAP	ChEMBL target search	DAP	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=DAP	ok	18							
FMNL2	ChEMBL target search	FMNL2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FMNL2	ok	0							
TNFAIP8L1	ChEMBL target search	TNFAIP8L1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP8L1	ok	0							
PPIL3	ChEMBL target search	PPIL3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPIL3	ok	0							
NCK1	ChEMBL target search	NCK1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=NCK1	ok;activity_ok	1	CHEMBL4846	SH2/SH3 adapter protein NCK1	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL4846/	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4846&limit=1
PLEK2	ChEMBL target search	PLEK2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PLEK2	ok	0							
SEL1L3	ChEMBL target search	SEL1L3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEL1L3	ok	0							
AQR	ChEMBL target search	AQR	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=AQR	ok	0							
