candidate	role	genes	expr_genes_found	expr_trend_disease_count	expr_fdr10_disease_count	expr_negative_disease_count	expr_supporting_diseases	expr_negative_diseases	genetic_disease_count_score_ge_0_5	genetic_disease_count_score_ge_0_8	genetic_max_score	genetic_support_diseases_ge_0_5	genetic_support_diseases_ge_0_8	europepmc_autoimmune_hit_count	clinicaltrials_hit_count	europepmc_url	clinicaltrials_url	google_patents_url	expression_gate	genetics_gate	novelty_risk_gate
CIITA_RFX5_HLAII_transcriptional_gate	narrow_hla_ii_controller	CIITA;RFX5	CIITA;RFX5	3	0	0	Crohn disease;psoriasis;type 1 diabetes mellitus		0	0	0.0			2924	0	https://europepmc.org/search?query=%28%22CIITA%22+OR+%22RFX5%22+OR+%22MHC+class+II+transactivator%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=CIITA+RFX5+MHC+class+II+transactivator+autoimmune	https://patents.google.com/?q=(%28%22CIITA%22+OR+%22RFX5%22+OR+%22MHC+class+II+transactivator%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	fail	crowded
GSK3B_CIITA_controller	druggable_controller_scout	GSK3B;CIITA;RFX5	CIITA;RFX5	3	0	0	Crohn disease;psoriasis;type 1 diabetes mellitus		0	0	0.0			4826	0	https://europepmc.org/search?query=%28%22GSK3B%22+OR+%22GSK-3+beta%22+OR+%22CIITA%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=GSK3B+GSK-3+beta+CIITA+autoimmune	https://patents.google.com/?q=(%28%22GSK3B%22+OR+%22GSK-3+beta%22+OR+%22CIITA%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	fail	crowded
SH2B3_LNK_cytokine_negative_regulator	pan_autoimmune_genetic_anchor	SH2B3;LNK	SH2B3	2	0	0	Crohn disease;ulcerative colitis		10	9	0.9461422562599182	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	1860	0	https://europepmc.org/search?query=%28%22SH2B3%22+OR+%22LNK%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=SH2B3+LNK+autoimmune	https://patents.google.com/?q=(%28%22SH2B3%22+OR+%22LNK%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	pass	crowded
TNFAIP3_A20_negative_regulator	pan_autoimmune_genetic_anchor	TNFAIP3	TNFAIP3	2	0	0	Crohn disease;ulcerative colitis		7	7	0.953155279159546	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	11331	1	https://europepmc.org/search?query=%28%22TNFAIP3%22+OR+%22A20%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=TNFAIP3+A20+autoimmune	https://patents.google.com/?q=(%28%22TNFAIP3%22+OR+%22A20%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	pass	crowded
CLEC16A_autophagy_locus	autophagy_locus_anchor	CLEC16A	CLEC16A	1	0	0	Crohn disease		7	0	0.7454372644424438	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D		797	0	https://europepmc.org/search?query=%28%22CLEC16A%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=CLEC16A+autoimmune	https://patents.google.com/?q=(%28%22CLEC16A%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	pass	crowded
GPR65_pH_endolysosomal_gpcr	druggable_genetic_fail_fast_scout	GPR65	GPR65	1	0	0	Sjogren syndrome		5	2	0.904011845588684	AS;Crohn;MS;Psoriasis;UC	Crohn;UC	549	0	https://europepmc.org/search?query=%28%22GPR65%22+OR+%22TDAG8%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=GPR65+TDAG8+autoimmune	https://patents.google.com/?q=(%28%22GPR65%22+OR+%22TDAG8%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	fail	pass	crowded
IFNG_HLAII_CD74_transition_state	central_state_or_biomarker	CD74;CIITA;RFX5;CTSS	CD74;CIITA;CTSS;RFX5	5	0	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	0	0.0620631612837314			9079	0	https://europepmc.org/search?query=%28%22CD74%22+OR+%22HLA-II%22+OR+%22CIITA%22+OR+%22RFX5%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=CD74+HLA-II+CIITA+autoimmune	https://patents.google.com/?q=(%28%22CD74%22+OR+%22HLA-II%22+OR+%22CIITA%22+OR+%22RFX5%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	pass	fail	crowded
SLC15A4_TASL_IRF5_endolysosomal_checkpoint	endolysosomal_apc_checkpoint	SLC15A4;TASL;IRF5	IRF5;SLC15A4;TASL	5	0	0	Crohn disease;MS;Sjogren syndrome;psoriasis;ulcerative colitis		9	9	0.9188385009765624	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	4757	0	https://europepmc.org/search?query=%28%22SLC15A4%22+OR+%22TASL%22+OR+%22IRF5%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=SLC15A4+TASL+IRF5+autoimmune	https://patents.google.com/?q=(%28%22SLC15A4%22+OR+%22TASL%22+OR+%22IRF5%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	pass	pass	crowded
PTPN2_JAKSTAT_negative_regulator	pan_autoimmune_genetic_anchor_wrong_direction	PTPN2	PTPN2	4	0	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		8	4	0.900806963443756	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	Crohn;Psoriasis;RA;T1D	1581	1	https://europepmc.org/search?query=%28%22PTPN2%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29	https://clinicaltrials.gov/search?term=PTPN2+autoimmune	https://patents.google.com/?q=(%28%22PTPN2%22%29+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+%22Crohn%22+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+celiac+OR+%22type+1+diabetes%22+OR+%22ankylosing+spondylitis%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29)	pass	pass	crowded
