analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	UNC93B1	detection_fraction	6.0	6.0	0.11474732105222067	0.10139706511874796	0.013350255933472707	0.23211737816440717	0.4355423499921345	0.6727071086280493	1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IRF5	mean_z_vs_controls	6.0	6.0	0.00015615774083144925	0.0	0.00015615774083144925	0.5329387100211931	1.0	0.3632174676491227	0.7387473918287242
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	IRF5	detection_fraction	6.0	6.0	0.00045787545787545793	0.0	0.00045787545787545793	0.532938710021193	1.0000000000000002	0.36321746764912244	0.7387473918287242
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	SLC15A4	mean_z_vs_controls	6.0	6.0	0.2424469828826138	0.04374899904770258	0.19869798383491122	0.8557371067117925	1.6056951589757158	0.15535498215623567	0.6663301486515556
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	SLC15A4	detection_fraction	6.0	6.0	0.09242204213762141	0.03965303339633075	0.05276900874129066	0.9965089276898055	1.8698377673676174	0.11683025447485931	0.5986735394077064
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	-0.029210311891848643	-0.003275095575752729	-0.025935216316095914	-0.5329387100211929	-0.9999999999999998	0.36321746764912255	0.7387473918287242
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TASL_CXorf21	detection_fraction	6.0	6.0	0.0	0.0007575757575757576	-0.0007575757575757576	-0.532938710021193	-1.0000000000000002	0.36321746764912244	0.7387473918287242
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR7	mean_z_vs_controls	6.0	6.0	-0.0030129032228445956	-0.002901200397465588	-0.00011170282537900774	-0.0012443137921629463	-0.0023348159343003338	0.9981866154369963	1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR7	detection_fraction	6.0	6.0	0.00228310502283105	0.0015817124972054549	0.0007013925256255953	0.1455390308023121	0.27308774548676434	0.7921727078026345	1.0
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TLR8	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
