analysis	status	n_gene_donor_rows	n_module_donor_rows	n_present_genes
ibd_crohn_myeloid	completed	84	36	7
ibd_uc_myeloid	completed	84	36	7
ibd_crohn_epithelial	completed	84	36	7
ibd_uc_epithelial	completed	84	36	7
ibd_crohn_stromal	completed	84	36	7
ibd_uc_stromal	completed	84	36	7
psoriasis_skin_apc	completed	42	18	7
psoriasis_keratinocyte	completed	42	18	7
psoriasis_skin_stromal	completed	42	18	7
ra_blood_myeloid	completed	216	108	6
sjogren_gland_apc	completed	154	66	7
sjogren_gland_epithelial	completed	175	75	7
sjogren_gland_stromal	completed	168	72	7
t1d_beta_cell	completed	132	66	6
t1d_ductal_cell	completed	144	72	6
t1d_acinar_cell	completed	138	69	6
t1d_stellate_cell	completed	126	63	6
t1d_endothelial_cell	completed	132	66	6
