analysis	disease_name	compartment	role	gene	aliases	present	matched_alias	matched_symbol
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TLR9	TLR9	True	TLR9	TLR9
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	CXorf21	CXorf21
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR9	TLR9	True	TLR9	TLR9
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	IRF5	IRF5	True	IRF5	IRF5
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	TLR7	TLR7	True	TLR7	TLR7
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	TLR8	TLR8	True	TLR8	TLR8
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	TLR9	TLR9	False		
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	IRF5	IRF5	True	IRF5	IRF5
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	TLR7	TLR7	True	TLR7	TLR7
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	TLR8	TLR8	True	TLR8	TLR8
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	TLR9	TLR9	True	TLR9	TLR9
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
