analysis	disease_name	compartment	role	module	n_genes_present	genes_present
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	endosomal_tlr_sensor_chaperone	4	TLR7,TLR8,TLR9,UNC93B1
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	full_slc15a4_tasl_tlr_irf5_branch	7	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,TLR9,UNC93B1
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	endosomal_tlr_sensor_chaperone	3	TLR7,TLR8,UNC93B1
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	full_slc15a4_tasl_tlr_irf5_branch	6	SLC15A4,TASL_CXorf21,IRF5,TLR7,TLR8,UNC93B1
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	slc15a4_tasl_irf5_core	3	SLC15A4,TASL_CXorf21,IRF5
