gene	modules	n_primary_contexts	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	ibd_weighted_hedges_g_responder_minus_non	ibd_median_auc_high_score_nonresponse	ibd_min_p	best_context	ibd_wave86_call	ibd_nonresponse_high	ibd_call	ra_available	ra_n_subjects	ra_n_responders	ra_n_nonresponders	ra_effect_responder_minus_non	ra_hedges_g_responder_minus_non	ra_auc_high_score_nonresponse	ra_p	ra_nonresponse_high	ra_call	ra_fdr_candidate_genes	psoriasis_ada_n_subjects	psoriasis_ada_n_responders	psoriasis_ada_n_nonresponders	psoriasis_ada_effect_responder_minus_non	psoriasis_ada_hedges_g_responder_minus_non	psoriasis_ada_auc_high_score_nonresponse	psoriasis_ada_p	psoriasis_ada_fdr	psoriasis_ada_nonresponse_high	psoriasis_ada_call	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	ms_wm_positive_nominal	ms_wm_negative_nominal	ms_wm_call	direct_h5ad_contexts	direct_positive_p05_disease_count	direct_positive_p05_diseases	direct_negative_p05_disease_count	direct_negative_p05_diseases	direct_positive_fdr10_disease_count	direct_negative_fdr10_disease_count	direct_top_positive_contexts	direct_top_negative_contexts	wave55_score	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	ms_genetic_association	ms_overall_score	strict_residual_disease_count	foundation_recommendation	wave62_score	wave62_call	manual_blocker	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	chembl_target_id	druggable_activity_count	wave61_best_call	wave61_best_manual_blocker	wave81_call	direct_perturbation	foundation_model_support	direct_perturbation_detail	foundation_model_detail	wave71_call	decision_reason	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	response_mean_hedges_g_responder_minus_non	response_effect_sd	route_blocker	wave91_call	module_intervention_score
CD44	mif_cd74_receptor_state	4	4	0	3	3	-1.3047727761355623	0.7994791666666667	0.000517497213761	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.7554774253834361	1.0944632564181695	0.2165178571428571	0.0017362914664571676	False	NO_SUPPORT	0.04317233334423169	14	9	5	-0.3667146704674164	-0.5602407617375059	0.7555555555555555	0.3705078193472024	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	1.3446537852001974	0.9541987285932504	0.0331669831445104	0.8506970233122761	True	False	MS_WM_UP_NOMINAL	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_crohn_epithelial:0.311,p=0.0102;ibd_uc_epithelial:0.528,p=0.0441		11.0	3.0	AITD;SLE;T1D	1.0	SLE	0.0	0.0	0.0	do_not_promote	3.2877469886291055	NO_GO_WAVE62_TARGET_RESOLUTION		2.0	SLE;T1D	0.0	1.0	SLE		0.0				0.0	0.0					2	1	-0.25685009381829954	1.2280544808807912	NO_GO_ADHESION_MATRIX_PRIOR_ART_AND_BROAD_BIOLOGY	NO_GO_ROUTE_BLOCKED	8.5
TREM1	inflammatory_nfkb	4	4	0	3	3	-1.6287105832711166	0.8826264880952381	3.486426152596833e-05	GSE12251_UC_ACT1_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.4831979474209772	0.7035904905500889	0.3303571428571429	0.037125265117003904	False	NO_SUPPORT	0.1307919176471091	14	9	5	-0.7525220962821353	-0.8590926259623843	0.7333333333333334	0.1455219095271293	0.8144849241386118	True	NONRESPONSE_HIGH_TREND	0.1491506549885279	0.1228719579068865	0.7752316091249384	0.973344149072204	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_uc_myeloid:3.542,p=0.0103;ibd_crohn_myeloid:2.547,p=0.0471			0.0											0.0			0.0			0.0				0.0	0.0					2	2	-0.5947375728944707	1.188410606776459	PARK_RECEPTOR_ROUTE_BUT_NO_LOCAL_MS_OR_GENETIC_ANCHOR	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	8.0
IRF1	ifn_apc	4	4	0	1	1	-0.5843905657803538	0.6434151785714286	0.0265094289124788	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.12028004813172942	0.13647094098291387	0.4754464285714286	0.6880656950118766	False	NO_SUPPORT	0.9382714022889227	14	9	5	0.0487768569745692	0.0461944543670465	0.5111111111111111	0.9232536847048602	0.9442367229936072	False	NO_SUPPORT	-0.0303981739668568	-0.0418791682937852	0.9222930745319916	0.9899194730321256	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_crohn_myeloid:0.635,p=0.00366;ibd_crohn_epithelial:0.348,p=0.00924;ibd_uc_epithelial:0.192,p=0.0376		9.0	3.0	Crohn;Psoriasis;SLE	3.0	Crohn;Psoriasis;SLE	0.0	0.0	0.0		1.700519893798229	NO_GO_WAVE62_TARGET_RESOLUTION		0.0		0.0	2.0	Crohn;UC		0.0	NO_GO_WAVE61_GUARDRAIL	generic_IFN_transcription_axis	NO_GO_NO_PERTURBATION_SUPPORT	0.0	0.0				candidate lacks direct perturbation or model support	1	1	-0.13390839014346445	0.39273159273712005	UNSPECIFIED_ROUTE_NOT_AUDITED	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	8.0
CTSB	lysosomal_apc	4	4	0	1	1	-0.7231919653792506	0.6583333333333333	0.008665911503524	GSE16879_Crohn_colitis_Leuven_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.5670242535562842	0.7488564307109002	0.3147321428571429	0.039104697833099104	False	NO_SUPPORT	0.1307919176471091	14	9	5	-0.7037253614534331	-0.8159128926051508	0.7111111111111111	0.185347952773175	0.8144849241386118	True	NONRESPONSE_HIGH_TREND	-0.0599954640789519	-0.1033313175720312	0.8140537383462653	0.9761732664217524	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;psoriasis	0		0	0	psoriasis_keratinocyte:1.016,p=0.00971;ibd_crohn_epithelial:0.116,p=0.0413		4.0	1.0	T1D	0.0		0.0	0.0	0.0	do_not_promote	3.2902897584664066	NO_GO_WAVE62_TARGET_RESOLUTION		1.0	T1D	0.0	1.0	SLE		0.0	NO_GO_L1000_MECHANISM_ONLY	NO_GO_PRIOR	NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	1.0		wave57:support=3,strong=2,token_contexts=7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	cathepsin/lysosomal protease route prior audited and nonspecific	2	2	-0.26341614242450034	0.8778787583305746	NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	7.5
IL1B	inflammatory_nfkb	4	4	0	3	3	-1.6949960469299326	0.8973958333333334	6.0045207181083906e-05	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.47155137759208166	-0.588430399982512	0.7008928571428572	0.04069081882354505	True	NONRESPONSE_HIGH_NOMINAL	0.1307919176471091	14	9	5	-0.7959582199397516	-0.6324506667490817	0.5555555555555556	0.394019040756731	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.4438671148785484	-0.4828107808113894	0.2706928133384321	0.9049965616313804	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_uc_myeloid:1.265,p=0.0116;ibd_uc_epithelial:0.568,p=0.0141;ibd_crohn_myeloid:1.062,p=0.0292		2.5	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					3	2	-0.9719590378871753	0.6265551318963656	NO_GO_GENERIC_IL1_INFLAMMATION_AND_EXISTING_IL1_BLOCKADE_PRIOR_ART	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	7.0
HLA-DPB1	hla_ii_apc;mif_cd74_receptor_state	4	4	0	0	0	-0.4443536584357904	0.6460193452380952	0.1344243264512348	GSE12251_UC_ACT1_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.06407954122826663	0.06015254975144939	0.4375	0.8514481346664439	False	NO_SUPPORT	0.9991169063975157	14	9	5	-0.3461124339167788	-0.2797873911903748	0.6444444444444444	0.574806601070979	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.4960756722429025	0.9478883118254368	0.0397661138040672	0.85672364651018	True	False	MS_WM_UP_NOMINAL	10	1	ulcerative colitis	0		0	0	ibd_uc_epithelial:0.382,p=0.00792		3.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	0	-0.2213294999582386	0.2572831559009408	UNSPECIFIED_ROUTE_NOT_AUDITED	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	7.0
RFX5	hla_ii_apc	4	3	1	0	0	-0.2414721098566762	0.5476190476190476	0.2283143687247761	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	-0.8645192677908986	-0.9913032709735674	0.7455357142857143	0.003678477791631087	True	NONRESPONSE_HIGH_NOMINAL	0.04317233334423169	14	9	5	0.1922984603830748	0.1840137125935995	0.4666666666666667	0.6614282042880635	0.8144849241386118	False	NO_SUPPORT	0.0043302351443461	0.0112453973210766	0.9786885809467264	0.9982687727683835	False	False	MS_WM_NULL_OR_WEAK	12	2	psoriasis;type 1 diabetes mellitus	1	Sjogren syndrome	0	0	t1d_ductal_cell:0.234,p=0.00712;psoriasis_keratinocyte:0.076,p=0.0156	sjogren_gland_apc:-0.174,p=0.0056		0.0											0.0			0.0			0.0			NO_GO_PERTURBATION_FIRST_BLOCKED	1.0	0.0	wave15:weak_selective_target_suppression:weak_followup_only		NO_REOPEN_INSUFFICIENT_CONVERGENCE	MHC-II antigen-presentation core/host-defense risk	2	1	-0.34958722274554804	0.5950707194876808	UNSPECIFIED_ROUTE_NOT_AUDITED	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	7.0
LPL	lipid_loader_repair	4	3	1	0	0	-0.2044930888200467	0.5470238095238096	0.2508045528382732	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	-0.3481992757718184	-0.3945944269012455	0.6361607142857143	0.15776007776894857	True	NONRESPONSE_HIGH_TREND	0.33805730950488977	14	9	5	-0.67165690386129	-2.208896818102851	0.9555555555555556	0.0111077018243163	0.499846582094236	True	NONRESPONSE_HIGH_NOMINAL	1.7595984466157422	1.873091309632819	0.0006219963760009	0.7144250374746858	True	False	MS_WM_UP_NOMINAL	12	1	Crohn disease	1	psoriasis	0	0	ibd_crohn_epithelial:0.58,p=0.0231	psoriasis_skin_apc:-0.123,p=0.0158	2.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					3	2	-0.9359947779413811	1.1064557526491918	NO_GO_DIRECT_SYSTEMIC_LIPOLYSIS_TARGET_MARKER_ONLY	NO_GO_DIRECT_ATLAS_CONTRADICTION	6.5
HLA-DPA1	hla_ii_apc;mif_cd74_receptor_state	4	4	0	0	0	-0.4778559652276664	0.655952380952381	0.2332515944998281	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.19019027925978757	0.14368966099449906	0.5290178571428572	0.532810305065953	False	NO_SUPPORT	0.7992154575989294	14	9	5	-0.3013114704945947	-0.2045452010950023	0.6222222222222222	0.6525054030438032	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.564665600429203	1.1896638011859288	0.0134550343727772	0.8372898579012464	True	False	MS_WM_UP_NOMINAL	10	0		0		0	0				0.0											0.0			0.0			0.0				0.0	0.0					2	0	-0.17957050177605652	0.3115245465024061	UNSPECIFIED_ROUTE_NOT_AUDITED	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	6.0
CCL2	inflammatory_nfkb	4	4	0	3	2	-1.4102593044201093	0.825	0.0001606271969653	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.8437063008322958	0.9691896011669343	0.2723214285714286	0.011385216217429666	False	NO_SUPPORT	0.07193666465907397	14	9	5	-0.1375698040091038	-0.1612781575255676	0.4666666666666667	0.7975183076738196	0.8972080961330471	True	NONRESPONSE_HIGH_WEAK	0.0490525604706171	0.049947182378907	0.90646856397048	0.9859682246933096	False	False	MS_WM_NULL_OR_WEAK	12	0		1	ulcerative colitis	0	0		ibd_uc_epithelial:-0.063,p=0.03	15.0	5.0	AS;Crohn;Psoriasis;RA;UC	2.0	Crohn;UC	0.0	0.0	0.0		2.201845169067383	NO_GO_WAVE62_TARGET_RESOLUTION		2.0	Crohn;UC	0.0	4.0	Celiac;Crohn;SLE;UC		0.0				0.0	0.0					2	1	-0.20078262025958085	1.1902162515722814	NO_GO_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	5.5
