tracking_id	gene_type	D0_RPKM	Description	D3_RPKM	D7_RPKM	D14_RPKM	D21_RPKM	LCL_RPKM	late_mean_RPKM	early_mean_RPKM	log2_late_vs_D0	log2_early_vs_D0
HBB	protein_coding	5945.68926	hemoglobin subunit beta	6.482439704	11.60786871	1.970770041	0.0	0.548839855	0.8398699653333334	9.045154207	-12.627119541313416	-9.344645117425348
HBA2	protein_coding	1490.422959	hemoglobin subunit alpha 2	0.636051294	1.74458351	0.771580462	0.0	0.0	0.2571934873333333	1.190317402	-12.02682520113037	-10.173876888149204
THBS1	protein_coding	2446.058112	thrombospondin 1	37.94435539	27.60535183	0.874910471	0.202145494	0.385518121	0.48752469533333337	32.77485361	-12.023580544191722	-6.217389377769561
TYROBP	protein_coding	768.2630611	TYRO protein tyrosine kinase binding protein	127.5008406	213.7597325	0.112836882	0.072844407	0.072667883	0.08611639066666667	170.63028655	-12.011367333594634	-2.1700691567015715
GNLY	protein_coding	1058.185565	granulysin	193.0330831	5.489863932	0.582817546	0.0	0.592641012	0.3918195193333333	99.261473516	-11.071312358826296	-3.412898594131585
SPP1	protein_coding	527.6148769	secreted phosphoprotein 1	44.2781463	316.2569919	0.386002905	0.094930639	0.0	0.16031118133333333	180.2675691	-10.985305657837756	-1.5488186965104491
HBA1	protein_coding	447.8842836	hemoglobin subunit alpha 1	0.461819421	1.205795533	0.440175558	0.0	0.070869173	0.17034824366666668	0.833807477	-10.694413420614975	-8.906107264220786
ANPEP	protein_coding	394.4624003	alanyl aminopeptidase, membrane	28.13960628	50.28233445	0.210108457	0.259485749	0.035298673	0.16829762633333334	39.210970365	-10.522203475173136	-3.327249600164974
CXCL2	protein_coding	232.3919425	C-X-C motif chemokine ligand 2	39.88912554	7.883201005	0.055341574	0.071454016	0.071280861	0.06602548366666666	23.8861632725	-10.451560300662727	-3.276906403774266
CST7	protein_coding	368.4540609	cystatin F	75.75849658	4.190463617	0.501942128	0.0	0.046179267	0.18270713166666666	39.9744800985	-10.348352261909614	-3.201120545812153
KLRK1	protein_coding	255.161604	killer cell lectin like receptor K1	49.44708391	1.788331114	0.146886778	0.162559011	0.027027513	0.11215776733333332	25.617707512000003	-10.232623332808561	-3.3111425953963023
LYZ	protein_coding	884.6969459	lysozyme	86.64940202	376.0403813	0.461879465	0.0	1.473106445	0.6449953033333333	231.34489165999997	-10.21389935998209	-1.9346776852428995
CD300E	protein_coding	133.1330989	CD300e molecule	3.314684331	1.20921623	0.018918184	0.0	0.024366933	0.014428372333333333	2.2619502805	-10.185292007757702	-5.81783012723594
CD247	protein_coding	213.0495645	CD247 molecule	55.91840598	2.994523747	0.099176974	0.051220755	0.102193263	0.08419699733333334	29.456464863500003	-10.176400848611367	-2.8503204779979496
CXCL8	protein_coding	1878.947296	C-X-C motif chemokine ligand 8	1479.968254	1167.35364	1.525382572	2.322988926	1.133491109	1.660620869	1323.6609469999999	-10.059701391239138	-0.505358765333872
KLRC4-KLRK1	protein_coding	215.5529151	KLRC4-KLRK1 readthrough	46.14067013	1.480356064	0.11987832	0.199003289	0.022057894	0.11364650100000001	23.810513096999998	-9.979269813130372	-3.1729942235471995
GZMA	protein_coding	109.9591304	granzyme A	12.0643881	0.407763445	0.037213503	0.0	0.0	0.012404501	6.2360757725000004	-9.935363313073896	-4.118545435999944
FCAR	protein_coding	105.6114626	Fc fragment of IgA receptor	5.612217299	5.659746923	0.038208516	0.0	0.0	0.012736171999999999	5.635982111000001	-9.872965619306129	-4.203947485912863
CXCL3	protein_coding	177.9425977	C-X-C motif chemokine ligand 3	25.89755009	10.22758754	0.086307071	0.148579965	0.037054977	0.09064733766666666	18.062568815	-9.867100355715339	-3.2931822863346065
FCGR3A	protein_coding	141.8546539	Fc fragment of IgG receptor IIIa	21.66765435	6.230878314	0.025847518	0.0	0.149814135	0.05855388433333333	13.949266332	-9.806241210661536	-3.3368634493291816
CLEC5A	protein_coding	111.528444	C-type lectin domain containing 5A	0.376052957	1.768500115	0.075458667	0.0	0.0	0.025152888999999998	1.072276536	-9.800797376984526	-6.573247939640492
KLRC2	protein_coding	97.75389229	killer cell lectin like receptor C2	32.49018771	0.398969202	0.0	0.0	0.035173398	0.011724466000000001	16.444578456000002	-9.774540277974344	-2.564270704138094
KLRC3	protein_coding	106.6666012	killer cell lectin like receptor C3	30.58323492	0.709085001	0.029120785	0.037599166	0.0	0.022239983666666668	15.6461599605	-9.770528441710704	-2.761388468337315
C15orf48	protein_coding	149.9178009	chromosome 15 open reading frame 48	154.2474444	171.7518456	0.104963164	0.045174234	0.135194288	0.09511056200000001	162.999645	-9.586626105630184	0.12061994287619271
FPR1	protein_coding	91.34067588	formyl peptide receptor 1	0.995134956	0.621807033	0.0	0.0	0.06265021	0.02088340333333333	0.8084709944999999	-9.563076073379197	-6.653251803903099
SH2D1B	protein_coding	79.12751215	SH2 domain containing 1B	9.784149981	0.224193936	0.0526127	0.0	0.0	0.017537566666666667	5.004171958500001	-9.396735753946695	-3.9562526612483904
MAFB	protein_coding	108.7204196	MAF bZIP transcription factor B	7.691477921	11.42597585	0.088443763	0.012688195	0.101259578	0.06746384533333333	9.5587268855	-9.343883923035007	-3.493972445873631
CD14	protein_coding	194.0637101	CD14 molecule	39.0699614	19.73561024	0.313862722	0.119188939	0.16646015	0.19983727033333332	29.40278582	-9.338878141568003	-2.7183504875797313
KLRC4	protein_coding	106.4424814	killer cell lectin like receptor C4	43.01228335	0.787405273	0.035930279	0.185564848	0.0	0.07383170900000001	21.899844311499997	-9.259521800648612	-2.275863567882938
CCL24	protein_coding	122.5692966	C-C motif chemokine ligand 24	6.0248192	9.923250648	0.185240547	0.119586235	0.0	0.10160892733333333	7.974034924	-9.24899895736996	-3.9253405587487396
VMO1	protein_coding	68.85023786	vitelline membrane outer layer 1 homolog	8.484639461	9.290424623	0.0	0.0	0.053416317	0.017805439	8.887532042	-9.193005569445457	-2.939558614548354
PF4	protein_coding	87.29214002	platelet factor 4	0.122603345	0.047424201	0.0	0.0	0.150514201	0.05017140033333333	0.085013773	-9.184749638163995	-8.88372704704373
SDC2	protein_coding	85.4804089	syndecan 2	35.56503167	74.92332509	0.038270644	0.111179169	0.0	0.04981660433333333	55.24417838000001	-9.15793923381442	-0.6288490033349197
FCER1G	protein_coding	503.1958395	Fc fragment of IgE receptor Ig	136.8532699	88.81469604	0.902695053	0.437066444	1.017350358	0.7857039516666667	112.83398297	-9.150366400868004	-2.15592699896063
PID1	protein_coding	68.1077941	phosphotyrosine interaction domain containing 1	0.587566764	0.236018118	0.032309398	0.027810752	0.0	0.02004005	0.411792441	-9.150276970136982	-7.058233955687876
LILRB2	protein_coding	123.6947836	leukocyte immunoglobulin like receptor B2	8.34350825	12.86220145	0.063450616	0.177501929	0.12258816	0.12118023500000001	10.60285485	-9.128512339040302	-3.531882950732503
CD2	protein_coding	58.50912224	CD2 molecule	10.13501088	0.741237668	0.0	0.0	0.026139208	0.008713069333333334	5.438124274	-9.074456031165164	-3.403655898099879
IL1RN	protein_coding	97.70885349	interleukin 1 receptor antagonist	139.5670527	189.8729457	0.1893609	0.040748741	0.020324997	0.08347821266666666	164.71999920000002	-9.058212492406728	0.7528543427584689
FCN1	protein_coding	71.20168718	ficolin 1	0.154972758	0.565951458	0.026066422	0.005609257	0.083934955	0.038536878000000004	0.360462108	-9.007522337261333	-7.274709964666053
EPB41L3	protein_coding	96.85898099	erythrocyte membrane protein band 4.1 like 3	11.56617102	15.29627581	0.123174357	0.143132399	0.01586506	0.09405727199999998	13.431223415	-8.96474822943982	-2.841082251238224
