tracking_id	gene_type	D0_RPKM	Description	D3_RPKM	D7_RPKM	D14_RPKM	D21_RPKM	LCL_RPKM	late_mean_RPKM	early_mean_RPKM	log2_late_vs_D0	log2_early_vs_D0
HMX3	protein_coding	0.0	H6 family homeobox 3	0.097717378	0.07559612	32.41192148	26.49603407	51.82397337	36.91064297333333	0.086656749	8.531796389081645	0.9003876735099978
AICDA	protein_coding	0.147342138	activation induced cytidine deaminase	15.07430269	13.45479343	88.07842554	77.58364124	108.3508334	91.33763339333332	14.26454806	8.53013621087474	5.859860750206715
P3H2	protein_coding	0.072991144	prolyl 3-hydroxylase 2	0.00889243	0.03095713	37.15735149	34.01185743	54.85695509	42.00872133666667	0.01992478	7.927277074086843	-0.5285683903864564
PIEZO2	protein_coding	0.003284798	piezo type mechanosensitive ion channel component 2	0.021609897	0.012538387	16.35067754	37.61703046	13.59633068	22.521346226666665	0.017074142	7.774913051993407	0.18079453863062644
CLIC6	protein_coding	0.007808429	chloride intracellular channel 6	0.128424454	0.149027593	17.96098876	13.62334823	23.27068897	18.285008653333332	0.13872602350000002	7.413916065769291	1.1468858634497554
T	protein_coding	0.0	T brachyury transcription factor	0.0	0.0	0.13412429	46.2547629	0.224580588	15.53782259266667	0.0	7.288895835831047	0.0
PCLAF	protein_coding	0.127475274	PCNA clamp associated factor	10.06355129	5.514633377	28.73766027	25.77656733	46.69720266	33.73714342	7.789092333499999	7.216754232547674	5.116077681328094
LGALS14	protein_coding	0.0	galectin 14	0.064603548	0.0	20.19686412	10.45468585	12.29315123	14.314900399999999	0.032301774	7.171417058316008	0.4038324064680161
BIRC5	protein_coding	0.082717289	baculoviral IAP repeat containing 5	6.270994608	3.909159346	18.15357365	23.0562262	36.91827186	26.04269057	5.090076977	7.160650668232369	4.828070880544807
UCHL1	protein_coding	0.141927224	ubiquitin C-terminal hydrolase L1	2.427633497	1.914182529	18.95584321	11.7969055	62.62426325	31.125670653333334	2.170908013	7.012015623102549	3.2306242387885638
TNFRSF19	protein_coding	0.052757734	TNF receptor superfamily member 19	0.028923374	0.075517992	26.98202021	10.34008144	19.19198135	18.838027666666665	0.052220683000000004	6.953896852086899	-0.005081025883056256
LIPH	protein_coding	0.0	lipase H	0.127261678	0.147678273	15.24303583	6.786543031	13.5054758	11.845018220333335	0.1374699755	6.900265244185503	1.247745117925775
TUBB2B	protein_coding	0.063209985	tubulin beta 2B class IIb	0.329209313	0.140745822	21.08934731	22.7302693	10.38038569	18.066667433333333	0.23497756749999998	6.798420657387438	1.0373351631598362
GPR15	protein_coding	1.158730396	G protein-coupled receptor 15	8.818035827	2.977851033	176.8597615	119.8184417	119.5589701	138.74572443333332	5.89794343	6.785369632505306	2.252498606133382
GSTM1	protein_coding	0.0	glutathione S-transferase mu 1	10.98194892	8.564370524	0.028137805	32.29736607	0.0	10.775167958333334	9.773159721999999	6.764893872187438	6.625439961306416
